Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Engine Speed (rpm)
8906,-1.79,0.82,0.00,0.98,0.00,1.0000,43.00,138,0,6,3,10,54.96,0.00,-5.57,24.31,4278
9108,6.58,1.57,0.00,0.93,0.00,1.0000,33.00,138,0,6,3,10,117.23,41.18,7.52,100.00,4366
9437,2.05,1.99,0.00,0.86,0.00,1.0000,27.00,138,0,6,3,10,154.87,40.00,9.75,100.00,4489
9655,-5.25,2.24,0.00,0.81,0.00,1.0000,23.00,136,0,6,3,10,177.52,9.80,6.27,73.73,4763
9999,0.90,0.21,0.00,1.25,0.00,1.0000,45.50,136,0,6,3,10,15.79,0.00,-6.01,14.12,4764
10187,4.14,0.20,0.00,0.96,0.00,1.0000,38.50,136,0,6,3,10,17.17,0.00,-6.07,11.76,4678
10515,4.37,0.18,0.00,0.80,0.00,1.0000,32.00,136,0,6,3,10,13.29,0.00,-5.90,10.59,4510
10734,2.83,0.52,0.00,0.81,0.00,1.0000,36.00,136,0,6,3,10,43.98,30.59,-5.78,24.71,4515
11062,8.24,1.35,0.00,0.92,0.00,1.0000,35.00,136,0,6,3,10,103.38,41.18,9.01,100.00,4518
11265,6.25,1.85,0.00,0.87,0.00,1.0000,28.00,136,0,6,3,10,150.91,44.71,11.06,100.00,4692
11609,-12.45,1.29,0.00,0.81,0.00,1.0000,25.00,136,0,6,3,10,88.16,0.00,-2.01,20.78,5030
11812,3.54,0.25,0.00,0.95,0.00,1.0000,42.50,136,0,6,3,10,17.56,0.00,-6.05,12.94,4925
12140,4.30,0.19,0.00,0.95,0.00,1.0000,35.50,136,0,6,3,10,15.30,0.00,-6.07,12.16,4830
12344,10.08,1.37,0.00,0.86,0.00,1.0000,38.00,136,0,6,3,10,121.68,40.78,10.27,100.00,5058
12687,6.63,1.99,-1.41,0.80,0.00,1.0000,28.00,136,0,7,3,10,172.33,45.49,11.78,100.00,5182
12890,-2.15,2.44,-1.41,0.78,0.00,1.0000,21.50,136,0,7,3,10,214.27,33.73,10.44,100.00,5286
13218,-4.04,2.19,0.00,0.81,0.00,1.0000,25.00,136,0,7,3,10,202.34,11.76,7.35,100.00,5637
13390,-2.47,1.94,0.00,0.82,0.00,1.0000,30.50,135,0,7,3,10,190.23,10.20,6.13,100.00,5937
13687,-2.04,1.89,0.00,0.83,0.00,1.0000,33.00,135,0,7,3,10,187.74,9.80,5.14,100.00,6038
14015,-2.34,1.82,0.00,0.83,-2.75,1.0000,31.50,133,0,8,3,11,195.25,1.96,4.80,100.00,6320
14202,-2.87,1.85,0.00,0.83,-2.75,1.0000,32.00,133,0,9,3,11,200.33,6.27,4.91,100.00,6548
14562,3.66,0.14,0.00,3.48,0.00,1.0000,45.00,133,0,9,3,11,11.13,0.00,-4.43,11.37,6424
14765,5.52,0.15,0.00,0.95,0.00,1.0000,38.00,131,0,9,3,11,15.30,0.00,-4.49,10.98,6092
15030,4.94,0.19,0.00,0.80,0.00,1.0000,31.00,131,0,9,3,11,16.62,0.00,-5.45,10.98,5372
15359,5.64,0.19,0.00,0.80,0.00,1.0000,24.50,133,0,9,3,11,15.51,0.00,-5.90,10.98,4884
15625,5.32,0.19,0.00,0.95,0.00,1.0000,24.00,133,0,9,3,11,13.68,0.00,-5.69,10.20,4285
15859,5.07,0.19,0.00,0.95,0.00,1.0000,24.00,135,0,9,3,11,14.68,0.00,-5.59,10.20,4460
16171,5.26,0.18,0.00,0.80,0.00,1.0000,24.00,135,0,9,3,11,13.22,0.00,-5.67,10.20,4310
16389,5.08,0.20,0.00,0.80,0.00,1.0000,25.50,135,0,9,3,11,16.21,0.00,-5.67,15.29,4230
16703,0.90,0.76,0.00,0.80,0.00,1.0000,45.50,136,0,9,3,11,56.04,0.00,-3.96,27.84,4468
16921,0.52,0.95,0.00,0.94,0.00,1.0000,42.00,136,0,9,3,11,73.14,21.57,-2.51,33.33,4384
17249,-1.20,0.62,0.00,1.35,0.00,1.0000,42.00,138,0,9,3,11,41.42,0.00,-5.82,18.04,4399
17452,2.75,0.42,0.00,0.95,0.00,1.0000,49.00,138,0,9,3,11,31.60,0.00,-5.82,16.86,4472
17780,3.93,0.30,0.00,0.97,0.00,1.0000,49.50,138,0,9,3,11,21.76,0.00,-5.78,14.12,4474
18014,3.99,0.29,0.00,0.98,0.00,1.0000,47.50,138,0,9,3,11,21.44,0.00,-5.80,14.12,4478
18327,4.62,0.24,0.00,0.98,0.00,1.0000,41.00,138,0,9,3,11,17.26,0.00,-5.80,12.16,4360
18546,5.04,0.19,0.00,0.81,0.00,1.0000,34.00,140,0,9,3,11,13.82,0.00,-5.74,9.80,4228
18843,4.56,0.19,0.00,0.81,0.00,1.0000,27.00,140,0,9,3,11,11.81,0.00,-5.61,9.02,3783
19062,4.37,0.20,0.00,0.83,0.00,1.0000,24.00,140,0,9,3,11,11.44,0.00,-5.63,8.63,3536
19389,4.32,0.22,0.00,0.83,0.00,1.0000,28.00,142,0,9,3,11,10.46,0.00,-5.59,10.20,3422
19624,3.85,0.67,0.00,0.76,0.00,1.0000,42.50,142,0,9,3,11,44.39,7.84,-5.55,28.63,3394
19921,0.69,0.95,0.00,0.80,0.00,1.0000,39.50,142,0,9,3,11,58.45,18.82,-1.33,33.33,3640
20140,0.60,1.05,0.00,0.96,0.00,1.0000,38.00,144,0,9,3,11,59.06,27.45,-0.21,35.69,3491
20374,-0.17,1.15,0.00,0.94,0.00,1.0000,35.50,144,0,9,3,11,66.64,21.57,0.33,36.47,3608
20733,-1.82,1.24,0.00,0.94,0.00,1.0000,33.00,144,0,9,3,11,78.02,14.90,-0.48,35.29,3763
20936,-6.53,1.01,0.00,0.98,0.00,1.0000,35.50,144,0,9,3,11,56.79,0.00,-1.30,17.25,3850
21280,2.26,0.52,0.00,0.99,0.00,1.0000,49.00,145,0,9,3,11,39.74,0.00,-5.63,27.84,3890
21483,7.34,1.60,0.00,0.91,0.00,1.0000,28.50,145,0,9,3,11,110.49,41.96,10.48,100.00,4218
21812,3.29,2.01,0.00,0.84,0.00,1.0000,25.50,145,0,9,3,11,141.80,42.35,10.69,100.00,4167
22030,-0.44,2.27,0.00,0.79,0.00,1.0000,19.50,145,0,9,3,11,174.89,36.86,11.06,100.00,4536
22343,-1.44,2.18,0.00,0.80,0.00,1.0000,23.00,144,0,9,3,11,180.53,31.76,10.69,100.00,4922
22561,0.08,2.09,0.00,0.81,0.00,1.0000,25.50,144,0,9,3,11,182.78,33.73,10.58,100.00,5104
22889,0.45,2.22,0.00,0.81,0.00,1.0000,25.50,142,0,9,3,11,199.67,36.86,10.62,100.00,5362
23108,-0.78,2.25,0.00,0.81,0.00,1.0000,24.50,140,0,9,3,11,208.30,31.37,10.02,100.00,5584
23420,-2.82,0.29,0.00,1.24,0.00,1.0000,42.00,138,0,9,3,11,18.37,0.00,-5.55,11.76,5527
23640,4.56,0.18,0.00,0.95,0.00,1.0000,38.50,136,0,9,3,11,14.28,0.00,-5.98,10.98,4872
23874,4.89,0.20,0.00,0.96,0.00,1.0000,31.50,136,0,9,3,11,15.16,0.00,-5.88,10.59,4524
24233,18.04,1.16,0.00,0.64,0.00,1.0000,38.50,136,0,9,3,11,89.97,53.73,10.31,96.08,4630
24421,11.79,1.58,-1.41,0.85,-2.75,1.0000,31.00,136,0,9,3,12,138.94,50.98,13.50,100.00,5289
24780,4.50,2.33,-1.41,0.77,0.00,1.0000,23.50,136,0,9,3,12,212.98,51.37,13.23,100.00,5368
25031,-0.66,2.40,-1.41,0.79,0.00,1.0000,20.50,135,0,9,3,12,233.32,45.88,13.19,100.00,5647
25312,-0.19,2.45,0.00,0.79,0.00,1.0000,22.00,133,0,9,3,12,225.87,47.06,13.28,100.00,5630
25562,0.25,2.38,0.00,0.80,0.00,1.0000,24.50,131,0,9,3,12,229.71,47.45,12.59,100.00,5761
25843,-0.49,2.35,0.00,0.80,0.00,1.0000,26.00,129,0,9,3,12,234.69,44.71,11.62,100.00,6087
26108,-1.17,2.25,0.00,0.80,0.00,1.0000,28.00,129,0,9,3,12,233.50,40.00,10.69,100.00,6391
26389,1.94,0.27,0.00,2.12,0.00,1.0000,41.50,127,0,9,3,12,19.44,0.00,-4.39,11.76,6322
26639,5.44,0.13,0.00,0.95,0.00,1.0000,38.50,127,0,9,3,12,13.22,0.00,-4.47,10.98,6076
26921,5.91,0.16,0.00,0.80,0.00,1.0000,31.50,127,0,9,3,12,14.28,0.00,-5.14,10.98,5756
27170,6.12,0.30,0.00,0.95,0.00,1.0000,30.00,127,0,9,3,12,32.06,0.00,-5.30,21.18,5623
27467,-1.61,0.88,0.00,0.94,0.00,1.0000,42.50,127,0,9,3,12,79.33,0.00,-2.30,25.10,5696
27686,3.60,0.52,0.00,0.95,0.00,1.0000,49.50,127,0,9,3,12,49.13,0.00,-5.36,24.31,5537
27999,4.69,1.64,-5.62,0.88,-2.75,1.0000,28.50,127,3,9,3,12,164.22,39.61,6.75,100.00,5797
28218,1.99,2.23,-5.62,0.86,0.00,1.0000,22.00,127,3,9,3,12,220.72,50.59,11.49,100.00,5892
28545,0.04,2.29,-5.62,0.82,0.00,1.0000,21.00,127,3,9,3,12,233.62,47.06,11.66,100.00,6066
28764,-0.25,2.22,0.00,0.80,0.00,1.0000,27.50,127,3,9,3,12,230.63,45.88,11.04,100.00,6165
29092,-15.06,1.74,0.00,0.94,-2.75,1.0000,29.00,127,3,9,3,12,159.27,0.00,5.51,29.41,6366
29264,4.88,0.10,0.00,0.95,0.00,1.0000,42.00,127,3,9,3,12,7.80,0.00,-4.70,10.98,6130
29545,4.94,0.14,0.00,0.95,0.00,1.0000,35.50,127,3,9,3,12,13.68,0.00,-4.95,10.98,5881
29889,3.75,0.59,0.00,0.60,0.00,1.0000,41.50,127,3,9,3,12,60.15,16.47,-5.20,29.80,5697
30108,8.30,1.57,-2.81,0.88,-2.75,1.0000,32.50,127,3,10,3,13,164.46,49.80,11.62,100.00,6082
30436,0.45,2.24,-4.22,0.85,0.00,1.0000,24.50,127,4,10,3,13,232.58,45.88,10.79,100.00,6235
30639,-6.06,2.26,-1.05,0.81,0.00,1.0000,24.50,127,4,10,3,13,235.60,0.00,6.13,93.33,6300
30967,2.31,0.10,0.00,2.09,0.00,1.0000,44.00,126,4,10,3,13,7.32,0.00,-4.60,10.98,6093
31186,5.08,0.13,0.00,0.95,0.00,1.0000,37.00,126,4,10,3,13,13.09,0.00,-4.70,10.98,5982
31498,4.89,0.17,0.00,0.80,0.00,1.0000,30.00,126,4,10,3,13,17.66,0.00,-5.05,10.98,5748
31717,5.64,0.18,0.00,0.80,0.00,1.0000,24.00,126,4,10,3,13,15.10,0.00,-5.67,10.98,5115
32029,5.57,0.22,0.00,0.80,0.00,1.0000,24.00,127,4,10,3,13,12.81,0.00,-5.53,10.59,4254
32265,5.53,0.22,0.00,0.95,0.00,1.0000,24.00,127,4,10,3,13,12.37,0.00,-5.34,9.41,3431
32576,5.15,0.25,0.00,0.95,-0.75,1.0000,24.00,127,4,10,3,13,11.69,0.00,-5.26,9.02,2984
32795,4.60,0.22,0.00,0.95,-0.75,1.0000,24.00,129,4,10,3,13,12.56,0.00,-5.69,7.84,2823
33077,5.40,0.17,0.00,0.80,-0.75,1.0000,24.00,129,4,10,3,13,8.49,0.00,-5.53,7.45,3022
33343,5.12,0.29,0.00,0.82,-0.75,1.0000,27.00,131,4,10,3,13,14.63,0.00,-5.63,12.94,2711
33655,12.22,1.16,0.00,0.92,-0.75,1.0000,30.50,131,4,10,3,13,56.34,57.25,11.87,100.00,2910
33873,10.27,1.30,0.00,0.92,-0.75,1.0000,27.50,133,4,10,3,13,63.94,55.29,11.12,100.00,2967
34108,9.80,1.38,0.00,0.89,0.00,1.0000,26.50,133,4,10,3,13,70.27,53.33,12.63,100.00,3030
34451,8.37,1.49,0.00,0.90,0.00,1.0000,27.00,133,4,10,3,13,80.28,47.45,12.65,100.00,3240
34670,4.34,1.69,0.00,0.86,0.00,1.0000,26.00,133,4,10,3,13,98.39,26.27,10.21,100.00,3517
34998,-4.33,1.56,0.00,0.88,0.00,1.0000,29.00,133,4,10,3,13,93.30,5.88,0.95,39.22,3524
35217,-2.87,0.42,0.00,1.12,0.00,1.0000,48.50,133,4,10,3,13,24.13,0.00,-5.47,14.51,3482
35545,-5.60,1.10,0.00,0.98,0.00,1.0000,32.50,133,4,10,3,13,61.45,0.00,0.35,25.10,3536
35717,-1.82,1.18,0.00,0.93,0.00,1.0000,35.50,133,4,10,3,13,73.40,4.71,-3.48,32.55,3469
35983,-5.55,0.97,0.00,1.08,0.00,1.0000,37.00,133,4,10,3,13,56.90,3.14,-5.47,25.49,3576
36342,-3.14,1.38,0.00,0.97,0.00,1.0000,33.00,133,4,10,3,13,82.59,10.20,-0.48,35.29,3587
36562,-3.97,1.46,0.00,0.97,0.00,1.0000,30.50,133,4,10,3,13,90.20,8.63,-0.12,36.08,3649
36889,-3.68,1.67,0.00,0.90,0.00,1.0000,27.50,133,4,10,3,13,110.33,6.67,2.55,47.45,3915
37092,-3.44,1.65,0.00,0.86,0.00,1.0000,28.50,133,4,10,3,13,108.78,6.67,2.13,46.27,3947
37420,-5.58,1.43,0.00,0.87,0.00,1.0000,30.00,133,4,10,3,13,98.06,4.31,-1.30,33.73,4162
37640,-4.27,1.42,0.00,0.89,0.00,1.0000,33.50,131,4,10,3,13,101.80,5.88,-1.43,34.12,4290
37951,-4.01,1.40,0.00,0.89,0.00,1.0000,32.00,131,4,10,3,13,102.31,0.00,-1.91,32.94,4427
38155,-3.74,1.34,0.00,0.90,0.00,1.0000,35.00,131,4,10,3,13,104.12,0.00,-2.77,32.94,4567
38498,-6.14,0.61,0.00,1.16,0.00,1.0000,37.50,129,4,10,3,13,41.59,0.00,-2.75,16.08,4780
38733,3.76,0.23,0.00,0.97,0.00,1.0000,42.00,129,4,10,3,13,20.55,0.00,-5.82,12.94,4675
39029,4.45,0.20,0.00,0.98,0.00,1.0000,35.50,129,4,10,3,13,14.55,0.00,-5.65,10.59,4421
39248,4.92,0.17,0.00,0.80,0.00,1.0000,28.50,129,4,10,3,13,11.81,0.00,-5.53,10.20,4239
39577,3.78,0.39,0.00,0.73,0.00,1.0000,31.00,129,4,10,3,13,26.78,0.00,-5.47,18.43,4164
39779,0.32,1.05,0.00,0.96,0.00,1.0000,38.50,129,4,10,3,13,74.61,20.39,-1.08,32.94,4272
40108,0.71,1.39,0.00,0.88,0.00,1.0000,35.00,129,4,10,3,13,100.79,29.41,1.35,43.53,4375
40310,-2.42,1.82,0.00,0.85,0.00,1.0000,26.00,129,4,10,3,13,141.49,16.86,1.99,45.10,4448
40638,-4.26,1.79,0.00,0.83,0.00,1.0000,27.00,129,4,10,3,13,139.23,7.84,2.42,46.67,4730
40857,2.12,0.29,0.00,1.24,0.00,1.0000,45.50,129,4,10,3,13,22.99,0.00,-5.84,14.12,4700
41186,4.31,0.23,0.00,0.97,0.00,1.0000,38.50,127,4,10,3,13,16.13,0.00,-5.80,11.76,4542
41388,5.39,0.22,0.00,0.99,0.00,1.0000,32.00,129,4,10,3,13,14.35,0.00,-5.41,9.41,4050
41717,5.33,0.27,0.00,0.83,0.00,1.0000,25.00,129,4,10,3,13,12.31,0.00,-5.30,9.02,3432
41920,5.14,0.49,0.00,0.85,0.00,1.0000,36.00,129,4,10,3,13,31.01,0.00,-5.38,19.61,3542
42248,3.09,1.14,0.00,0.91,0.00,1.0000,33.50,129,4,10,3,13,77.75,32.55,3.00,50.98,4000
42514,2.45,1.52,0.00,0.93,0.00,1.0000,31.00,131,4,10,3,13,99.49,34.51,2.69,78.82,3908
42779,-2.92,1.69,0.00,0.89,0.00,1.0000,27.50,131,4,10,3,13,114.95,15.69,2.19,44.31,3976
43029,-4.90,0.62,0.00,1.00,0.00,1.0000,43.00,133,4,10,3,13,36.29,0.00,-5.55,14.51,4186
43295,3.41,0.25,0.00,0.99,0.00,1.0000,42.50,133,4,10,3,13,17.41,0.00,-5.51,12.55,4140
43561,4.33,0.27,0.00,0.99,0.00,1.0000,35.50,133,4,10,3,13,14.82,0.00,-5.47,10.98,3924
43858,4.87,0.20,0.00,0.83,0.00,1.0000,29.00,135,4,10,3,13,12.18,0.00,-5.49,9.41,3737
44076,5.03,0.21,0.00,0.83,0.00,1.0000,24.00,135,4,10,3,13,11.50,0.00,-5.34,8.24,3219
44404,5.20,0.14,0.00,0.83,0.00,1.0000,24.00,135,4,10,3,13,7.72,0.00,-5.43,7.45,3078
44623,3.58,0.71,0.00,0.90,0.00,1.0000,41.50,136,4,10,3,13,37.97,0.00,-5.36,24.71,3261
44951,8.08,1.24,0.00,0.91,0.00,1.0000,30.00,136,4,10,3,13,74.21,35.69,8.14,100.00,3612
45170,6.17,1.43,0.00,0.91,0.00,1.0000,33.00,138,4,10,3,13,84.31,42.35,8.30,100.00,3492
45483,5.07,1.66,0.00,0.86,0.00,1.0000,28.00,138,4,10,3,13,104.38,40.39,9.63,100.00,3658
45701,-6.86,0.44,0.00,0.97,0.00,1.0000,42.00,140,4,10,3,13,27.20,0.00,-5.63,14.12,3838
46013,2.41,0.30,0.00,0.99,0.00,1.0000,38.50,140,4,10,3,13,17.12,0.00,-5.59,12.16,3394
46232,3.20,0.13,0.00,0.99,-0.75,1.0000,31.00,142,4,10,3,13,5.85,0.00,-5.51,8.24,2906
46561,4.42,0.16,0.00,0.83,0.00,1.0000,25.50,142,4,10,3,13,7.02,0.00,-5.94,6.67,2448
46779,4.51,0.12,0.00,0.83,0.00,1.0000,24.00,144,4,10,3,13,4.51,0.00,-5.98,6.27,2334
47107,3.96,0.55,0.00,0.76,0.00,1.0000,37.00,144,4,10,3,13,20.80,0.00,-5.92,19.61,2485
47311,6.24,1.16,0.00,0.76,-0.75,1.0000,20.00,145,4,10,3,13,51.55,68.24,6.57,100.00,2642
47576,5.71,1.24,0.00,0.93,-0.75,1.0000,27.00,145,4,10,3,13,55.89,70.20,6.69,100.00,2683
47888,6.84,1.26,0.00,0.93,0.00,1.0000,27.50,145,4,10,3,13,61.69,65.88,9.05,100.00,2804
48138,6.01,1.36,0.00,0.92,0.00,1.0000,27.50,147,4,10,3,13,65.58,61.57,9.26,100.00,2880
48451,4.81,1.44,0.00,0.90,0.00,1.0000,26.50,147,4,10,3,13,74.61,59.61,9.20,100.00,2982
48701,3.18,1.58,0.00,0.88,0.00,1.0000,26.50,147,4,10,3,13,83.47,51.37,8.89,100.00,3085
48951,3.12,1.77,0.00,0.86,0.00,1.0000,25.50,149,4,10,3,13,100.65,43.92,10.15,100.00,3370
49248,1.89,1.99,0.00,0.83,0.00,1.0000,22.50,149,4,10,3,13,121.47,43.14,11.16,100.00,3630
49498,-0.70,2.25,0.00,0.81,0.00,1.0000,19.50,149,4,10,3,13,145.69,38.04,10.94,100.00,3928
49779,-0.80,2.11,0.00,0.81,0.00,1.0000,22.00,149,4,10,3,13,146.99,36.86,10.94,100.00,4250
49998,-0.37,2.12,0.00,0.81,0.00,1.0000,22.50,149,4,10,3,13,161.31,35.69,10.44,100.00,4606
50326,-0.40,2.14,0.00,0.81,0.00,1.0000,22.50,147,4,10,3,13,172.68,35.29,10.69,100.00,4790
50545,-0.94,2.18,0.00,0.81,0.00,1.0000,24.50,145,4,10,3,13,187.97,30.98,9.88,100.00,5057
50857,-2.09,2.11,0.00,0.81,0.00,1.0000,25.50,144,4,10,3,13,189.92,16.47,8.01,100.00,5362
51076,-2.19,2.00,0.00,0.82,0.00,1.0000,27.00,144,4,10,3,13,185.04,9.02,6.67,100.00,5540
51388,-1.77,1.92,0.00,0.83,0.00,1.0000,30.00,142,4,10,3,13,184.29,9.02,6.23,100.00,5710
51622,-9.48,1.20,0.00,1.09,-2.75,1.0000,32.00,140,4,10,3,13,97.07,0.00,1.16,25.10,5994
51935,4.51,0.16,0.00,0.95,0.00,1.0000,42.00,138,4,10,3,13,12.69,0.00,-5.43,10.98,5717
52170,4.72,0.17,0.00,0.95,0.00,1.0000,35.50,136,4,10,3,13,14.89,0.00,-5.72,10.98,5410
52482,4.60,0.17,0.00,0.80,0.00,1.0000,28.50,136,4,10,3,13,15.03,0.00,-5.86,10.98,5297
52685,3.14,0.54,0.00,0.71,0.00,1.0000,35.50,136,4,10,3,13,49.30,0.00,-5.92,27.06,5212
53013,3.27,1.38,0.00,0.80,0.00,1.0000,38.50,136,4,10,3,13,135.76,32.55,0.14,78.04,5556
53232,-3.24,2.13,-2.81,0.86,0.00,1.0000,24.50,136,4,11,3,14,206.64,21.96,3.85,100.00,5670
53560,0.13,2.22,-2.81,0.82,0.00,1.0000,22.50,136,4,11,3,14,212.56,36.47,10.21,100.00,5731
53763,1.29,2.24,0.00,0.80,0.00,1.0000,26.00,135,4,11,3,14,221.99,43.92,12.03,100.00,5840
54091,-1.23,2.31,0.00,0.79,0.00,1.0000,26.50,133,4,11,3,14,232.86,37.25,10.98,100.00,6019
54294,-1.15,2.13,0.00,0.80,0.00,1.0000,29.00,131,4,11,3,14,228.41,32.55,10.00,100.00,6322
54622,-4.22,1.98,0.00,0.81,0.00,1.0000,29.50,129,4,11,3,14,224.54,6.67,5.59,100.00,6613
54841,-3.16,1.86,0.00,0.82,-2.75,1.0000,0.00,127,4,11,3,14,203.99,5.10,5.67,67.84,6836
55153,-3.44,0.38,0.00,1.11,0.00,1.0000,0.00,127,4,11,3,15,37.68,0.00,-4.29,12.16,6441
55373,5.61,0.15,0.00,0.80,0.00,1.0000,0.00,126,4,11,3,15,15.58,0.00,-4.37,10.98,6166
55685,5.15,0.18,0.00,0.80,0.00,1.0000,0.00,126,4,11,3,15,17.19,0.00,-4.83,10.98,5884
55920,4.89,0.18,0.00,0.80,0.00,1.0000,0.00,126,4,11,3,15,15.65,0.00,-5.63,10.20,5194
56232,4.69,0.17,0.00,0.80,0.00,1.0000,24.00,127,4,11,3,15,12.96,0.00,-5.86,9.41,4724
56451,5.06,0.16,0.00,0.80,0.00,1.0000,24.00,127,4,11,3,15,11.44,0.00,-5.49,8.63,4170
56778,5.32,0.15,0.00,0.81,0.00,1.0000,24.00,127,4,11,3,15,9.33,0.00,-5.38,7.45,3755
56998,5.41,0.15,0.00,0.83,0.00,1.0000,24.00,129,4,11,3,15,8.06,0.00,-5.32,6.27,3334
57310,5.33,0.15,0.00,0.83,-0.75,1.0000,24.00,129,4,11,3,15,6.87,0.00,-5.39,5.10,2933
57528,5.51,0.13,0.00,0.83,0.00,1.0000,24.00,131,4,11,3,15,5.49,0.00,-5.69,3.92,2550
57856,5.94,0.13,0.00,0.83,0.00,1.0000,24.00,131,4,11,3,15,4.54,0.00,-5.70,3.14,2156
