Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Engine Speed (rpm)
0,12.81,1.38,0.00,0.90,0.00,1.0000,24.50,167,0,5,3,10,65.27,56.86,16.09,100.00,2852
312,13.74,1.37,0.00,0.90,0.00,1.0000,27.50,165,0,5,3,10,77.26,51.76,17.46,100.00,3300
484,13.29,1.52,0.00,0.88,0.00,1.0000,26.00,165,0,5,3,10,95.92,55.29,17.89,100.00,3726
844,11.50,1.76,0.00,0.86,0.00,1.0000,24.00,165,0,5,3,10,123.67,55.69,17.89,100.00,4223
1047,6.71,2.11,0.00,0.83,0.00,1.0000,24.00,165,0,5,3,10,171.23,54.51,17.19,100.00,4801
1296,0.93,2.19,0.00,0.80,0.00,1.0000,24.50,163,0,5,3,10,203.14,49.02,15.74,100.00,5493
1656,-0.43,2.09,0.00,0.80,0.00,1.0000,27.50,162,0,5,3,10,216.40,44.71,10.98,100.00,6064
1828,-5.57,0.22,0.00,1.10,0.00,1.0000,40.50,158,0,5,3,10,12.82,0.00,-4.62,11.76,6413
2187,5.79,0.14,0.00,0.96,0.00,1.0000,43.00,156,0,5,3,10,22.02,0.00,-5.10,21.57,5901
2406,11.30,1.51,0.00,0.83,0.00,1.0000,30.50,154,0,5,3,10,104.38,55.29,14.93,100.00,4051
2641,7.72,1.80,0.00,0.84,0.00,1.0000,28.50,153,0,5,3,10,142.75,55.69,14.93,100.00,4480
2984,2.56,2.29,-1.41,0.77,0.00,1.0000,22.00,151,0,6,3,10,184.73,54.12,14.15,100.00,4777
3171,-0.65,2.42,-1.41,0.79,0.00,1.0000,20.00,149,0,6,3,10,202.74,47.84,13.46,100.00,5051
3531,-0.69,2.36,-1.41,0.80,0.00,1.0000,22.00,147,0,6,3,10,209.57,43.92,13.05,100.00,5266
3734,0.57,2.28,-1.41,0.80,0.00,1.0000,22.50,145,0,6,3,10,212.99,45.49,12.84,100.00,5553
4078,-0.13,2.23,-1.05,0.80,0.00,1.0000,24.50,144,0,6,3,10,222.41,43.92,11.99,99.22,5877
4281,2.78,0.10,0.00,1.35,0.00,1.0000,44.00,140,0,6,3,10,6.72,0.00,-5.43,10.98,5666
4609,4.57,0.16,0.00,0.95,0.00,1.0000,37.00,140,0,6,3,10,14.21,0.00,-5.55,10.98,5464
4827,4.19,0.20,0.00,0.80,0.00,1.0000,30.00,140,0,6,3,10,16.69,0.00,-5.86,10.98,5138
5140,5.04,0.21,0.00,0.82,0.00,1.0000,24.00,140,0,6,3,10,14.61,0.00,-5.90,10.59,4357
5328,5.10,0.23,0.00,0.95,0.00,1.0000,24.00,140,0,6,3,10,14.28,0.00,-5.61,9.80,3664
5593,5.09,0.24,0.00,0.95,0.00,1.0000,24.00,140,0,6,3,10,13.22,0.00,-5.53,9.02,3278
5953,4.94,0.20,0.00,0.95,0.00,1.0000,24.00,140,0,6,3,10,11.19,0.00,-5.49,8.63,3332
6155,5.22,0.21,0.00,0.80,0.00,1.0000,29.00,142,0,6,3,10,12.69,0.00,-5.63,10.20,3640
6484,0.72,0.62,0.00,0.73,0.00,1.0000,43.50,142,0,6,3,10,41.71,0.00,-4.58,23.92,3831
6703,1.52,0.97,0.00,0.87,0.00,1.0000,37.00,142,0,6,3,10,57.52,17.25,-2.80,32.94,3669
7031,-1.49,0.86,0.00,0.94,0.00,1.0000,41.00,142,0,6,3,10,54.09,0.00,-3.58,27.45,3776
7234,-0.20,0.99,0.00,0.85,0.00,1.0000,39.00,142,0,6,3,10,67.72,14.90,-1.68,32.94,3802
7577,-2.41,1.07,0.00,0.97,0.00,1.0000,38.00,142,0,6,3,10,67.54,4.71,-3.23,30.98,3876
7780,-2.95,1.09,0.00,0.94,0.00,1.0000,35.50,140,0,6,3,10,70.00,0.00,-3.00,29.80,3810
8109,-3.35,1.06,0.00,0.94,0.00,1.0000,36.00,140,0,6,3,10,70.40,0.00,-3.77,27.84,4001
8281,-3.92,1.11,0.00,0.92,0.00,1.0000,35.50,140,0,6,3,10,74.85,0.00,-3.69,28.63,4116
8562,-2.91,0.78,0.00,0.98,0.00,1.0000,43.50,138,0,6,3,10,54.71,0.00,-5.70,23.14,4258
