Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,5.19,0.20,4875,0.00,0.80,0.00,1.0000,24.00,126,2,3,0,4,15.86,0.00,-5.74,10.59
130,5.68,0.21,4437,0.00,0.95,0.00,1.0000,24.00,127,2,3,0,4,14.75,0.00,-5.49,10.20
329,5.69,0.18,4558,0.00,0.95,0.00,1.0000,24.00,127,2,3,0,4,13.35,0.00,-5.41,9.80
509,12.79,1.15,4713,0.00,0.86,0.00,1.0000,40.00,129,2,3,0,4,88.57,43.92,-0.35,61.18
659,7.37,1.54,4742,0.00,0.89,0.00,1.0000,34.50,129,2,3,0,4,121.96,40.78,4.99,100.00
849,-1.53,2.16,4912,-1.41,0.84,0.00,1.0000,24.00,129,2,3,0,5,176.77,35.29,7.60,100.00
989,-6.01,2.17,5300,-1.41,0.80,0.00,1.0000,24.00,129,2,3,0,5,192.69,15.29,6.81,100.00
1198,3.41,0.13,5176,0.00,1.36,0.00,1.0000,45.00,127,2,3,0,5,13.30,0.00,-5.61,11.76
1328,5.00,0.17,5100,0.00,0.95,0.00,1.0000,38.50,127,2,3,0,5,14.08,0.00,-5.72,10.59
1538,4.68,0.19,5026,0.00,0.80,0.00,1.0000,31.50,127,2,3,0,5,15.44,0.00,-5.80,10.59
1668,4.43,0.18,4664,0.00,0.80,0.00,1.0000,25.00,127,2,3,0,5,13.82,0.00,-5.90,10.59
1888,4.52,0.19,4498,0.00,0.80,0.00,1.0000,24.00,127,2,3,0,5,14.28,0.00,-5.72,10.59
2017,4.72,0.19,4055,0.00,0.81,0.00,1.0000,24.00,129,2,3,0,5,12.69,0.00,-5.47,9.41
2227,5.66,0.18,3722,0.00,0.81,0.00,1.0000,24.00,129,2,3,0,5,11.44,0.00,-5.38,8.63
2357,5.07,0.96,3946,0.00,0.71,0.00,1.0000,38.00,129,2,3,0,5,62.45,25.88,-5.39,32.94
2576,7.10,1.34,4199,0.00,0.94,0.00,1.0000,30.00,131,2,3,0,5,93.30,35.69,4.58,100.00
2696,4.63,1.74,4257,0.00,0.87,0.00,1.0000,25.00,131,2,3,0,5,122.80,40.39,9.42,100.00
2923,1.66,2.22,4415,0.00,0.75,0.00,1.0000,21.50,131,2,3,0,5,163.17,44.71,5.47,100.00
