Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,6.11,0.28,840,0.00,1.00,0.00,1.0000,17.50,48,1,1,2,10,3.89,0.00,-4.00,2.75
0,6.14,0.27,829,0.00,1.00,0.00,1.0000,18.50,48,1,1,2,10,3.77,0.00,-3.96,3.14
0,6.16,0.28,800,0.00,1.00,0.00,1.0000,19.00,48,1,1,2,10,3.72,0.00,-3.94,3.14
216,6.17,0.29,773,0.00,1.00,0.00,1.0000,19.00,48,1,1,2,10,3.74,0.00,-3.89,3.14
327,6.14,0.30,742,0.00,1.00,0.00,1.0000,16.00,48,1,1,2,10,3.82,0.00,-3.87,3.14
388,6.07,0.33,708,0.00,1.00,0.00,1.0000,19.00,48,1,1,2,10,3.97,0.00,-3.87,3.14
388,6.03,0.35,684,0.00,0.99,0.00,1.0000,20.00,48,1,1,2,10,4.10,0.00,-3.87,3.53
388,5.87,0.37,657,0.00,0.99,0.00,1.0000,20.00,48,1,1,2,10,4.26,0.00,-3.87,3.53
566,5.79,0.41,652,0.00,0.91,0.00,1.0000,20.50,48,1,1,2,10,4.45,0.00,-3.87,3.53
592,5.57,0.42,636,0.00,0.90,0.00,1.0000,20.50,48,1,1,2,10,4.48,0.00,-3.87,3.53
766,5.33,0.43,629,0.00,0.90,0.00,1.0000,20.50,48,2,1,2,10,4.54,0.00,-3.87,3.92
811,5.07,0.44,635,0.00,0.89,0.00,1.0000,20.50,48,2,1,2,10,4.63,0.00,-3.87,3.92
811,4.95,0.44,655,0.00,0.90,0.00,1.0000,20.50,48,2,1,2,10,4.75,0.00,-3.87,3.92
811,4.85,0.43,671,0.00,0.91,0.00,1.0000,19.50,48,3,1,2,10,4.66,0.00,-3.87,3.92
988,4.70,0.42,696,0.00,0.99,0.00,1.0000,19.50,48,3,1,2,10,4.69,0.00,-3.87,3.92
1003,4.65,0.39,722,0.00,0.99,0.00,1.0000,18.50,48,3,1,2,10,4.63,0.00,-3.87,3.92
1014,4.62,0.38,729,0.00,0.99,0.00,1.0000,17.00,48,3,1,2,10,4.57,0.00,-3.87,3.92
1191,5.73,0.39,758,0.00,0.99,0.00,1.0000,14.50,48,3,1,2,10,4.81,0.00,-2.78,3.92
1203,5.79,0.35,788,0.00,0.99,0.00,1.0000,12.50,48,3,1,2,10,4.48,0.00,-2.78,3.92
1357,5.84,0.34,816,0.00,0.99,0.00,1.0000,11.00,48,3,1,2,10,4.54,0.00,-2.78,3.92
1404,5.93,0.32,837,0.00,0.99,0.00,1.0000,11.50,48,3,1,2,10,4.48,0.00,-2.78,8.24
