Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,3.43,0.51,3135,0.00,0.96,0.00,1.0000,47.50,52,6,2,2,21,26.21,0.00,-4.70,14.12
0,3.59,0.50,3143,0.00,0.97,0.00,1.0000,47.50,52,6,2,2,21,26.88,0.00,-4.72,14.90
0,3.52,0.54,3156,0.00,0.98,0.00,1.0000,47.50,52,6,2,2,21,28.15,0.00,-4.72,14.90
192,3.43,0.54,3134,0.00,0.99,0.00,1.0000,47.50,52,6,2,2,21,28.45,0.00,-4.70,14.90
192,3.39,0.52,3138,0.00,0.99,0.00,1.0000,47.50,52,6,2,2,21,27.52,0.00,-4.70,14.51
204,3.38,0.50,3157,0.00,0.99,0.00,1.0000,47.50,52,6,2,2,21,25.92,0.00,-4.68,14.51
377,3.51,0.52,3163,0.00,0.99,0.00,1.0000,47.50,52,6,2,2,21,26.98,0.00,-4.70,15.29
394,3.47,0.58,3172,0.00,0.99,0.00,1.0000,47.50,52,6,2,2,21,32.08,0.00,-4.70,17.65
456,2.80,0.70,3181,0.00,0.91,0.00,1.0000,48.00,52,6,2,2,21,37.54,0.00,-4.68,18.82
603,2.16,0.73,3172,0.00,0.91,0.00,1.0000,47.50,52,6,2,2,21,38.27,0.00,-4.68,18.82
633,1.82,0.73,3175,0.00,0.98,0.00,1.0000,47.50,52,6,2,2,21,39.25,0.00,-4.66,20.78
633,2.23,0.99,3208,0.00,0.76,0.00,1.0000,45.50,52,6,2,2,21,60.08,28.24,-4.66,31.76
813,5.16,1.34,3242,0.00,0.82,0.00,1.0000,38.00,52,6,2,2,21,77.22,43.92,-4.33,72.16
847,11.21,1.47,3244,0.00,0.89,0.00,1.0000,36.00,52,6,2,2,21,79.34,45.10,9.82,100.00
