Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,5.23,0.35,775,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.45,0.00,-3.87,3.53
69,5.23,0.35,774,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.43,0.00,-3.87,3.53
181,5.23,0.35,779,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.48,0.00,-3.87,3.53
198,5.23,0.35,777,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.46,0.00,-3.87,3.53
415,5.23,0.35,776,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.51,0.00,-3.87,3.53
451,5.23,0.35,769,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
557,5.23,0.35,766,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.48,0.00,-3.87,3.53
713,5.23,0.35,769,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.43,0.00,-3.87,3.53
713,5.23,0.34,770,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.29,0.00,-3.87,3.53
713,5.23,0.33,769,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.34,0.00,-3.87,3.53
938,5.23,0.34,770,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.43,0.00,-3.87,3.53
964,5.23,0.36,765,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.57,0.00,-3.87,3.53
964,5.23,0.37,766,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.69,0.00,-3.87,3.53
1034,5.23,0.35,768,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.46,0.00,-3.87,3.53
1198,5.18,0.35,773,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.42,0.00,-3.87,3.53
1217,5.18,0.35,772,0.00,0.99,0.00,1.0000,14.50,46,1,1,2,10,4.40,0.00,-3.87,3.53
1217,5.21,0.35,770,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.40,0.00,-3.87,3.53
1233,5.23,0.35,766,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.45,0.00,-3.87,3.53
1449,5.18,0.35,780,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
1463,5.21,0.34,784,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.45,0.00,-3.87,3.53
1463,5.23,0.35,776,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.57,0.00,-3.87,3.53
1689,5.23,0.35,777,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.51,0.00,-3.87,3.53
1827,5.23,0.34,776,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
1902,5.23,0.35,774,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
1902,5.26,0.34,774,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
1977,5.27,0.34,775,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.54,0.00,-3.87,3.53
2109,5.27,0.34,771,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
2279,5.25,0.35,777,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.45,0.00,-3.87,3.53
2279,5.24,0.35,777,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
2279,5.28,0.35,776,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.57,0.00,-3.87,3.53
2293,5.26,0.34,773,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
2293,5.26,0.34,776,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.37,0.00,-3.87,3.53
2372,5.26,0.35,775,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.54,0.00,-3.87,3.53
2372,5.24,0.35,773,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
2578,5.23,0.35,776,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.46,0.00,-3.87,3.53
2593,5.23,0.34,770,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.46,0.00,-3.87,3.53
2593,5.23,0.36,769,0.00,0.99,0.00,1.0000,14.50,46,1,1,2,10,4.54,0.00,-3.87,3.53
2790,5.23,0.35,763,0.00,0.99,0.00,1.0000,14.50,46,1,1,2,10,4.51,0.00,-3.87,3.53
2823,5.23,0.35,767,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.54,0.00,-3.87,3.53
2823,5.22,0.36,767,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.66,0.00,-3.87,3.53
2994,5.19,0.36,770,0.00,0.99,0.00,1.0000,14.00,46,1,1,2,10,4.62,0.00,-3.87,3.53
3018,5.19,0.36,768,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.60,0.00,-3.87,3.53
3029,5.18,0.36,770,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.63,0.00,-3.87,3.53
3212,5.18,0.36,773,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.69,0.00,-3.87,3.53
3246,5.18,0.35,782,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.54,0.00,-3.87,3.53
3246,5.19,0.34,782,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.54,0.00,-3.87,3.53
3433,5.22,0.34,786,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.43,0.00,-3.87,3.53
3468,5.23,0.34,790,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.45,0.00,-3.87,3.53
3468,5.23,0.34,792,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.42,0.00,-3.87,3.53
3603,5.23,0.36,791,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.66,0.00,-3.87,3.53
3603,5.23,0.35,793,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.54,0.00,-3.87,3.53
3689,5.23,0.35,788,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.54,0.00,-3.87,3.53
3857,5.25,0.34,784,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.34,0.00,-3.87,3.53
3900,5.24,0.35,783,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.60,0.00,-3.87,3.53
3900,5.23,0.35,782,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.66,0.00,-3.87,3.53
4090,5.23,0.36,788,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.66,0.00,-3.87,3.53
4105,5.23,0.34,780,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.45,0.00,-3.87,3.53
4168,5.23,0.36,775,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.60,0.00,-3.87,3.53
4294,5.23,0.35,776,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.57,0.00,-3.87,3.53
4313,5.23,0.34,780,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.42,0.00,-3.87,3.53
4497,5.23,0.34,781,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
4515,5.23,0.35,781,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.51,0.00,-3.87,3.53
4515,5.23,0.35,783,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
4607,5.23,0.34,788,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.57,0.00,-3.87,3.53
4717,5.24,0.35,781,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.66,0.00,-3.87,3.53
4717,5.26,0.35,786,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.62,0.00,-3.87,3.53
4888,5.26,0.35,783,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.66,0.00,-3.87,3.53
4904,5.28,0.35,780,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.57,0.00,-3.87,3.53
4947,5.28,0.35,786,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.63,0.00,-3.87,3.53
5104,5.27,0.34,787,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.45,0.00,-3.87,3.53
5104,5.27,0.34,790,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.42,0.00,-3.87,3.53
5296,5.28,0.34,788,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.42,0.00,-3.87,3.53
5327,5.28,0.36,786,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.69,0.00,-3.87,3.53
5327,5.27,0.35,786,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.75,0.00,-3.87,3.53
5514,5.27,0.34,786,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.35,0.00,-3.87,3.53
5719,5.26,0.34,790,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.54,0.00,-3.87,3.53
5731,5.26,0.35,790,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.57,0.00,-3.87,3.53
5744,5.27,0.35,793,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.54,0.00,-3.87,3.53
5744,5.27,0.34,793,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.40,0.00,-3.87,3.53
5744,5.28,0.35,782,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
5902,5.28,0.34,775,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.40,0.00,-3.87,3.53
5937,5.28,0.34,776,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.37,0.00,-3.87,3.53
5951,5.26,0.34,778,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.46,0.00,-3.87,3.53
6124,5.26,0.35,779,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.54,0.00,-3.87,3.53
6185,5.24,0.35,781,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.63,0.00,-3.87,3.53
6343,5.26,0.35,774,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.60,0.00,-3.87,3.53
6343,5.24,0.35,773,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.54,0.00,-3.87,3.53
6343,5.26,0.35,780,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.57,0.00,-3.87,3.53
6403,5.23,0.34,778,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
6619,5.23,0.36,786,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.69,0.00,-3.87,3.53
6619,5.23,0.35,786,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.48,0.00,-3.87,3.53
6619,5.23,0.35,786,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.60,0.00,-3.87,3.53
6826,5.23,0.35,782,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.57,0.00,-3.87,3.53
6886,5.24,0.36,780,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.69,0.00,-3.87,3.53
7029,5.24,0.36,784,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.57,0.00,-3.87,3.53
7232,5.26,0.34,796,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
7252,5.24,0.35,790,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
7252,5.23,0.35,786,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.60,0.00,-3.87,3.53
7294,5.28,0.34,790,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.42,0.00,-3.87,3.53
7385,5.28,0.35,789,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.63,0.00,-3.87,3.53
7385,5.28,0.34,783,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.48,0.00,-3.87,3.53
7385,5.28,0.34,792,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.45,0.00,-3.87,3.53
7468,5.28,0.35,783,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.60,0.00,-3.87,3.53
7651,5.28,0.35,784,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.60,0.00,-3.87,3.53
7651,5.28,0.33,784,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.26,0.00,-3.87,3.53
7745,5.28,0.34,777,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.39,0.00,-3.87,3.53
7745,5.28,0.33,776,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.40,0.00,-3.87,3.53
7857,5.28,0.34,779,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.37,0.00,-3.87,3.53
7857,5.28,0.33,777,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.45,0.00,-3.87,3.53
8043,5.28,0.35,780,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.54,0.00,-3.87,3.53
8065,5.28,0.34,778,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.45,0.00,-3.87,3.53
8065,5.27,0.34,785,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
8247,5.28,0.35,784,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.57,0.00,-3.87,3.53
8307,5.27,0.36,784,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.63,0.00,-3.87,3.53
8431,5.27,0.35,786,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.51,0.00,-3.87,3.53
8526,5.27,0.34,789,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.46,0.00,-3.87,3.53
8637,5.24,0.34,790,0.00,0.99,0.00,1.0000,12.50,46,1,1,2,10,4.51,0.00,-3.87,3.53
8654,5.28,0.34,791,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.48,0.00,-3.87,3.53
8760,5.28,0.34,790,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.45,0.00,-3.87,3.53
8760,5.28,0.34,784,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.40,0.00,-3.87,3.53
8760,5.28,0.35,790,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.60,0.00,-3.87,3.53
8877,5.28,0.34,789,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.45,0.00,-3.87,3.53
8877,5.28,0.35,780,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.57,0.00,-3.87,3.53
9041,5.28,0.34,778,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
9076,5.28,0.34,782,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.42,0.00,-3.87,3.53
9076,5.28,0.34,780,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
9267,5.28,0.34,781,0.00,0.99,0.00,1.0000,13.50,46,1,1,2,10,4.48,0.00,-3.87,3.53
9293,5.28,0.35,780,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.45,0.00,-3.87,3.53
9293,5.28,0.34,774,0.00,0.99,0.00,1.0000,13.00,46,1,1,2,10,4.48,0.00,-3.87,3.53
