Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,5.98,0.27,758,0.00,0.99,0.00,1.0000,15.00,54,16,3,7,20,3.50,0.00,-3.87,2.75
215,5.98,0.29,732,0.00,0.99,0.00,1.0000,17.00,54,16,3,7,20,3.38,0.00,-3.87,2.75
215,5.98,0.28,748,0.00,0.99,0.00,1.0000,15.50,54,16,3,7,20,3.47,0.00,-3.87,2.75
217,5.98,0.28,748,0.00,0.99,0.00,1.0000,16.00,54,16,3,7,20,3.55,0.00,-3.87,2.75
217,5.98,0.28,747,0.00,0.99,0.00,1.0000,15.50,54,16,3,7,20,3.52,0.00,-3.87,2.75
217,5.98,0.28,749,0.00,0.99,0.00,1.0000,15.50,54,16,3,7,20,3.48,0.00,-3.87,2.75
692,5.98,0.29,710,0.00,0.99,0.00,1.0000,18.00,54,16,3,7,20,3.48,0.00,-3.87,2.75
1091,5.97,0.30,708,0.00,0.99,0.00,1.0000,19.00,54,16,3,7,20,3.52,0.00,-3.87,2.75
1254,5.90,0.31,686,0.00,0.99,0.00,1.0000,19.50,54,16,3,7,20,3.57,0.00,-3.87,2.75
1441,5.84,0.32,669,0.00,0.99,0.00,1.0000,20.50,54,16,3,7,20,3.50,0.00,-3.87,2.75
2001,4.87,0.34,785,0.00,0.99,0.00,1.0000,13.50,54,16,3,7,20,4.43,0.00,-3.87,3.53
2001,4.77,0.35,751,0.00,0.99,0.00,1.0000,16.00,54,16,3,7,20,4.21,0.00,-3.87,3.53
2001,4.77,0.35,716,0.00,0.99,0.00,1.0000,18.50,54,16,3,7,20,4.41,0.00,-3.87,3.53
2001,4.78,0.38,707,0.00,0.99,0.00,1.0000,19.50,54,16,3,7,20,4.45,0.00,-3.87,3.53
2001,4.88,0.39,688,0.00,0.99,0.00,1.0000,20.00,54,16,3,7,20,4.49,0.00,-3.87,3.53
2020,4.94,0.40,663,0.00,0.99,0.00,1.0000,20.50,54,16,3,7,20,4.40,0.00,-3.87,3.53
2024,5.01,0.41,648,0.00,0.91,0.00,1.0000,21.00,54,16,3,7,20,4.29,0.00,-3.87,3.53
2024,5.21,0.41,632,0.00,0.99,0.00,1.0000,21.50,54,16,3,7,20,4.23,0.00,-3.87,3.53
2024,5.49,0.39,630,0.00,0.99,0.00,1.0000,21.50,54,16,3,7,20,4.00,0.00,-3.87,3.53
2024,5.57,0.38,636,0.00,0.99,0.00,1.0000,21.50,54,16,3,7,20,3.89,0.00,-3.87,3.53
2024,5.64,0.36,644,0.00,0.99,0.00,1.0000,21.00,54,16,3,7,20,3.74,0.00,-3.87,3.14
2024,5.74,0.35,644,0.00,0.99,0.00,1.0000,21.00,54,16,3,7,20,3.67,0.00,-3.87,3.14
2024,5.79,0.32,656,0.00,0.99,0.00,1.0000,21.00,54,16,3,7,20,3.55,0.00,-3.87,2.75
2147,4.98,0.33,809,0.00,0.99,0.00,1.0000,12.00,54,16,3,7,20,4.43,0.00,-3.87,3.53
2200,5.02,0.32,828,0.00,0.99,0.00,1.0000,11.50,54,16,3,7,20,4.43,0.00,-3.87,3.53
2238,5.07,0.31,839,0.00,0.99,0.00,1.0000,11.50,54,16,3,7,20,4.40,0.00,-3.93,3.53
2309,5.16,0.31,843,0.00,0.99,0.00,1.0000,11.50,54,16,3,7,20,4.31,0.00,-3.93,3.53
2344,5.25,0.31,852,0.00,0.99,0.00,1.0000,8.50,54,16,3,7,20,4.40,0.00,-3.96,3.53
2452,5.30,0.32,851,0.00,0.99,0.00,1.0000,10.00,54,16,3,7,20,4.48,0.00,-3.98,3.53
2505,5.40,0.31,848,0.00,0.99,0.00,1.0000,11.50,54,16,3,7,20,4.40,0.00,-3.98,3.53
2596,5.45,0.31,856,0.00,0.99,0.00,1.0000,11.50,54,16,3,7,20,4.31,0.00,-4.00,3.53
2712,5.48,0.32,845,0.00,0.99,0.00,1.0000,13.00,54,16,3,7,20,4.40,0.00,-4.00,3.53
2850,5.53,0.32,834,0.00,0.99,0.00,1.0000,15.00,54,16,3,7,20,4.45,0.00,-4.00,3.92
2923,5.55,0.34,825,0.00,0.99,0.00,1.0000,16.00,54,16,3,7,20,4.45,0.00,-3.98,3.92
