Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,3.65,0.56,4272,0.00,0.98,0.00,1.0000,48.50,39,3,1,2,15,39.83,0.00,-4.97,18.04
29,3.44,0.57,4294,0.00,0.98,0.00,1.0000,48.50,39,3,1,2,15,39.95,0.00,-4.99,17.65
29,3.57,0.57,4274,0.00,0.98,0.00,1.0000,48.50,39,3,1,2,15,41.20,0.00,-4.97,18.04
29,3.46,0.58,4290,0.00,0.98,0.00,1.0000,48.50,39,3,1,2,15,41.70,0.00,-4.97,18.43
200,3.49,0.60,4294,0.00,0.98,0.00,1.0000,48.50,39,3,1,2,15,46.22,0.00,-4.97,22.35
200,3.47,1.09,4327,0.00,0.69,0.00,1.0000,44.50,39,3,1,2,15,98.94,28.63,-4.97,60.00
285,17.82,1.60,4338,0.00,0.92,0.00,1.0000,37.50,39,3,1,2,15,117.75,50.98,7.99,100.00
394,16.57,1.78,4363,0.00,0.90,0.00,1.0000,31.50,39,3,1,2,15,132.57,50.98,17.50,100.00
394,14.97,2.03,4366,0.00,0.85,0.00,1.0000,30.00,39,3,1,2,15,151.23,50.98,17.50,100.00
553,13.31,2.34,4388,0.00,0.83,0.00,1.0000,26.50,39,3,1,2,15,174.51,50.98,17.50,100.00
579,11.43,2.66,4463,0.00,0.80,0.00,1.0000,21.00,39,3,1,2,15,199.12,50.98,17.50,100.00
749,8.95,2.88,4470,0.00,0.81,0.00,1.0000,18.50,39,3,1,2,15,223.71,50.59,17.46,100.00
784,6.00,3.14,4537,0.00,0.70,0.00,1.0000,17.00,39,3,1,2,15,240.17,50.59,17.29,100.00
784,2.04,3.22,4561,0.00,0.76,0.00,1.0000,16.50,39,3,1,2,15,247.94,49.80,17.25,100.00
928,0.81,3.29,4622,0.00,0.78,0.00,1.0000,15.50,39,3,1,2,15,252.54,47.84,17.15,100.00
954,0.25,3.30,4688,0.00,0.77,0.00,1.0000,14.50,39,3,1,2,15,254.92,46.67,17.07,100.00
1129,-0.15,3.26,4701,0.00,0.76,0.00,1.0000,14.50,39,3,1,2,15,251.60,46.67,17.02,100.00
1203,-0.11,3.22,4746,0.00,0.76,0.00,1.0000,14.00,39,3,1,2,15,253.96,46.67,16.84,100.00
1331,-0.02,3.21,4819,0.00,0.76,0.00,1.0000,14.00,39,3,1,2,15,250.69,46.67,16.78,100.00
1374,0.18,3.20,4858,0.00,0.76,0.00,1.0000,14.00,39,3,1,2,15,258.29,46.27,16.63,100.00
1374,0.29,3.18,4919,0.00,0.76,0.00,1.0000,14.50,39,3,1,2,15,258.77,46.27,16.42,100.00
1374,0.35,3.12,4936,0.00,0.76,0.00,1.0000,15.00,39,3,1,2,15,257.81,45.49,16.30,100.00
1550,0.51,3.10,5008,0.00,0.76,0.00,1.0000,15.50,39,3,1,2,15,260.69,45.49,16.15,100.00
1585,0.59,3.13,5034,0.00,0.76,0.00,1.0000,16.00,39,3,1,2,15,263.10,45.10,16.15,100.00
1594,0.65,3.15,5101,0.00,0.76,0.00,1.0000,16.50,39,3,1,2,15,263.58,45.10,15.99,100.00
1749,0.60,3.12,5105,0.00,0.76,0.00,1.0000,17.50,39,3,1,2,15,262.62,44.31,15.84,100.00
1784,0.62,3.07,5164,0.00,0.76,0.00,1.0000,17.50,39,3,1,2,15,263.58,45.10,15.60,100.00
1784,0.78,3.06,5241,0.00,0.76,0.00,1.0000,18.00,39,3,1,2,15,264.54,44.31,15.66,100.00
