Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
2540,4.22,0.40,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.94,0.00,-5.28,7.45
2540,4.20,0.40,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.89,0.00,-5.26,7.45
2540,4.21,0.40,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.28,7.45
3733,4.21,0.41,1494,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
3733,4.19,0.40,1490,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.10,0.00,-5.26,7.45
3733,4.23,0.41,1492,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.20,0.00,-5.26,7.45
3733,4.22,0.39,1491,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.79,0.00,-5.26,7.45
3878,4.22,0.40,1499,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.28,7.45
3878,4.20,0.40,1498,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
3878,4.21,0.40,1503,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.15,0.00,-5.28,7.45
3878,4.19,0.40,1509,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.05,0.00,-5.28,7.45
3878,4.22,0.39,1508,0.00,0.99,0.00,1.0000,18.50,45,0,0,0,0,9.74,0.00,-5.30,7.45
3878,4.21,0.39,1501,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.84,0.00,-5.28,7.45
3878,4.22,0.41,1495,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.15,0.00,-5.28,7.45
3878,4.22,0.40,1497,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
3878,4.22,0.39,1495,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.79,0.00,-5.28,7.45
3878,4.21,0.39,1496,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.69,0.00,-5.26,7.45
3878,4.22,0.41,1498,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.28,7.45
3878,4.21,0.41,1498,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
4785,4.23,0.42,1489,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.36,0.00,-5.28,7.45
5148,4.24,0.40,1493,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
5148,4.22,0.40,1493,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.94,0.00,-5.26,7.45
5148,4.23,0.40,1492,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
5148,4.22,0.40,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.05,0.00,-5.28,7.45
5148,4.22,0.39,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.89,0.00,-5.28,7.45
5148,4.21,0.39,1499,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.79,0.00,-5.26,7.45
5148,4.20,0.40,1492,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.10,0.00,-5.26,7.45
5148,4.19,0.41,1494,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.20,0.00,-5.28,7.45
5164,4.21,0.39,1494,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,9.79,0.00,-5.28,7.45
5164,4.21,0.41,1493,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.20,0.00,-5.26,7.45
5164,4.22,0.41,1496,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.20,0.00,-5.28,7.45
5164,4.20,0.40,1501,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.05,0.00,-5.26,7.45
5164,4.21,0.40,1503,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.10,0.00,-5.28,7.45
5164,4.20,0.41,1498,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.25,0.00,-5.26,7.45
5715,4.18,0.42,1487,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,10.41,0.00,-5.26,7.45
5982,4.19,0.40,1486,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,10.05,0.00,-5.26,7.45
6297,4.19,0.40,1505,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.05,0.00,-5.26,7.45
6314,4.18,0.41,1498,0.00,0.98,0.00,1.0000,21.00,45,0,0,0,0,10.15,0.00,-5.26,7.45
6314,4.18,0.39,1495,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,9.79,0.00,-5.24,7.45
6314,4.22,0.40,1488,0.00,0.98,0.00,1.0000,21.50,45,0,0,0,0,9.89,0.00,-5.26,7.45
6314,4.18,0.41,1501,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.10,0.00,-5.24,7.45
6314,4.19,0.51,1493,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.20,0.00,-5.26,7.45
6314,4.21,0.41,1496,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.15,0.00,-5.26,7.45
6314,4.21,0.40,1498,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.00,0.00,-5.28,7.45
6314,4.22,0.39,1495,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.64,0.00,-5.26,7.45
6314,4.20,0.40,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.89,0.00,-5.28,7.45
6314,4.21,0.41,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.10,0.00,-5.26,7.45
6333,4.22,0.39,1495,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.84,0.00,-5.28,7.45
6608,4.17,0.40,1497,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,10.00,0.00,-5.24,7.45
6608,4.20,0.40,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.05,0.00,-5.28,7.45
6608,4.20,0.39,1501,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.74,0.00,-5.28,7.45
7162,4.20,0.39,1501,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.84,0.00,-5.28,7.45
7547,4.21,0.41,1508,0.00,0.98,0.00,1.0000,19.00,45,0,0,0,0,10.15,0.00,-5.28,7.45
7547,4.19,0.41,1504,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.15,0.00,-5.26,7.45
7547,4.20,0.41,1500,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.10,0.00,-5.28,7.45
7547,4.20,0.40,1506,0.00,0.98,0.00,1.0000,19.00,45,0,0,0,0,10.10,0.00,-5.26,7.45
7547,4.19,0.41,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.30,0.00,-5.26,7.45
7547,4.18,0.40,1495,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.94,0.00,-5.24,7.45
7547,4.19,0.41,1492,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,10.15,0.00,-5.28,7.45
7547,4.20,0.41,1500,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.25,0.00,-5.26,7.45
7547,4.22,0.41,1508,0.00,0.99,0.00,1.0000,19.00,45,0,0,0,0,10.30,0.00,-5.28,7.45
7566,4.20,0.39,1504,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.74,0.00,-5.26,7.45
7566,4.23,0.40,1496,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.00,0.00,-5.28,7.45
7566,4.22,0.40,1499,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.00,0.00,-5.26,7.45
7566,4.19,0.40,1499,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.94,0.00,-5.28,7.45
7566,4.19,0.40,1502,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.89,0.00,-5.26,7.45
8378,4.21,0.41,1511,0.00,0.98,0.00,1.0000,19.00,45,0,0,0,0,10.20,0.00,-5.26,7.45
8516,4.22,0.40,1507,0.00,0.98,0.00,1.0000,19.00,45,0,0,0,0,10.00,0.00,-5.28,7.45
8656,4.17,0.31,1489,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.25,0.00,-5.26,7.45
8656,4.18,0.41,1488,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,10.10,0.00,-5.26,7.45
8656,4.18,0.39,1484,0.00,0.98,0.00,1.0000,20.50,45,0,0,0,0,9.79,0.00,-5.26,7.45
8656,4.22,0.40,1492,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.89,0.00,-5.28,7.45
8656,4.22,0.40,1500,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.05,0.00,-5.26,7.45
8656,4.23,0.41,1502,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,10.36,0.00,-5.28,7.45
8656,4.22,0.42,1504,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.58,0.00,-5.26,7.45
8678,4.23,0.41,1505,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.25,0.00,-5.28,7.45
8678,4.19,0.41,1510,0.00,0.98,0.00,1.0000,19.00,45,0,0,0,0,10.15,0.00,-5.26,7.45
8678,4.21,0.38,1503,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.53,0.00,-5.26,7.45
8678,4.21,0.40,1500,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.26,7.45
8678,4.21,0.41,1506,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.25,0.00,-5.28,7.45
8678,4.21,0.39,1504,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.79,0.00,-5.26,7.45
9870,4.18,0.40,1499,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.00,0.00,-5.24,7.45
9870,4.19,0.39,1485,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,9.79,0.00,-5.26,7.45
9877,4.20,0.40,1488,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.00,0.00,-5.28,7.45
9877,4.21,0.40,1493,0.00,0.99,0.00,1.0000,20.50,45,0,0,0,0,9.89,0.00,-5.28,7.45
9877,4.20,0.38,1501,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.64,0.00,-5.26,7.45
9877,4.21,0.39,1497,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.79,0.00,-5.26,7.45
9877,4.18,0.41,1488,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.15,0.00,-5.26,7.45
9877,4.22,0.40,1486,0.00,0.99,0.00,1.0000,21.00,45,0,0,0,0,10.05,0.00,-5.26,7.45
9877,4.18,0.40,1494,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.94,0.00,-5.26,7.45
9877,4.18,0.39,1490,0.00,0.99,0.00,1.0000,20.00,45,0,0,0,0,9.74,0.00,-5.26,7.45
9877,4.18,0.39,1487,0.00,0.98,0.00,1.0000,20.00,45,0,0,0,0,9.74,0.00,-5.26,7.45
9892,4.19,0.41,1490,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,10.20,0.00,-5.28,7.45
9892,4.21,0.40,1493,0.00,0.99,0.00,1.0000,19.50,45,0,0,0,0,9.89,0.00,-5.26,7.45
9892,4.18,0.40,1492,0.00,0.98,0.00,1.0000,19.50,45,0,0,0,0,9.94,0.00,-5.26,7.45
