Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Feedback Knock Correction (1-byte)** (degrees)
0,0.00,61.46,751,0.00,0.22,-31.75,8.1250,-62.50,-11,52,77,2,8,0.02,50.20,72.51,0.00,-17.93
113,0.00,4.25,651,-0.00,0.22,-30.50,15.7500,-62.50,-11,52,89,2,14,0.02,50.20,3.58,0.00,-13.71
113,0.00,61.46,734,0.00,0.22,-31.75,8.1250,-62.50,-11,52,70,2,8,0.02,50.20,72.59,0.00,-20.39
113,0.00,60.86,712,0.00,0.22,-31.75,12.6250,-62.50,-11,52,57,2,8,0.02,50.20,72.65,0.00,-24.96
113,0.00,60.26,689,0.00,0.22,-31.75,1.1250,-62.50,-11,52,66,2,8,0.02,50.20,72.69,0.00,-21.80
113,0.00,59.78,673,0.00,0.22,-31.75,11.1250,-62.50,-11,52,75,2,8,0.02,50.20,77.64,0.00,-18.63
113,0.00,59.97,656,0.00,0.22,-31.75,15.0000,-62.50,-11,52,79,2,8,0.02,50.20,82.61,0.00,-17.23
113,0.00,51.98,642,2606525225845536000000000.00,0.22,-31.75,3.0000,-62.50,-11,52,87,2,8,0.02,50.20,87.58,0.00,-14.41
113,0.00,44.82,625,2602319368196730000000000.00,0.22,-31.75,10.5000,-62.50,-11,52,146,2,8,0.02,50.20,92.53,0.00,6.33
113,0.00,18.17,612,2598556232405693300000000.00,0.22,-31.75,13.5000,-62.50,-11,52,165,2,8,0.02,50.20,1072.69,0.00,13.01
113,0.00,9.34,617,2598851956771625000000000.00,0.22,-31.25,3.5000,-62.50,-11,52,208,2,11,0.02,50.20,716.29,0.00,28.12
113,0.00,8.03,624,-0.00,0.22,-30.75,7.2500,-62.50,-11,52,244,2,15,0.02,50.20,102.58,0.00,40.78
503,0.00,2.32,749,-10555676598363402000000000.00,0.22,-30.50,4.0000,-62.50,-11,52,0,2,12,0.02,50.20,973.51,0.00,-45.00
891,0.00,0.41,899,0.00,0.21,-30.25,14.2500,-62.50,-11,52,31,2,8,12.83,50.20,1230.67,0.00,-34.10
1264,-0.00,5.82,1816,-0.00,0.20,-28.00,8.5000,-62.50,-11,51,166,2,8,104.99,50.20,795.22,74.90,13.36
1264,-0.00,5.74,1780,-0.00,0.20,-28.25,0.0000,-62.50,-11,51,217,2,8,110.11,50.20,824.93,74.90,31.29
1264,-0.00,0.26,1757,-0.00,0.20,-28.25,11.0000,-62.50,-11,51,142,2,8,115.23,50.20,923.91,74.90,4.92
1264,-0.00,0.44,1743,-0.00,0.20,-28.50,4.0000,-62.50,-11,51,223,2,8,110.11,50.20,983.31,74.90,33.40
1275,-0.00,0.40,1678,-0.00,0.20,-28.75,6.5000,-62.50,-11,51,222,2,8,81.95,50.20,1022.88,74.90,33.05
1275,-0.00,0.30,1627,-0.00,0.20,-28.75,15.7500,-62.50,-11,51,200,2,8,89.63,50.20,1092.10,74.90,25.31
1275,0.00,0.46,1557,-0.00,0.21,-28.75,5.0000,-62.50,-11,52,11,2,8,97.31,50.20,1121.82,0.00,-41.13
1275,0.00,1.07,1576,718962787021552300000000.00,0.21,-28.75,10.7500,-62.50,-11,52,30,2,8,35.87,50.20,1126.79,0.00,-34.45
1275,0.00,1.46,1621,189467897937408400000000000000.00,0.21,-29.00,12.2500,-62.50,-11,52,79,2,8,12.83,50.20,1181.30,0.00,-17.23
1275,0.00,0.69,1579,12420137285726567000000000000000000.00,0.21,-29.25,2.5000,-62.50,-11,52,149,2,8,23.07,50.20,938.72,0.00,7.38
1275,0.00,0.35,1408,50178407546904580000000000000000000000.00,0.21,-29.50,2.5000,-62.50,-11,52,122,2,8,53.79,50.20,899.04,0.00,-2.11
1275,0.00,0.16,1126,43359112477650950000000.00,0.21,-29.75,4.0000,-62.50,-11,52,207,2,10,51.23,50.20,1131.63,0.00,27.77
1770,-0.00,5.43,1802,-0.00,0.20,-27.75,15.0000,-62.50,-11,51,13,2,8,112.67,50.20,750.67,74.90,-40.43
2049,-0.00,4.92,1824,-0.00,0.20,-27.75,10.5000,-62.50,-11,51,26,2,8,115.23,50.20,691.27,74.90,-35.86
2192,-0.00,4.35,1816,-0.00,0.20,-27.75,1.0000,-62.50,-11,51,116,2,8,115.23,50.20,661.57,74.90,-4.22
2313,-0.00,3.93,3011,849914843730236100000000000.00,0.20,-24.50,0.0000,-62.50,-11,50,246,2,9,202.27,50.20,132.28,74.51,41.48
2313,-0.00,2.21,2848,3347448300790527300000000000.00,0.20,-25.00,4.0000,-62.50,-11,50,193,2,8,222.75,50.20,1236.10,74.90,22.85
2313,-0.00,3.61,2750,54294942747006010000000000000000.00,0.20,-25.00,8.0000,-62.50,-11,50,52,2,8,227.87,50.20,909.35,74.90,-26.72
2450,-0.00,5.07,2616,-0.00,0.20,-25.25,6.0000,-62.50,-11,50,8,2,8,263.71,50.20,760.82,74.90,-42.19
2450,-0.00,3.69,1815,-0.00,0.20,-27.75,13.5000,-62.50,-11,51,142,2,8,120.35,50.20,631.85,74.90,4.92
2450,-0.00,3.62,1788,-0.00,0.20,-27.75,2.0000,-62.50,-11,51,234,2,8,112.67,50.20,602.11,74.90,37.27
2450,-0.00,4.27,1901,-0.00,0.20,-27.50,14.5000,-62.50,-11,51,127,2,8,133.15,50.20,557.65,74.90,-0.35
2450,-0.00,3.54,2131,-0.00,0.20,-27.00,11.5000,-62.50,-11,50,7,2,8,174.11,50.20,542.88,74.90,-42.54
2450,-0.00,6.04,2253,-0.00,0.20,-26.50,0.0000,-62.50,-11,50,179,2,8,189.47,50.20,513.22,74.90,17.93
2450,-0.00,4.77,2314,3329174507004613400000000000000000.00,0.20,-26.25,2.0000,-62.50,-11,50,56,2,8,151.07,50.20,508.27,74.90,-25.31
2469,-0.00,1.96,2426,51645424350732550000000000000.00,0.20,-26.00,1.0000,-62.50,-11,50,234,2,8,204.83,50.20,637.01,74.90,37.27
2568,0.00,4.81,3453,861705494103767700000000.00,0.20,-22.25,8.0000,-62.50,-11,50,92,2,9,148.51,50.20,275.96,0.00,-12.66
2568,0.00,2.99,3333,223555223694444830000000000000.00,0.20,-23.00,13.0000,-62.50,-11,50,42,2,9,161.31,50.20,167.05,0.00,-30.23
2568,0.00,7.22,3174,841340000416016200000000.00,0.20,-23.50,10.0000,-62.50,-11,50,84,2,9,207.39,50.20,152.20,0.00,-15.47
2687,0.00,0.78,3799,865973387711540600000.00,0.20,-20.50,8.5000,-62.50,-11,50,139,2,9,107.55,50.20,498.68,0.00,3.87
2687,0.00,6.43,3624,57322625002239540000000000000.00,0.20,-21.25,3.5000,-62.50,-11,50,103,2,9,122.91,50.20,404.64,0.00,-8.79
2792,0.00,2.49,3987,48836.18,0.20,-20.50,11.5000,-62.50,-11,50,139,2,9,64.03,50.20,582.83,0.00,3.87
2912,0.00,7.42,4302,0.00,0.20,-20.25,10.5000,-62.50,-11,50,80,2,9,46.11,50.20,355.18,0.00,-16.88
2912,0.00,1.33,4115,0.00,0.20,-20.50,15.0000,-62.50,-11,50,55,2,9,66.59,50.20,454.16,0.00,-25.66
3199,0.00,6.55,4459,0.00,0.20,-19.75,0.5000,-62.50,-11,50,49,2,9,76.83,50.20,305.69,0.00,-27.77
3597,0.00,5.80,4610,0.00,0.20,-19.75,1.5000,-62.50,-11,50,137,2,9,30.75,50.20,276.07,0.00,3.16
3958,0.00,0.01,4761,-0.00,0.20,-17.75,5.8750,-62.50,-11,50,140,2,10,250.92,50.20,1088.04,0.00,4.22
3958,0.00,2.77,4916,0.00,0.20,-21.00,15.0000,-62.50,-11,50,99,2,9,176.66,50.20,974.57,0.00,-10.20
3958,0.00,7.86,4944,0.00,0.20,-27.25,10.3125,-62.50,-11,50,136,2,9,0.02,50.20,618.37,0.00,2.81
3976,0.00,9.05,4996,0.00,0.20,-30.50,2.5000,-62.50,-11,50,57,2,8,0.02,50.20,197.45,0.00,-24.96
3976,0.00,17.28,5076,0.00,0.20,-31.00,2.1250,-62.50,-11,50,114,2,8,0.02,50.20,133.09,0.00,-4.92
3976,0.00,15.26,5088,0.00,0.20,-30.50,9.5000,-62.50,-11,50,198,2,5,0.02,50.20,1098.46,0.00,24.61
3976,0.00,4.84,5064,0.00,0.20,-26.25,6.2500,-62.50,-11,50,185,2,7,0.02,50.20,1212.09,0.00,20.04
3976,0.00,0.52,5002,-0.00,0.20,-22.50,11.5000,-62.50,-11,50,227,2,9,0.02,50.20,58.59,0.00,34.80
