Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Feedback Knock Correction (1-byte)** (degrees)
0,0.00,69.79,727,2632350667548729000000000.00,0.80,-31.75,10.0000,-64.00,-11,56,82,1,8,0.02,50.20,72.61,0.00,-16.17
131,0.00,69.79,730,2633236111264267000000000.00,0.80,-31.75,10.0000,-64.00,-11,56,87,1,8,0.02,50.20,72.59,0.00,-14.41
131,0.00,69.79,732,2633900194050921000000000.00,0.80,-31.75,10.0000,-64.00,-11,56,75,1,8,0.02,50.20,72.59,0.00,-18.63
131,0.00,69.79,735,2634711850790164000000000.00,0.80,-31.75,10.0000,-64.00,-11,56,70,1,8,0.02,50.20,72.57,0.00,-20.39
131,0.00,69.91,734,2634416702884984600000000.00,0.80,-31.75,15.5000,-64.00,-11,56,75,1,8,0.02,50.20,72.57,0.00,-18.63
131,0.00,69.91,723,2631170075928012000000000.00,0.80,-31.75,15.5000,-64.00,-11,56,75,1,8,0.02,50.20,72.63,0.00,-18.63
131,0.00,69.79,724,2631686584762075600000000.00,0.80,-31.75,10.0000,-64.00,-11,56,82,1,8,0.02,50.20,72.61,0.00,-16.17
131,0.00,69.79,725,2631834158714665300000000.00,0.80,-31.75,10.0000,-64.00,-11,56,82,1,8,0.02,50.20,72.61,0.00,-16.17
131,0.00,69.79,728,2632572028477613700000000.00,0.80,-31.75,10.0000,-64.00,-11,56,77,1,8,0.02,50.20,72.61,0.00,-17.93
131,0.00,69.79,726,2632276880572434300000000.00,0.80,-31.75,10.0000,-64.00,-11,56,94,1,8,0.02,50.20,72.61,0.00,-11.95
131,0.00,69.79,728,2632793389406498000000000.00,0.80,-31.75,10.0000,-64.00,-11,56,99,1,8,0.02,50.20,72.61,0.00,-10.20
131,0.00,69.55,700,2624381674108886600000000.00,0.80,-31.75,15.0000,-64.00,-11,56,77,1,8,0.02,50.20,72.67,0.00,-17.93
131,0.00,69.31,685,2620028242507491000000000.00,0.80,-31.75,4.0000,-64.00,-11,56,96,1,8,0.02,50.20,72.67,0.00,-11.25
131,0.00,68.71,666,2614420432309083500000000.00,0.80,-31.75,8.5000,-64.00,-11,56,86,1,8,0.02,50.20,72.69,0.00,-14.77
131,0.00,67.62,660,2608886409086970600000000.00,0.80,-31.75,7.0000,-64.00,-11,56,87,1,8,0.02,50.20,77.66,0.00,-14.41
131,0.00,69.79,715,2628956466639166600000000.00,0.80,-31.75,10.0000,-64.00,-11,56,82,1,8,0.02,50.20,72.63,0.00,-16.17
720,0.00,57.90,644,2607853391418843000000000.00,0.80,-31.75,1.0000,-64.00,-11,56,91,1,8,0.02,50.20,82.61,0.00,-13.01
1167,0.00,46.42,860,653022016337466100000.00,0.80,-31.75,5.0000,-64.00,-11,56,195,1,8,0.02,50.20,87.09,0.00,23.55
1167,0.00,45.86,842,2603801442035502700000.00,0.80,-31.75,1.3750,-64.00,-11,56,198,1,8,0.02,50.20,97.17,0.00,24.61
1174,0.00,45.46,824,2660980014351126400000000.00,0.80,-31.75,9.6250,-64.00,-11,56,189,1,8,0.02,50.20,112.04,0.00,21.45
1174,0.00,44.84,782,2653601316721642600000000.00,0.80,-31.75,7.7500,-64.00,-11,56,195,1,8,0.02,50.20,121.96,0.00,23.55
1174,0.00,43.59,744,2641500252609289000000000.00,0.80,-31.75,9.0000,-64.00,-11,56,192,1,8,0.02,50.20,136.96,0.00,22.50
1174,0.00,38.72,708,2630432206165063400000000.00,0.80,-31.75,14.0000,-64.00,-11,56,198,1,8,0.02,50.20,137.06,0.00,24.61
1174,0.00,38.81,679,2620987473199324000000000.00,0.80,-31.75,3.5000,-64.00,-11,56,207,1,8,0.02,50.20,137.10,0.00,27.77
1174,0.00,39.05,652,2612206823020238300000000.00,0.80,-31.75,4.0000,-64.00,-11,56,189,1,8,0.02,50.20,132.17,0.00,21.45
1174,0.00,40.27,634,2604901912367049400000000.00,0.80,-31.75,6.5000,-64.00,-11,56,186,1,8,0.02,50.20,1087.50,0.00,20.39
1174,0.00,45.78,621,2601212563552307400000000.00,0.80,-31.75,13.0000,-64.00,-11,56,175,1,8,0.02,50.20,1082.57,0.00,16.52
1174,0.00,47.33,614,2600696054718243600000000.00,0.80,-31.75,10.5000,-64.00,-11,56,181,1,8,0.02,50.20,973.66,0.00,18.63
1194,0.00,49.07,623,2601655285410076500000000.00,0.80,-31.75,3.0000,-64.00,-11,56,141,1,8,0.02,50.20,92.53,0.00,4.57
1194,0.00,50.43,625,2602393155173025000000000.00,0.80,-31.75,5.5000,-64.00,-11,56,110,1,8,0.02,50.20,87.58,0.00,-6.33
