Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Feedback Knock Correction (1-byte)** (degrees)
13488,0.00,19.54,3410,-60103452568379500000000000000000000000.00,0.24,-31.00,5.2500,-63.50,-11,46,139,1,9,0.01,50.20,850.04,0.00,3.87
13488,0.00,17.50,3545,-60808306866925600000000000000000000000.00,0.24,-31.00,13.7500,-63.50,-11,46,151,1,9,0.01,50.20,850.04,0.00,8.09
13505,0.00,17.45,3690,-61550805317696080000000000000000000000.00,0.24,-31.00,9.1250,-63.50,-11,46,157,1,9,0.01,50.20,1092.60,0.00,10.20
13505,0.00,15.88,3812,-62243976948310480000000000000000000000.00,0.24,-31.00,9.1250,-63.50,-11,46,239,1,9,0.01,50.20,1112.41,0.00,39.02
13778,0.00,20.46,3043,0.00,0.24,-31.25,3.8125,-63.50,-11,46,134,1,9,0.02,50.20,850.04,0.00,2.11
13912,0.00,22.87,2974,0.00,0.24,-31.25,3.5625,-63.50,-11,46,139,1,9,0.02,50.20,850.04,0.00,3.87
14043,0.00,23.30,2910,-3594287321420270000000000000000000000.00,0.24,-31.25,5.7500,-63.50,-11,47,98,1,9,0.01,50.20,840.14,0.00,-10.55
14048,0.00,24.89,2830,-55794388373725760000000000000000000.00,0.24,-31.25,8.5000,-63.50,-11,47,81,1,9,0.01,50.20,830.24,0.00,-16.52
14176,0.00,25.11,2754,-3469481393117179000000000000000000.00,0.24,-31.25,6.8750,-63.50,-11,47,76,1,9,0.01,50.20,830.24,0.00,-18.28
14191,0.00,25.09,2699,-53813268014845320000000000000000.00,0.24,-31.25,1.0625,-63.50,-11,47,12,1,9,0.01,50.20,830.24,0.00,-40.78
14317,0.00,24.96,2610,-834255756273254500000000000000.00,0.24,-31.25,6.0625,-63.50,-11,47,4,1,9,0.01,50.20,835.19,0.00,-43.59
