Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Feedback Knock Correction (1-byte)** (degrees)
0,0.00,4.36,2828,-874184279740531300000000000000000.00,0.24,-30.25,12.3750,-63.50,-11,49,228,1,7,0.01,50.20,326.19,0.00,35.16
119,0.00,4.22,2844,-54697181381411470000000000000000.00,0.24,-29.75,2.6250,-63.50,-11,49,85,1,9,0.01,50.20,617.95,0.00,-15.12
128,0.00,7.03,2873,-874640538016260400000000000000000.00,0.24,-27.50,14.0000,-63.50,-11,49,118,1,13,0.01,50.20,271.58,0.00,-3.52
130,0.00,6.92,2844,-874441693897450200000000000000000.00,0.24,-30.50,0.6250,-63.50,-11,49,130,1,7,0.01,50.20,162.83,0.00,0.70
130,0.00,8.63,2841,-874124781247393200000000000000000.00,0.24,-30.50,11.0000,-63.50,-11,49,132,1,6,0.01,50.20,133.06,0.00,1.41
133,0.00,8.12,2819,-871371602600022500000000000000000.00,0.24,-30.50,7.0000,-63.50,-11,49,110,1,6,0.01,50.20,1246.76,0.00,-6.33
134,0.00,8.39,2822,-217902321771891320000000000000000.00,0.24,-30.50,9.6250,-63.50,-11,49,88,1,7,0.01,50.20,-5.70,0.00,-14.06
134,0.00,8.51,2838,-873431457454140900000000000000000.00,0.24,-30.75,3.8750,-63.50,-11,49,230,1,6,0.01,50.20,1221.87,0.00,35.86
134,0.00,9.25,2844,-873431457454140900000000000000000.00,0.24,-30.75,0.8750,-63.50,-11,49,243,1,7,0.01,50.20,627.77,0.00,40.43
134,0.00,9.61,2836,-873787984185455100000000000000000.00,0.24,-30.75,13.3750,-63.50,-11,49,174,1,9,0.01,50.20,385.13,0.00,16.17
134,0.00,8.28,2806,-218016192912692460000000000000000.00,0.24,-30.75,12.2500,-63.50,-11,49,243,1,9,0.01,50.20,518.94,0.00,40.43
247,0.00,0.94,2856,-0.00,0.24,-26.50,0.0000,-63.50,-11,49,79,1,8,0.02,50.20,1162.24,0.00,-17.23
247,0.00,3.60,2828,-0.00,0.24,-26.75,12.0000,-63.50,-11,49,86,1,9,0.02,50.20,112.85,0.00,-14.77
247,0.00,1.62,2854,-0.00,0.24,-26.75,6.0000,-63.50,-11,49,165,1,10,0.02,50.20,593.25,0.00,13.01
356,0.00,1.03,2846,-43.16,0.24,-26.00,9.0000,-63.50,-11,49,106,1,8,350.74,50.20,1038.40,0.00,-7.73
462,0.00,0.41,2885,11882053238784.00,0.24,-25.75,12.7500,-63.50,-11,49,210,1,9,396.83,50.20,394.93,0.00,28.83
592,0.00,5.78,2888,-0.00,0.24,-25.25,13.0000,-63.50,-11,49,128,1,8,399.39,50.20,1033.45,0.00,0.00
602,0.00,5.96,2877,-0.00,0.24,-25.50,0.0000,-63.50,-11,49,71,1,8,404.51,50.20,1112.68,0.00,-20.04
1138,0.00,3.85,2917,-0.00,0.24,-24.75,8.5000,-63.50,-11,49,197,1,9,412.19,50.20,28.48,0.00,24.26
1290,0.00,4.06,2916,-0.68,0.24,-24.25,9.5000,-63.50,-11,49,116,1,8,409.63,50.20,1107.61,0.00,-4.22
1411,0.00,1.31,2949,-883753092016692600000000000000000.00,0.24,-23.50,13.5000,-63.50,-11,49,98,1,8,401.95,50.20,795.69,0.00,-10.55
1682,0.00,0.49,3200,-3062193455104.00,0.24,-16.75,0.0000,-63.50,-11,48,66,1,10,263.73,50.20,602.19,0.00,-21.80
1682,0.00,1.61,3191,-2914063.25,0.24,-16.75,8.0000,-63.50,-11,48,1,1,10,279.09,50.20,1008.14,0.00,-44.65
1682,0.00,0.25,3134,-0.00,0.24,-17.50,2.0000,-63.50,-11,48,225,1,10,284.21,50.20,879.47,0.00,34.10
1682,0.00,1.21,3117,-0.00,0.24,-18.75,14.0000,-63.50,-11,48,218,1,10,297.01,50.20,721.03,0.00,31.64
1696,0.00,0.04,3108,-0.00,0.24,-19.00,11.0000,-63.50,-11,48,255,1,10,299.57,50.20,884.43,0.00,44.65
1696,0.00,0.38,3076,-0.00,0.24,-19.75,4.5000,-63.50,-11,48,130,1,10,307.25,50.20,-6.57,0.00,0.70
1696,0.00,0.81,3061,-0.00,0.24,-20.25,8.0000,-63.50,-11,48,80,1,9,317.49,50.20,1112.25,0.00,-16.88
1696,0.00,1.09,3023,-0.00,0.24,-21.25,10.5000,-63.50,-11,49,202,1,9,317.49,50.20,953.90,0.00,26.02
1696,0.00,1.52,2999,211562756302323050000000000.00,0.24,-21.50,12.7500,-63.50,-11,49,1,1,9,343.09,50.20,607.41,0.00,-44.65
1696,0.00,1.51,2982,46836903936.00,0.24,-22.25,15.7500,-63.50,-11,49,182,1,9,358.45,50.20,379.77,0.00,18.98
1708,0.00,1.62,2957,-43.62,0.24,-23.00,4.7500,-63.50,-11,49,69,1,9,368.68,50.20,275.88,0.00,-20.74
2081,0.00,2.24,3231,-191374458880.00,0.24,-17.00,8.0000,-63.50,-11,48,182,1,10,261.17,50.20,597.22,0.00,18.98
2320,0.00,0.28,3282,-197114269270016.00,0.24,-16.50,12.0000,-63.50,-11,48,184,1,10,261.17,50.20,597.22,0.00,19.69
2328,0.00,0.02,3254,-12325817942016.00,0.24,-16.25,14.0000,-63.50,-11,48,158,1,10,256.05,50.20,562.55,0.00,10.55
2581,0.00,1.90,3330,-3240005405480321000.00,0.24,-16.50,12.0000,-63.50,-11,48,78,1,10,258.61,50.20,508.05,0.00,-17.58
2706,0.00,0.86,3332,-13297575957753632000000.00,0.24,-17.00,0.0000,-63.50,-11,48,44,1,10,253.49,50.20,458.55,0.00,-29.53
2826,0.00,1.60,3574,3155007635456.00,0.24,-14.50,10.0000,-63.50,-11,47,208,1,10,330.30,50.20,512.97,0.00,28.12
2847,0.00,1.48,3521,0.00,0.24,-14.25,0.0000,-63.50,-11,47,70,1,10,320.06,50.20,498.12,0.00,-20.39
2847,0.00,1.33,3524,0.00,0.24,-14.50,6.0000,-63.50,-11,47,103,1,10,299.58,50.20,488.23,0.00,-8.79
2847,0.00,0.01,3498,0.00,0.24,-15.00,2.0000,-63.50,-11,47,209,1,10,284.22,50.20,458.55,0.00,28.48
2847,0.00,0.49,3452,-236438426616849920000000000000000000.00,0.24,-16.00,4.0000,-63.50,-11,47,146,1,10,276.53,50.20,448.63,0.00,6.33
2847,0.00,2.31,3417,-230069937703961750000000000000000.00,0.24,-15.75,8.0000,-63.50,-11,47,32,1,10,271.41,50.20,418.95,0.00,-33.75
2847,0.00,1.50,3408,-3593450396311661000000000000000.00,0.24,-15.75,12.0000,-63.50,-11,47,72,1,10,268.85,50.20,409.05,0.00,-19.69
2847,0.00,0.87,3370,-854586924388760800000000.00,0.24,-16.00,0.0000,-63.50,-11,47,3,1,10,261.17,50.20,82.36,0.00,-43.95
3117,0.00,1.14,3590,61173415592803340000000000000000000000.00,0.24,-13.25,10.0000,-63.50,-11,47,125,1,10,340.54,50.20,517.90,0.00,-1.05
3358,0.00,0.25,3619,-0.00,0.24,-12.25,0.0000,-63.50,-11,47,130,1,10,340.54,50.20,567.38,0.00,0.70
3588,0.00,0.55,3652,-0.00,0.24,-12.25,0.0000,-63.50,-11,47,133,1,10,337.98,50.20,582.23,0.00,1.76
3830,0.00,1.87,3675,-0.00,0.24,-12.50,0.0000,-63.50,-11,47,145,1,10,335.42,50.20,587.18,0.00,5.98
3965,0.00,1.49,3956,252617310201433540000000000000000000000.00,0.24,-11.25,4.0000,-63.50,-11,46,101,1,10,327.74,50.20,458.53,0.00,-9.49
3978,0.00,1.56,3975,252518615996302170000000000000000000000.00,0.24,-11.50,0.0000,-63.50,-11,46,148,1,10,325.18,50.20,458.53,0.00,7.03
3978,0.00,1.61,3928,251672251325951400000000000000000000000.00,0.24,-12.00,0.0000,-63.50,-11,46,121,1,10,322.62,50.20,463.46,0.00,-2.46
3978,0.00,0.11,3871,-0.00,0.24,-11.50,0.0000,-63.50,-11,47,105,1,10,322.62,50.20,463.46,0.00,-8.09
3978,0.00,0.68,3891,-0.00,0.24,-11.50,0.0000,-63.50,-11,47,108,1,10,322.62,50.20,463.46,0.00,-7.03
3978,0.00,0.73,3826,-0.00,0.24,-11.75,8.0000,-63.50,-11,47,77,1,10,322.62,50.20,473.34,0.00,-17.93
3978,0.00,2.33,3833,-0.00,0.24,-12.00,0.0000,-63.50,-11,47,169,1,10,322.62,50.20,517.90,0.00,14.41
3978,0.00,0.20,3776,-0.00,0.24,-11.75,0.0000,-63.50,-11,47,34,1,10,325.18,50.20,537.68,0.00,-33.05
3978,0.00,0.34,3719,-0.00,0.24,-11.25,8.0000,-63.50,-11,47,138,1,10,327.74,50.20,552.53,0.00,3.52
3978,0.00,0.09,3731,-0.00,0.24,-11.75,4.0000,-63.50,-11,47,200,1,10,330.30,50.20,567.38,0.00,25.31
4269,0.00,0.88,4041,-0.00,0.24,-11.50,8.0000,-63.50,-11,46,105,1,10,327.74,50.20,458.53,0.00,-8.09
4396,0.00,1.25,4020,63482740326660710000000000000000000000.00,0.24,-11.25,0.0000,-63.50,-11,46,222,1,10,322.62,50.20,468.43,0.00,33.05
4524,0.00,2.00,4087,3890207694868708400000000000000000.00,0.24,-11.00,0.0000,-63.50,-11,46,137,1,10,322.62,50.20,473.40,0.00,3.16
4668,0.00,1.63,4111,62414465852450460000000000000000000.00,0.24,-10.75,0.0000,-63.50,-11,46,53,1,10,325.18,50.20,478.35,0.00,-26.37
4674,0.00,1.63,4126,243979838184447680000000000000000.00,0.24,-10.50,0.0000,-63.50,-11,46,97,1,10,322.62,50.20,483.30,0.00,-10.90
4805,0.00,0.61,4150,244861232149605750000000000000000.00,0.24,-10.75,0.0000,-63.50,-11,46,53,1,10,320.06,50.20,488.25,0.00,-26.37
4945,0.00,0.41,4175,15325492168963673000000000000000.00,0.24,-10.25,0.0000,-63.50,-11,46,142,1,10,320.06,50.20,503.10,0.00,4.92
5067,0.00,0.06,4368,928633956540481900000000.00,0.24,-9.50,8.0000,-63.50,-11,46,114,1,10,317.50,50.20,532.82,0.00,-4.92
5225,0.00,1.15,4222,15019193812044969000000000000.00,0.24,-9.75,0.0000,-63.50,-11,46,190,1,10,317.50,50.20,493.22,0.00,21.80
5225,0.00,2.20,4235,58649840974055200000000000.00,0.24,-9.75,0.0000,-63.50,-11,46,102,1,10,314.94,50.20,503.10,0.00,-9.14
5225,0.00,0.19,4290,921273633597477800000000.00,0.24,-10.00,0.0000,-63.50,-11,46,229,1,10,314.94,50.20,517.97,0.00,35.51
5225,0.00,0.71,4300,922583424484305200000000.00,0.24,-9.75,0.0000,-63.50,-11,46,150,1,10,314.94,50.20,517.97,0.00,7.73
5225,0.00,0.15,4313,14438137333183160000000.00,0.24,-9.50,8.0000,-63.50,-11,46,26,1,10,314.94,50.20,517.97,0.00,-35.86
5225,0.00,0.34,4357,927582564185874500000000.00,0.24,-9.25,8.0000,-63.50,-11,46,38,1,10,314.94,50.20,527.87,0.00,-31.64
5238,0.00,0.84,4414,14535273221746101000000.00,0.24,-9.25,8.0000,-63.50,-11,46,36,1,10,314.94,50.20,542.73,0.00,-32.34
5479,0.00,0.84,4436,14588307610958016000000.00,0.24,-9.00,0.0000,-63.50,-11,46,145,1,10,312.38,50.20,547.69,0.00,5.98
5615,0.00,0.61,4467,3562795081360474100.00,0.24,-8.75,0.0000,-63.50,-11,46,164,1,10,312.38,50.20,557.60,0.00,12.66
5615,0.00,2.10,4517,3495166002331648.00,0.24,-8.50,0.0000,-63.50,-11,46,45,1,10,309.82,50.20,557.60,0.00,-29.18
5628,0.00,0.47,4528,872709168824320.00,0.24,-8.75,0.0000,-63.50,-11,46,118,1,10,312.38,50.20,562.55,0.00,-3.52
5628,0.00,0.16,4572,13997707513298944.00,0.24,-8.75,0.0000,-63.50,-11,46,118,1,10,309.82,50.20,572.45,0.00,-3.52
5628,0.00,1.70,4579,856818647040.00,0.24,-8.50,0.0000,-63.50,-11,46,227,1,10,309.82,50.20,577.40,0.00,34.80
5871,0.00,0.68,4594,13754731331584.00,0.24,-8.50,0.0000,-63.50,-11,46,182,1,10,309.82,50.20,577.40,0.00,18.98
5883,0.00,1.79,4632,3361627648.00,0.24,-8.50,0.0000,-63.50,-11,46,45,1,10,309.82,50.20,587.30,0.00,-29.18
6137,0.00,1.27,4724,807.57,0.24,-8.00,0.0000,-63.50,-11,46,218,1,10,304.70,50.20,607.10,0.00,31.64
6137,0.00,1.96,4712,51530.38,0.24,-8.00,0.0000,-63.50,-11,46,127,1,10,304.70,50.20,602.15,0.00,-0.35
6137,0.00,1.46,4676,13192544.00,0.24,-7.75,0.0000,-63.50,-11,46,54,1,10,304.70,50.20,597.20,0.00,-26.02
6137,0.00,0.47,4631,3360317440.00,0.24,-8.00,0.0000,-63.50,-11,46,35,1,10,307.26,50.20,592.25,0.00,-32.70
6284,0.00,0.15,4778,50.67,0.24,-7.50,0.0000,-63.50,-11,46,74,1,10,302.14,50.20,612.05,0.00,-18.98
6521,0.00,1.92,4768,12.66,0.24,-7.50,0.0000,-63.50,-11,45,168,1,10,304.70,50.20,617.02,0.00,14.06
6650,0.00,0.30,4814,0.05,0.24,-7.50,0.0000,-63.50,-11,45,26,1,10,302.14,50.20,621.97,0.00,-35.86
6772,0.00,1.89,4828,0.20,0.24,-7.25,0.0000,-63.50,-11,45,100,1,10,299.58,50.20,626.94,0.00,-9.84
6912,0.00,0.40,4861,0.00,0.24,-7.50,0.0000,-63.50,-11,45,26,1,10,299.58,50.20,626.92,0.00,-35.86
7035,0.00,1.75,4876,0.00,0.24,-6.75,0.0000,-63.50,-11,45,69,1,10,297.02,50.20,631.89,0.00,-20.74
7146,0.00,0.31,5086,0.00,0.24,-6.25,8.0000,-63.50,-11,45,230,1,10,291.90,50.20,666.62,0.00,35.86
7146,0.00,0.78,5039,0.00,0.24,-6.50,8.0000,-63.50,-11,45,5,1,10,291.90,50.20,666.62,0.00,-43.24
7163,0.00,0.77,5004,0.00,0.24,-6.75,0.0000,-63.50,-11,45,117,1,10,294.46,50.20,656.70,0.00,-3.87
7163,0.00,1.28,4976,0.00,0.24,-7.00,4.0000,-63.50,-11,45,181,1,10,294.46,50.20,656.70,0.00,18.63
7163,0.00,0.09,4972,0.00,0.24,-6.75,0.0000,-63.50,-11,45,117,1,10,294.46,50.20,646.78,0.00,-3.87
7163,0.00,1.18,4943,0.00,0.24,-7.25,8.0000,-63.50,-11,45,6,1,10,294.46,50.20,641.81,0.00,-42.89
7163,0.00,2.11,4898,0.00,0.24,-7.25,0.0000,-63.50,-11,45,4,1,10,294.46,50.20,641.81,0.00,-43.59
7549,0.00,0.51,5091,0.00,0.24,-6.25,8.0000,-63.50,-11,45,134,1,10,291.90,50.20,671.57,0.00,2.11
7690,0.00,1.37,5134,0.00,0.24,-6.50,0.0000,-63.50,-11,45,53,1,10,291.90,50.20,681.49,0.00,-26.37
7930,0.00,1.97,5155,0.00,0.24,-6.25,12.0000,-63.50,-11,45,38,1,10,291.90,50.20,686.44,0.00,-31.64
8038,0.00,1.81,5169,0.00,0.24,-6.25,4.0000,-63.50,-11,45,86,1,10,291.90,50.20,686.46,0.00,-14.77
8167,0.00,2.02,5414,0.00,0.24,-5.75,12.0000,-63.50,-11,45,211,1,10,289.34,50.20,701.36,0.00,29.18
8167,0.00,1.93,5343,0.00,0.24,-5.75,4.0000,-63.50,-11,45,211,1,10,291.90,50.20,701.36,0.00,29.18
8193,0.00,1.94,5354,0.00,0.24,-5.75,4.0000,-63.50,-11,45,111,1,10,291.90,50.20,701.34,0.00,-5.98
8193,0.00,1.87,5212,0.00,0.24,-6.25,0.0000,-63.50,-11,45,230,1,10,291.90,50.20,696.38,0.00,35.86
8193,0.00,1.82,5230,0.00,0.24,-6.00,0.0000,-63.50,-11,45,71,1,10,291.90,50.20,701.33,0.00,-20.04
8193,0.00,1.74,5217,0.00,0.24,-6.25,8.0000,-63.50,-11,45,230,1,10,294.46,50.20,701.34,0.00,35.86
8193,0.00,1.88,5266,0.00,0.24,-6.00,12.0000,-63.50,-11,45,71,1,10,294.46,50.20,701.34,0.00,-20.04
8193,0.00,1.82,5270,0.00,0.24,-5.75,0.0000,-63.50,-11,45,65,1,10,294.46,50.20,701.34,0.00,-22.15
8209,0.00,1.88,5336,0.00,0.24,-6.00,4.0000,-63.50,-11,45,219,1,10,291.90,50.20,701.34,0.00,31.99
8572,0.00,1.97,5422,0.00,0.24,-5.75,12.0000,-63.50,-11,45,161,1,10,289.34,50.20,701.36,0.00,11.60
8598,0.00,1.92,5425,0.00,0.24,-5.50,12.0000,-63.50,-11,45,55,1,10,289.34,50.20,701.38,0.00,-25.66
8727,0.00,1.52,5480,0.00,0.24,-5.25,12.0000,-63.50,-11,45,150,1,10,289.34,50.20,701.38,0.00,7.73
8846,0.00,2.10,5465,0.00,0.24,-5.50,4.0000,-63.50,-11,45,55,1,10,289.34,50.20,701.38,0.00,-25.66
8976,0.00,2.20,5522,0.00,0.24,-5.50,4.0000,-63.50,-11,45,106,1,10,286.78,50.20,701.38,0.00,-7.73
9097,0.00,2.16,5514,0.00,0.24,-5.25,8.0000,-63.50,-11,45,200,1,10,286.78,50.20,701.40,0.00,25.31
9239,0.00,1.43,5703,-68671527279489410000000000000000.00,0.24,-5.25,0.0000,-63.50,-11,45,50,1,10,281.65,50.20,701.44,0.00,-27.42
9239,0.00,1.69,5641,-1125682131187894200000000000000000000.00,0.24,-5.25,0.0000,-63.50,-11,45,0,1,10,284.21,50.20,701.44,0.00,-45.00
9239,0.00,1.88,5625,-4498023322636180000000000000000000000.00,0.24,-5.75,0.0000,-63.50,-11,45,211,1,10,284.21,50.20,701.42,0.00,29.18
9239,0.00,1.64,5641,0.00,0.24,-5.50,12.0000,-63.50,-11,45,106,1,10,284.22,50.20,701.42,0.00,-7.73
9239,0.00,2.18,5578,0.00,0.24,-5.25,8.0000,-63.50,-11,45,200,1,10,286.78,50.20,701.42,0.00,25.31
9239,0.00,1.79,5555,0.00,0.24,-5.50,12.0000,-63.50,-11,45,106,1,10,286.78,50.20,701.40,0.00,-7.73
9239,0.00,2.17,5564,0.00,0.24,-5.50,0.0000,-63.50,-11,45,5,1,10,286.78,50.20,701.40,0.00,-43.24
9409,0.00,1.74,5729,-1074636601740970500000000000000.00,0.24,-5.50,8.0000,-63.50,-11,45,5,1,10,281.65,49.80,701.42,0.00,-43.24
9540,0.00,1.30,5718,-67442845269688500000000000000.00,0.24,-5.25,12.0000,-63.50,-11,45,50,1,10,281.65,49.80,701.44,0.00,-27.42
9799,0.00,1.21,5732,-1054304546706009000000000000.00,0.24,-5.50,4.0000,-63.50,-11,45,106,1,10,281.65,49.80,701.44,0.00,-7.73
9799,0.00,1.27,5777,-4125386898318357500000000.00,0.24,-5.25,4.0000,-63.50,-11,45,100,1,10,281.65,49.80,701.44,0.00,-9.84
10049,0.00,0.04,5812,-64424582641086130000000.00,0.24,-5.50,8.0000,-63.50,-11,45,156,1,10,281.65,49.80,701.44,0.00,9.84
10292,0.00,1.42,5948,-3.44,0.24,-5.00,0.0000,-63.50,-11,45,44,1,10,279.09,49.80,701.48,0.00,-29.53
10303,0.00,0.52,5926,-3606106.75,0.24,-5.25,0.0000,-63.50,-11,45,150,1,10,279.09,49.80,701.46,0.00,7.73
10303,0.00,1.41,5906,-230405808.00,0.24,-5.25,0.0000,-63.50,-11,45,50,1,10,279.09,49.80,701.46,0.00,-27.42
10303,0.00,0.30,5892,-235683872768.00,0.24,-5.00,0.0000,-63.50,-11,45,44,1,10,279.09,49.80,701.46,0.00,-29.53
10303,0.00,0.24,5864,-240897920860160.00,0.24,-5.50,0.0000,-63.50,-11,45,156,1,10,279.09,49.80,701.46,0.00,9.84
10303,0.00,1.37,5846,-962457812074496.00,0.24,-5.25,0.0000,-63.50,-11,45,50,1,10,279.09,49.80,701.46,0.00,-27.42
10303,0.00,1.69,5822,-984078987217076220.00,0.24,-5.50,0.0000,-63.50,-11,45,206,1,10,281.65,49.80,701.46,0.00,27.42
10459,0.00,0.98,5973,-0.05,0.24,-5.25,0.0000,-63.50,-11,45,200,1,10,279.09,50.20,696.53,0.00,25.31
10695,0.00,0.44,5989,-0.00,0.24,-5.25,0.0000,-63.50,-11,45,100,1,10,279.09,50.20,691.60,0.00,-9.84
10707,0.00,0.86,6007,-0.00,0.24,-5.00,8.0000,-63.50,-11,45,94,1,10,279.09,50.20,681.70,0.00,-11.95
10847,0.00,1.16,5989,-0.00,0.24,-5.25,0.0000,-63.50,-11,45,100,1,10,273.97,50.20,686.67,0.00,-9.84
10972,0.00,1.74,6013,-0.00,0.24,-5.25,8.0000,-63.50,-11,45,200,1,10,276.53,50.20,676.77,0.00,25.31
11097,0.00,0.44,6064,-0.00,0.24,-4.75,12.0000,-63.50,-11,45,39,1,10,258.61,50.20,676.77,0.00,-31.29
11367,0.00,1.78,6134,69286457144600810000000000000.00,0.24,-5.25,3.0000,-63.50,-11,45,0,1,10,230.45,50.20,642.14,0.00,-45.00
11367,0.00,0.81,6147,18181728106007640000000000000000000.00,0.24,-5.25,4.0000,-63.50,-11,45,50,1,10,233.01,50.20,647.09,0.00,-27.42
11367,0.00,2.15,6196,0.05,0.24,-5.50,5.0000,-63.50,-11,45,156,1,10,204.85,50.20,632.25,0.00,9.84
11367,0.00,1.33,6160,0.00,0.24,-5.25,10.0000,-63.50,-11,45,50,1,10,202.29,50.20,622.35,0.00,-27.42
11367,0.00,0.67,6134,18111690410345030000000000000000000.00,0.24,-5.00,6.0000,-63.50,-11,45,94,1,10,240.69,50.20,656.99,0.00,-11.95
11367,0.00,0.78,6076,289467618421303600000000000000000000.00,0.24,-5.00,12.0000,-63.50,-11,45,144,1,10,248.37,50.20,661.94,0.00,5.62
11367,0.00,0.55,6054,-0.00,0.24,-5.25,8.0000,-63.50,-11,45,50,1,10,243.25,50.20,671.82,0.00,-27.42
11367,0.00,1.14,6079,-0.00,0.24,-5.00,10.0000,-63.50,-11,45,144,1,10,258.61,50.20,676.77,0.00,5.62
11627,0.00,0.78,6220,3678874.50,0.24,-5.75,8.0000,-63.50,-11,45,61,1,10,194.61,50.20,612.45,0.00,-23.55
11753,0.00,0.40,6205,0.22,0.24,-5.75,6.0000,-63.50,-11,45,111,1,10,199.73,50.20,572.87,0.00,-5.98
11878,0.00,1.12,6240,3775621120.00,0.24,-5.75,6.0000,-63.50,-11,45,61,1,10,186.93,50.20,553.07,0.00,-23.55
12009,0.00,0.06,6231,0.00,0.24,-5.50,7.1875,-63.50,-11,45,5,1,10,166.45,50.20,518.42,0.00,-43.24
12132,0.00,1.10,6280,0.00,0.24,-6.00,1.0000,-63.50,-11,45,25,1,10,81.97,50.20,518.44,0.00,-36.21
12159,0.00,7.76,6143,0.00,0.24,-22.75,1.0000,-63.50,-11,45,191,1,8,0.03,50.20,527.35,0.00,22.15
12305,0.00,22.85,5916,0.00,0.24,-31.00,6.5000,-63.50,-11,45,83,1,7,0.02,50.20,329.34,0.00,-15.82
12426,0.00,12.75,4862,-962551538111728600000000.00,0.24,-30.50,8.4375,-63.50,-11,46,91,1,8,0.01,50.20,492.70,0.00,-13.01
12426,0.00,12.93,5055,-3995728278304958000000000000.00,0.24,-30.75,13.8125,-63.50,-11,46,195,1,8,0.01,50.20,492.70,0.00,23.55
12426,0.00,13.53,5224,-16524340382945995000000000000000.00,0.24,-30.50,12.3125,-63.50,-11,46,15,1,8,0.01,50.20,492.70,0.00,-39.73
12426,0.00,14.53,5370,-4400879137276240000000000000000000000.00,0.24,-30.50,9.6250,-63.50,-11,46,1,1,8,0.01,50.20,141.24,0.00,-44.65
12426,0.00,12.78,5585,0.00,0.24,-31.00,7.7500,-63.50,-11,46,239,1,8,0.02,50.20,81.83,0.00,39.02
12447,0.00,12.82,5728,0.00,0.24,-31.00,7.2500,-63.50,-11,46,101,1,6,0.02,50.20,373.90,0.00,-9.49
12815,0.00,12.77,4726,-231548176794742950000.00,0.24,-30.50,15.6250,-63.50,-11,46,36,1,8,0.01,50.20,482.80,0.00,-32.34
12947,0.00,13.99,4534,-14643838120263401000000.00,0.24,-30.75,4.1875,-63.50,-11,46,230,1,8,0.01,50.20,463.00,0.00,35.86
13084,0.00,14.35,4382,-59261000051961270000000000.00,0.24,-30.75,5.1250,-63.50,-11,46,181,1,8,0.01,50.20,448.15,0.00,18.63
13098,0.00,15.05,4228,-981993847139311600000000000000000.00,0.24,-30.75,0.4375,-63.50,-11,46,115,1,9,0.01,50.20,1190.68,0.00,-4.57
13221,0.00,15.90,4111,-15562952608702169000000000000000000.00,0.24,-30.75,1.8750,-63.50,-11,46,82,1,9,0.01,50.20,1151.08,0.00,-16.17
13366,0.00,15.91,3944,-3929596750813139500000000000000000000.00,0.24,-30.75,14.6250,-63.50,-11,46,9,1,9,0.01,50.20,1132.21,0.00,-41.84
13488,0.00,19.98,3160,0.00,0.24,-31.25,13.8750,-63.50,-11,46,180,1,9,0.02,50.20,850.04,0.00,18.28
13488,0.00,19.89,3305,0.00,0.24,-31.25,3.3750,-63.50,-11,46,242,1,9,0.02,50.20,850.04,0.00,40.08
