Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,5.21,0.25,905,0.00,1.00,0.00,1.0000,18.00,165,3,1,0,14,3.74,0.00,-4.97,3.53
0,5.26,0.26,897,0.00,1.00,0.00,1.0000,18.50,165,3,1,0,14,3.87,0.00,-4.99,3.53
234,5.29,0.24,868,0.00,1.00,0.00,1.0000,20.50,165,3,1,0,14,3.31,0.00,-4.97,3.53
327,5.35,0.28,855,0.00,1.00,0.00,1.0000,20.50,165,3,1,0,14,3.77,0.00,-4.95,3.53
327,5.34,0.25,837,0.00,1.00,0.00,1.0000,21.00,165,3,1,0,14,3.79,0.00,-4.89,3.53
585,5.33,0.28,824,0.00,1.00,0.00,1.0000,21.00,165,3,1,0,14,3.82,0.00,-4.85,3.53
632,5.33,0.26,800,0.00,1.00,0.00,1.0000,21.00,167,3,1,0,14,3.52,0.00,-4.80,3.53
632,5.30,0.25,793,0.00,1.00,0.00,1.0000,21.00,167,3,1,0,14,3.35,0.00,-4.74,3.53
843,5.25,0.26,774,0.00,1.00,0.00,1.0000,21.00,167,3,1,0,14,3.31,0.00,-4.74,3.53
913,5.19,0.21,768,0.00,1.00,0.00,1.0000,21.00,167,3,1,0,14,2.63,0.00,-4.74,3.53
913,5.07,0.20,749,0.00,1.00,0.00,1.0000,18.00,167,3,1,0,14,2.46,0.00,-4.74,3.53
1171,4.98,0.25,736,0.00,0.99,0.00,1.0000,19.50,167,3,1,0,14,2.59,0.00,-4.74,3.53
1242,4.95,0.31,700,0.00,0.99,0.00,1.0000,21.50,167,3,1,0,14,3.60,0.00,-4.74,3.53
1242,4.85,0.30,678,0.00,0.99,0.00,1.0000,22.00,167,3,1,0,14,3.35,0.00,-4.74,3.53
1359,4.78,0.33,673,0.00,0.99,0.00,1.0000,22.00,167,3,1,0,14,3.49,0.00,-4.74,3.53
1616,4.67,0.33,634,0.00,0.99,0.00,1.0000,22.50,167,3,1,0,14,3.52,0.00,-4.74,3.92
1616,4.58,0.38,622,0.00,0.99,0.00,1.0000,22.50,167,3,1,0,14,3.57,0.00,-4.74,3.92
1827,4.45,0.41,582,0.00,0.91,0.00,1.0000,22.50,167,3,1,0,14,3.95,0.00,-4.74,4.31
1898,4.04,0.47,576,0.00,0.88,0.00,1.0000,23.00,167,3,1,0,14,4.05,0.00,-4.74,4.71
1921,3.82,0.52,586,0.00,0.84,0.00,1.0000,23.00,167,3,1,0,14,5.08,0.00,-4.74,4.71
2132,3.58,0.53,565,0.00,0.81,0.00,1.0000,23.00,167,3,1,0,14,4.96,0.00,-4.74,4.71
2202,3.14,0.50,572,0.00,0.80,0.00,1.0000,22.50,167,3,1,0,14,4.92,0.00,-4.74,4.71
2414,2.94,0.49,622,0.00,0.84,0.00,1.0000,22.00,167,3,1,0,14,5.05,0.00,-4.74,4.71
2483,2.81,0.42,616,0.00,0.87,0.00,1.0000,22.00,167,3,1,0,15,4.87,0.00,-4.74,4.71
2483,2.74,0.39,679,0.00,0.90,0.00,1.0000,21.00,167,3,1,0,15,4.32,0.00,-4.74,4.71
2695,3.70,0.36,741,0.00,0.98,0.00,1.0000,17.50,167,3,1,0,15,4.42,0.00,-4.74,4.31
2765,3.88,0.32,806,0.00,0.98,0.00,1.0000,13.00,167,3,1,0,15,4.34,0.00,-4.74,4.31
2789,4.05,0.29,864,0.00,1.12,0.00,1.0000,8.50,167,3,1,0,15,4.45,0.00,-3.73,4.31
3023,4.31,0.26,902,0.00,1.16,0.00,1.0000,8.50,167,3,1,0,15,4.18,0.00,-3.87,3.53
3094,4.57,0.23,918,0.00,1.18,0.00,1.0000,8.50,167,3,1,0,15,3.87,0.00,-3.94,3.14
3327,4.92,0.21,919,0.00,1.20,0.00,1.0000,8.50,167,3,1,0,15,3.20,0.00,-4.04,3.14
3375,5.36,0.20,890,0.00,1.26,0.00,1.0000,9.50,167,3,1,0,15,2.90,0.00,-4.04,3.14
3375,5.91,0.23,857,0.00,1.16,0.00,1.0000,14.50,167,3,1,0,15,3.27,0.00,-4.02,3.53
3609,6.06,0.26,808,0.00,1.00,0.00,1.0000,19.50,167,3,1,0,15,3.45,0.00,-3.96,3.53
3679,6.08,0.30,804,0.00,1.00,0.00,1.0000,19.00,167,3,1,0,15,3.97,0.00,-3.79,3.92
3702,6.02,0.30,794,0.00,1.00,0.00,1.0000,20.00,167,3,1,0,15,3.97,0.00,-3.73,3.92
3890,5.97,0.32,800,0.00,1.00,0.00,1.0000,19.50,167,3,1,0,15,4.23,0.00,-3.73,3.92
3960,5.89,0.30,788,0.00,1.00,0.00,1.0000,18.00,167,3,1,0,15,3.97,0.00,-3.73,3.92
4171,5.82,0.30,791,0.00,1.00,0.00,1.0000,17.50,167,3,1,0,15,4.02,0.00,-3.73,3.92
4242,5.76,0.33,777,0.00,1.00,0.00,1.0000,18.50,167,3,1,0,15,4.29,0.00,-3.73,3.92
4266,5.64,0.32,782,0.00,1.00,0.00,1.0000,17.00,167,3,1,0,15,4.29,0.00,-3.73,3.92
4406,5.62,0.31,790,0.00,1.00,0.00,1.0000,16.00,167,3,1,0,15,4.31,0.00,-3.73,3.92
4570,5.60,0.31,800,0.00,1.00,0.00,1.0000,15.00,167,3,1,0,15,4.07,0.00,-3.73,3.92
4570,5.53,0.30,806,0.00,1.00,0.00,1.0000,15.00,167,3,1,0,15,4.12,0.00,-3.73,3.92
4710,5.58,0.30,816,0.00,1.00,0.00,1.0000,14.00,167,3,1,0,15,4.12,0.00,-3.77,3.92
4827,5.55,0.30,821,0.00,1.00,0.00,1.0000,14.00,167,3,1,0,15,4.05,0.00,-3.77,3.92
5062,5.53,0.29,830,0.00,1.00,0.00,1.0000,13.50,167,3,1,0,15,4.05,0.00,-3.77,3.92
5132,5.58,0.30,835,0.00,1.00,0.00,1.0000,13.50,167,3,1,0,15,4.10,0.00,-3.79,3.92
5132,5.60,0.30,838,0.00,1.00,0.00,1.0000,13.50,167,3,1,0,15,4.23,0.00,-3.83,4.31
5342,5.57,0.31,839,0.00,1.00,0.00,1.0000,14.00,167,3,1,0,15,4.48,0.00,-3.83,4.31
5436,5.55,0.31,849,0.00,1.00,0.00,1.0000,13.00,167,3,1,0,15,4.40,0.00,-3.87,4.31
5436,5.51,0.31,850,0.00,1.00,0.00,1.0000,14.00,167,3,1,0,15,4.34,0.00,-3.85,4.31
5647,5.57,0.29,861,0.00,1.00,0.00,1.0000,14.00,167,3,1,0,15,4.10,0.00,-3.89,4.31
5717,5.55,0.29,861,0.00,1.00,0.00,1.0000,14.00,167,3,1,0,15,4.23,0.00,-3.87,4.31
5929,5.48,0.29,868,0.00,0.99,0.00,1.0000,13.50,167,3,1,0,15,4.26,0.00,-3.89,3.92
5929,5.50,0.31,876,0.00,0.99,0.00,1.0000,11.50,167,3,1,0,15,4.54,0.00,-3.85,4.31
6000,5.45,0.28,880,0.00,0.99,0.00,1.0000,12.50,167,3,1,0,15,4.27,0.00,-3.89,3.92
6234,5.47,0.27,880,0.00,0.99,0.00,1.0000,13.00,167,3,1,0,15,4.02,0.00,-3.91,3.92
6304,5.51,0.29,889,0.00,0.99,0.00,1.0000,12.00,167,3,1,0,15,4.12,0.00,-3.91,3.92
6304,5.56,0.28,879,0.00,1.00,0.00,1.0000,14.00,167,3,1,0,15,4.02,0.00,-3.93,3.92
6538,5.60,0.28,872,0.00,1.00,0.00,1.0000,14.00,167,3,1,0,15,4.10,0.00,-3.93,3.92
6609,5.65,0.27,881,0.00,1.00,0.00,1.0000,14.50,167,3,1,0,15,3.92,0.00,-3.93,3.92
6609,5.65,0.28,870,0.00,1.00,0.00,1.0000,15.50,167,3,1,0,15,4.07,0.00,-3.94,3.92
6913,5.74,0.29,852,0.00,1.00,0.00,1.0000,17.00,167,3,1,0,15,4.12,0.00,-3.94,3.92
6983,5.76,0.32,828,0.00,1.00,0.00,1.0000,19.00,167,3,1,0,15,4.35,0.00,-3.89,5.10
6983,5.80,0.37,808,0.00,1.00,0.00,1.0000,19.00,167,3,1,0,15,4.99,0.00,-3.87,5.10
7264,5.61,0.43,782,0.00,0.90,0.00,1.0000,19.00,167,3,1,0,15,5.65,0.00,-3.81,5.10
7312,5.32,0.41,763,0.00,0.89,0.00,1.0000,19.00,167,3,1,0,15,5.21,0.00,-3.75,5.10
7312,4.95,0.40,816,0.00,0.90,0.00,1.0000,19.00,167,3,1,0,15,5.06,0.00,-3.73,4.31
7547,4.81,0.35,753,0.00,0.99,0.00,1.0000,16.00,167,3,1,0,15,4.55,0.00,-3.73,4.31
7616,4.80,0.35,771,0.00,0.99,0.00,1.0000,14.50,167,3,1,0,15,4.60,0.00,-3.73,4.31
7616,4.85,0.36,761,0.00,0.99,0.00,1.0000,15.00,167,3,1,0,15,4.29,0.00,-3.73,4.31
7851,4.86,0.34,790,0.00,0.99,0.00,1.0000,13.00,167,3,1,0,15,4.40,0.00,-3.73,4.31
7921,4.89,0.33,785,0.00,0.99,0.00,1.0000,13.00,167,3,1,0,15,4.29,0.00,-3.73,4.31
7921,4.93,0.33,810,0.00,0.99,0.00,1.0000,12.00,167,3,1,0,15,4.46,0.00,-3.73,4.31
8061,5.05,0.32,809,0.00,0.99,0.00,1.0000,12.00,167,3,1,0,15,4.29,0.00,-3.73,4.31
8249,5.06,0.29,836,0.00,0.99,0.00,1.0000,11.00,167,3,1,0,15,4.10,0.00,-3.77,3.92
8249,5.17,0.29,820,0.00,0.99,0.00,1.0000,11.50,167,3,1,0,15,4.02,0.00,-3.79,3.92
8484,5.29,0.31,830,0.00,0.99,0.00,1.0000,11.50,167,3,1,0,15,4.23,0.00,-3.77,4.31
8554,5.31,0.35,814,0.00,0.99,0.00,1.0000,12.00,167,3,1,0,15,4.72,0.00,-3.79,4.31
8765,5.35,0.34,818,0.00,0.99,0.00,1.0000,11.50,167,3,1,0,15,4.69,0.00,-3.81,4.31
8835,5.26,0.32,810,0.00,0.99,0.00,1.0000,12.00,167,3,1,0,15,4.29,0.00,-3.77,4.31
8835,5.24,0.32,824,0.00,0.99,0.00,1.0000,4.00,167,3,1,0,15,4.34,0.00,-3.79,3.92
9070,5.30,0.33,788,0.00,0.99,0.00,1.0000,4.00,167,3,1,0,15,4.32,0.00,-3.75,3.53
9139,5.40,0.31,775,0.00,0.99,0.00,1.0000,4.00,167,3,1,0,15,4.02,0.00,-3.73,3.53
9139,5.43,0.31,750,0.00,0.99,0.00,1.0000,4.00,167,3,1,0,15,3.87,0.00,-3.73,3.53
9374,5.51,0.32,726,0.00,0.99,0.00,1.0000,4.00,167,3,1,0,15,3.77,0.00,-3.73,3.53
9468,5.51,0.33,694,0.00,0.99,0.00,1.0000,19.50,167,3,1,0,15,3.82,0.00,-3.73,3.92
9468,5.52,0.32,674,0.00,0.99,0.00,1.0000,20.00,167,3,1,0,15,3.59,0.00,-3.73,3.92
9702,5.30,0.36,684,0.00,0.99,0.00,1.0000,19.50,167,3,1,0,15,3.97,0.00,-3.73,4.31
9772,5.23,0.35,674,0.00,0.99,0.00,1.0000,19.50,167,3,1,0,15,3.92,0.00,-3.73,4.31
10007,5.05,0.39,700,0.00,0.99,0.00,1.0000,19.50,167,3,1,0,15,4.51,0.00,-3.73,4.31
10053,4.95,0.36,691,0.00,0.92,0.00,1.0000,19.00,167,3,1,0,15,4.57,0.00,-3.73,4.31
10053,4.83,0.36,710,0.00,0.99,0.00,1.0000,18.00,167,3,1,0,15,4.23,0.00,-3.73,4.31
