Time (msec),Boost Error* (psi),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (lambda),Fine Learning Knock Correction (degrees),IAM (multiplier),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%)
0,5.94,0.28,770,0.00,0.99,0.00,1.0000,12.00,163,1,1,4,31,3.72,0.00,-3.73,3.14
0,5.94,0.27,768,0.00,0.99,0.00,1.0000,12.00,163,1,1,4,31,3.41,0.00,-3.73,3.53
47,5.96,0.26,758,0.00,0.99,0.00,1.0000,13.00,163,1,1,4,31,3.26,0.00,-3.73,3.53
220,5.94,0.30,746,0.00,0.99,0.00,1.0000,12.50,163,1,1,4,31,3.77,0.00,-3.73,3.53
251,5.94,0.30,743,0.00,0.99,0.00,1.0000,14.00,163,1,1,4,31,3.79,0.00,-3.73,3.53
376,5.93,0.30,742,0.00,0.99,0.00,1.0000,14.50,163,1,1,4,31,3.69,0.00,-3.73,3.53
422,5.87,0.31,718,0.00,0.99,0.00,1.0000,16.50,163,1,1,4,31,3.72,0.00,-3.73,3.53
422,5.82,0.26,718,0.00,0.99,0.00,1.0000,16.50,163,1,1,4,31,3.15,0.00,-3.73,3.53
579,5.77,0.30,704,0.00,0.99,0.00,1.0000,17.00,163,1,1,4,31,3.33,0.00,-3.73,3.53
610,5.72,0.35,700,0.00,0.99,0.00,1.0000,17.00,163,1,1,4,31,3.61,0.00,-3.73,3.53
751,5.70,0.33,682,0.00,0.99,0.00,1.0000,14.50,163,1,1,4,31,3.74,0.00,-3.73,9.02
797,10.15,2.71,677,0.00,0.99,0.00,1.0000,17.50,163,1,1,4,31,9.33,7.06,-3.73,87.45
797,7.17,1.13,711,0.00,0.52,0.00,1.0000,20.50,163,1,1,4,31,18.90,14.51,0.75,100.00
860,-3.28,1.01,734,0.00,0.92,0.00,1.0000,17.50,163,1,1,4,31,12.30,8.63,0.75,16.08
1001,-2.48,0.37,983,0.00,1.01,0.00,1.0000,22.00,163,1,1,4,31,7.88,0.00,0.75,8.63
1001,4.35,1.34,1188,0.00,1.12,0.00,1.0000,32.00,163,1,1,4,31,18.63,19.22,-3.87,87.84
1188,2.49,0.88,1459,0.00,0.69,0.00,1.0000,27.50,163,1,1,4,32,22.23,21.18,1.51,68.63
1204,-4.69,0.42,1725,0.00,0.94,0.00,1.0000,31.00,163,1,1,4,32,15.86,0.00,1.90,8.63
1360,-1.99,0.70,1968,0.00,1.13,0.00,1.0000,40.50,163,1,1,4,32,7.52,0.00,-5.18,32.55
1391,12.43,1.01,2174,0.00,1.23,-2.75,1.0000,36.50,163,1,1,4,32,38.89,55.69,-5.12,100.00
1391,-4.44,0.91,2332,0.00,0.95,-2.75,1.0000,33.50,162,1,1,4,32,38.32,57.25,6.65,27.84
1532,-0.72,0.21,2548,0.00,1.20,-2.75,1.0000,38.50,162,1,1,4,32,11.12,0.00,7.27,8.63
1579,11.40,1.28,2588,0.00,1.15,-2.75,1.0000,43.00,162,1,1,4,32,31.50,56.47,-5.05,66.67
1720,11.37,1.10,2706,0.00,0.79,0.00,1.0000,34.50,162,1,1,4,32,50.19,76.08,4.37,69.41
1751,-2.52,0.72,2689,0.00,0.95,0.00,1.0000,31.00,162,1,1,4,32,38.66,0.00,10.58,16.47
1751,-2.05,0.23,2792,0.00,1.12,0.00,1.0000,44.50,162,1,1,4,32,10.68,0.00,-3.11,11.76
1907,4.50,1.30,2731,0.00,1.43,0.00,1.0000,46.00,162,1,1,4,32,54.10,0.00,-4.93,47.06
1938,-1.69,0.93,2762,0.00,0.95,0.00,1.0000,34.50,162,1,1,4,32,46.23,69.80,-2.90,25.88
2079,7.21,1.18,2924,-1.41,0.83,0.00,1.0000,29.50,162,1,1,4,33,56.93,69.02,2.98,52.55
2079,5.47,1.05,2831,0.00,0.97,0.00,1.0000,36.50,162,1,1,4,32,46.96,64.71,5.38,36.47
2126,5.99,1.15,3013,-1.41,0.95,0.00,1.0000,29.50,162,1,1,4,33,58.11,63.14,6.36,51.76
2266,5.96,1.20,3125,-1.41,0.96,0.00,1.0000,28.50,162,1,1,4,34,60.99,58.04,5.86,58.82
2313,5.85,1.20,3234,-2.81,0.96,0.00,1.0000,29.50,162,1,1,4,34,63.94,51.37,5.98,57.25
2313,5.16,1.18,3308,-2.81,0.96,0.00,1.0000,29.50,162,1,1,4,34,65.94,47.45,6.21,50.20
2469,3.62,1.21,3325,-2.81,0.97,0.00,1.0000,29.00,162,1,1,4,35,66.44,45.10,5.76,47.84
2516,2.48,1.19,3316,-3.52,0.97,0.00,1.0000,31.50,162,1,1,4,35,66.44,45.49,4.49,41.57
2657,2.07,1.18,3299,0.00,0.97,0.00,1.0000,32.50,162,1,1,4,35,64.94,47.06,3.65,38.43
2705,1.88,1.20,3264,0.00,0.97,-1.50,1.0000,31.00,162,1,1,4,36,65.11,47.45,3.09,38.04
2705,1.75,1.24,3224,0.00,0.97,-1.50,1.0000,30.50,162,1,1,4,36,65.44,49.02,2.94,38.43
2829,1.56,1.25,3180,0.00,0.98,-1.50,1.0000,29.50,162,1,1,4,36,66.10,51.76,2.96,37.65
