Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
0,3412,1.64,30.50,43,5,4,4,7,0.00,0.00,1.0000,95.68,0.93,0.00,1.59,37.25,-0.47
0,3536,1.65,29.50,43,5,4,4,7,0.00,0.00,1.0000,97.11,0.93,0.00,1.59,32.94,-1.72
116,3632,1.51,31.00,43,5,4,4,7,0.00,0.00,1.0000,92.82,0.95,0.00,-1.10,29.41,-2.05
216,3729,1.64,31.00,43,5,4,4,7,0.00,0.00,1.0000,102.57,0.94,0.00,-0.56,32.16,-1.98
303,3902,1.68,29.50,43,5,4,4,7,0.00,0.00,1.0000,111.65,0.94,0.00,-0.15,32.55,-2.99
339,4115,1.67,28.50,43,5,4,4,7,0.00,0.00,1.0000,116.35,0.94,0.00,-0.62,32.94,-3.11
445,4244,1.71,27.50,43,5,4,4,7,0.00,0.00,1.0000,119.71,0.93,0.00,-0.73,32.55,-4.24
539,4400,1.55,29.50,43,5,4,4,7,0.00,0.00,1.0000,111.37,0.93,0.00,-2.17,29.80,-3.68
573,4507,1.44,32.50,41,5,4,4,7,0.00,0.00,1.0000,109.30,0.93,0.00,-2.65,30.20,-2.70
699,4618,1.61,32.50,41,5,4,4,7,0.00,0.00,1.0000,122.80,0.93,0.00,-2.34,32.55,-2.39
776,4790,1.45,34.50,41,5,4,4,7,0.00,0.00,1.0000,114.67,0.98,0.00,-1.88,29.41,-5.32
810,4934,0.98,40.00,41,5,4,4,7,0.00,0.00,1.0000,76.21,1.14,0.00,-5.82,20.39,-2.46
929,4843,0.43,47.00,41,5,4,4,7,0.00,0.00,1.0000,32.56,1.73,0.00,-6.36,14.12,1.58
1011,4804,0.21,46.00,41,5,4,4,7,0.00,0.00,1.0000,15.23,1.51,0.00,-6.40,10.59,3.17
1046,4828,0.16,44.00,41,5,4,4,7,0.00,0.00,1.0000,12.25,1.08,0.00,-6.42,10.59,4.91
1164,4742,0.18,42.00,41,5,4,4,7,0.00,0.00,1.0000,13.42,1.06,0.00,-6.42,10.59,4.94
1250,4664,0.20,40.00,41,5,4,4,7,0.00,0.00,1.0000,15.58,1.04,0.00,-6.36,10.59,5.01
1276,4468,0.31,46.00,41,5,4,4,7,0.00,0.00,1.0000,25.63,1.03,0.00,-6.30,18.82,4.92
1383,4180,0.99,48.50,41,5,4,4,7,0.00,0.00,1.0000,69.20,0.69,0.00,-6.15,27.84,5.33
1476,3972,1.18,41.00,41,5,4,4,7,0.00,0.00,1.0000,79.26,0.94,0.00,-1.16,33.33,4.58
1507,3929,1.42,40.00,41,5,4,4,7,0.00,0.00,1.0000,94.25,0.84,0.00,1.88,45.49,4.31
1647,3935,1.66,32.00,41,5,4,4,7,0.00,0.00,1.0000,111.69,0.83,0.00,3.46,94.90,4.45
1726,3885,1.90,26.00,41,5,4,4,7,0.00,0.00,1.0000,125.09,0.89,0.00,5.61,87.84,2.59
1756,3614,2.12,20.50,41,5,4,4,7,0.00,0.00,1.0000,123.08,0.82,0.00,3.73,56.47,-0.62
1882,3402,2.05,19.00,41,5,4,4,7,0.00,0.00,1.0000,121.68,0.85,0.00,4.22,74.51,-0.97
1945,3761,2.26,17.50,41,5,4,4,7,0.00,0.00,1.0000,145.69,0.84,5.88,4.97,100.00,1.10
2027,3726,2.49,15.00,41,5,4,4,7,0.00,0.00,1.0000,152.54,0.82,0.00,7.83,100.00,0.51
2116,3751,2.36,13.50,39,5,4,4,7,0.00,0.00,1.0000,147.97,0.80,0.00,4.10,59.61,-3.07
2195,3974,2.36,14.00,39,5,4,4,7,0.00,0.00,1.0000,159.66,0.78,1.96,5.03,100.00,-0.84
2242,3990,2.36,15.00,39,5,4,4,7,0.00,0.00,1.0000,157.93,0.77,0.00,7.64,69.41,-6.14
2351,4042,2.02,17.50,39,5,4,4,7,0.00,0.00,1.0000,136.20,0.81,0.00,2.44,38.82,-6.44
2429,4218,2.32,17.00,39,5,4,4,7,0.00,0.00,1.0000,162.11,0.85,0.00,1.04,55.69,-4.42
2507,4252,2.17,17.00,39,5,4,4,7,0.00,0.00,1.0000,152.87,0.81,0.00,2.96,40.39,-4.46
2570,4325,2.09,18.00,39,5,4,4,7,0.00,0.00,1.0000,150.58,0.80,0.00,1.91,46.67,-2.26
2663,4523,2.33,16.50,39,5,4,4,7,0.00,0.00,1.0000,177.14,0.73,0.00,3.07,98.82,-1.97
2741,4547,2.30,16.00,39,5,4,4,7,0.00,0.00,1.0000,169.83,0.77,0.00,5.10,39.22,-6.91
2838,4521,1.82,21.00,39,5,4,4,7,0.00,0.00,1.0000,134.99,0.85,0.00,-1.04,32.94,-4.31
2934,4681,1.83,27.00,39,5,4,4,7,0.00,0.00,1.0000,155.57,0.87,0.00,-0.56,45.49,0.40
2979,4829,2.17,23.00,39,5,4,4,7,0.00,0.00,1.0000,177.90,0.82,0.00,3.13,47.45,-3.94
3079,4813,1.96,23.50,39,5,4,4,7,0.00,0.00,1.0000,154.85,0.80,0.00,2.17,35.29,-3.69
3150,4868,1.74,28.00,37,5,4,4,7,0.00,0.00,1.0000,142.10,0.86,0.00,-0.75,34.51,-2.02
3199,5002,1.80,28.00,37,5,4,4,7,0.00,0.00,1.0000,151.89,0.86,0.00,0.31,36.86,-2.45
3305,4994,1.63,30.00,37,5,4,4,7,0.00,0.00,1.0000,136.51,0.90,0.00,-0.08,32.94,-3.83
3398,5094,1.47,33.50,37,5,4,4,7,0.00,0.00,1.0000,125.06,0.80,0.00,-1.86,31.37,-3.40
3429,5152,1.24,37.50,37,5,4,4,7,0.00,0.00,1.0000,105.16,0.98,0.00,-3.58,26.27,-3.92
3554,5098,0.55,44.50,37,5,4,4,7,0.00,0.00,1.0000,41.98,1.34,0.00,-5.82,12.16,0.60
3587,5093,0.17,46.50,37,5,4,4,7,0.00,0.00,1.0000,14.55,1.60,0.00,-5.82,10.59,4.04
3679,5086,0.16,44.50,37,5,4,4,7,0.00,0.00,1.0000,13.22,1.10,0.00,-5.84,10.20,5.25
3790,5006,0.17,42.50,37,5,4,4,7,0.00,0.00,1.0000,13.88,1.06,0.00,-5.86,10.20,5.57
3867,4866,0.17,40.50,37,5,4,4,7,0.00,0.00,1.0000,14.21,0.95,0.00,-5.88,9.80,5.44
3916,4672,0.19,41.50,37,5,4,4,7,0.00,0.00,1.0000,14.82,0.95,0.00,-5.92,11.76,5.33
4023,4612,0.48,49.50,37,5,4,4,7,0.00,0.00,1.0000,46.01,0.95,0.00,-5.84,27.06,4.95
4109,4594,1.39,41.00,37,5,4,4,7,0.00,0.00,1.0000,108.52,0.79,0.00,1.84,81.96,7.87
4148,4828,1.60,33.50,37,5,4,4,7,0.00,0.00,1.0000,137.41,0.88,0.00,7.12,93.73,-0.47
4273,5400,1.45,36.00,37,5,4,4,7,0.00,0.00,1.0000,104.24,0.96,0.00,0.12,19.61,-5.09
4370,5576,0.30,48.50,37,5,4,4,7,0.00,0.00,1.0000,22.90,1.38,0.00,-5.61,10.98,2.04
4406,5468,0.19,45.00,37,5,4,4,7,0.00,0.00,1.0000,16.55,1.02,0.00,-5.53,10.59,4.93
4510,5342,0.18,43.00,37,5,4,4,7,0.00,0.00,1.0000,15.44,1.01,0.00,-5.59,10.59,5.21
4540,5236,0.18,41.00,37,5,4,4,7,0.00,0.00,1.0000,15.72,0.95,0.00,-5.69,10.59,5.38
4647,5074,0.19,39.00,37,5,4,4,7,0.00,0.00,1.0000,16.20,0.95,0.00,-5.78,10.59,5.26
4742,4927,0.20,37.00,37,5,4,4,7,0.00,0.00,1.0000,16.62,0.95,0.00,-5.88,10.59,4.91
4804,4726,0.22,35.00,37,5,4,4,7,0.00,0.00,1.0000,16.83,0.96,0.00,-5.96,10.59,4.97
4882,4562,0.36,42.00,37,5,4,4,7,0.00,0.00,1.0000,29.24,0.86,0.00,-5.84,16.86,4.46
4976,4513,0.48,49.50,37,5,4,4,7,0.00,0.00,1.0000,36.20,0.81,0.00,-5.72,17.25,3.83
5054,4500,0.58,50.00,37,5,4,4,7,0.00,0.00,1.0000,45.33,0.87,0.00,-5.69,21.96,3.68
5132,4232,0.91,46.50,37,5,4,4,7,0.00,0.00,1.0000,64.61,0.62,0.00,-4.64,29.02,5.32
5210,3958,1.32,40.50,37,5,4,4,7,0.00,0.00,1.0000,89.25,0.68,0.00,-0.52,44.31,5.82
5303,3910,1.58,33.50,37,5,4,4,7,0.00,0.00,1.0000,105.16,0.88,0.00,3.36,100.00,4.70
5355,3954,1.75,29.50,37,5,4,4,7,0.00,0.00,1.0000,117.75,0.87,0.00,5.03,92.55,3.03
5476,3735,2.02,26.00,37,5,4,4,7,0.00,0.00,1.0000,124.57,0.84,0.00,5.72,100.00,-0.36
5548,3525,1.99,23.50,37,5,4,4,7,0.00,0.00,1.0000,114.67,0.87,0.00,3.31,42.35,-2.00
5585,3764,2.19,20.00,37,5,4,4,7,0.00,0.00,1.0000,140.86,0.76,0.00,2.61,96.47,1.43
5699,3664,2.38,16.50,37,5,4,4,7,0.00,0.00,1.0000,145.69,0.82,0.00,7.00,60.39,-5.49
5773,3777,2.14,18.00,37,5,4,4,7,0.00,0.00,1.0000,138.65,0.81,0.00,1.93,56.86,-1.81
5820,3807,2.34,16.00,37,5,4,4,7,0.00,0.00,1.0000,149.93,0.79,0.00,5.59,71.76,-4.92
5929,3788,1.97,18.50,37,5,4,4,7,0.00,0.00,1.0000,120.84,0.81,0.00,3.27,36.86,-6.23
6008,3855,1.97,21.50,37,5,4,4,7,0.00,0.00,1.0000,126.81,0.81,0.00,1.26,40.00,-3.40
6054,3885,1.94,22.50,37,5,4,4,7,0.00,0.00,1.0000,125.62,0.82,0.00,2.44,38.82,-3.55
6169,3923,1.91,22.50,37,5,4,4,7,0.00,0.00,1.0000,126.51,0.83,0.00,2.15,40.39,-2.63
6258,3941,1.89,23.00,37,5,4,4,7,0.00,0.00,1.0000,122.80,0.83,0.00,2.65,34.90,-4.02
6278,3949,1.72,25.50,37,5,4,4,7,0.00,0.00,1.0000,112.21,0.87,0.00,1.26,31.76,-4.36
6414,4036,1.73,27.50,37,5,4,4,7,0.00,0.00,1.0000,117.47,0.88,0.00,0.54,33.33,-3.59
6511,4025,1.66,28.00,37,5,4,4,7,0.00,0.00,1.0000,109.30,0.88,0.00,-0.23,29.80,-4.29
6525,4051,1.38,32.00,37,5,4,4,7,0.00,0.00,1.0000,92.35,0.92,0.00,-1.35,25.88,-4.71
6635,4066,0.99,41.00,37,5,4,4,7,0.00,0.00,1.0000,63.78,0.98,0.00,-3.09,20.39,-4.59
6729,4072,0.82,42.00,37,5,4,4,7,0.00,0.00,1.0000,55.45,1.13,0.00,-5.43,19.61,-0.82
6795,4106,0.77,45.00,37,5,4,4,7,0.00,0.00,1.0000,53.40,1.04,0.00,-5.47,19.61,-0.13
6882,4126,0.72,46.00,37,5,4,4,7,0.00,0.00,1.0000,50.00,1.04,0.00,-5.47,18.82,0.29
6983,4102,0.64,48.50,37,5,4,4,7,0.00,0.00,1.0000,43.78,1.04,0.00,-5.47,17.65,0.84
7045,4127,0.62,49.00,37,5,4,4,7,0.00,0.00,1.0000,42.62,1.05,0.00,-5.47,17.65,1.99
7116,4120,0.60,50.00,37,5,4,4,7,0.00,0.00,1.0000,41.46,1.04,0.00,-5.49,16.86,2.27
7200,4132,0.54,50.50,37,5,4,4,7,0.00,0.00,1.0000,37.45,1.04,0.00,-5.47,16.08,2.61
7257,4128,0.52,50.50,37,5,4,4,7,0.00,0.00,1.0000,35.46,1.04,0.00,-5.47,16.08,2.95
7367,4150,0.52,50.00,37,5,4,4,7,0.00,0.00,1.0000,35.21,1.03,0.00,-5.47,16.08,3.24
7445,4105,0.39,49.00,37,5,4,4,7,0.00,0.00,1.0000,27.46,1.03,0.00,-5.49,13.73,3.78
7523,4101,0.36,46.50,37,5,4,4,7,0.00,0.00,1.0000,24.54,1.03,0.00,-5.47,12.94,4.28
7621,4067,0.35,44.50,37,5,4,4,7,0.00,0.00,1.0000,23.56,1.03,0.00,-5.45,12.55,4.52
7702,4109,0.32,42.50,37,5,4,4,7,0.00,0.00,1.0000,21.76,1.02,0.00,-5.45,12.55,4.72
7790,4124,0.30,40.50,37,5,4,4,7,0.00,0.00,1.0000,20.95,1.02,0.00,-5.49,12.16,4.89
7835,4120,0.31,38.50,37,5,4,4,7,0.00,0.00,1.0000,20.87,1.02,0.00,-5.47,11.76,4.97
7930,4084,0.29,36.50,37,5,4,4,7,0.00,0.00,1.0000,19.58,1.02,0.00,-5.45,11.37,5.10
7960,4034,0.26,34.50,37,5,4,4,7,0.00,0.00,1.0000,17.26,0.84,0.00,-5.45,10.59,5.25
8069,4098,0.25,32.50,37,5,4,4,7,0.00,0.00,1.0000,16.34,0.83,0.00,-5.45,10.20,5.38
8149,4046,0.23,30.50,37,5,4,4,7,0.00,0.00,1.0000,15.30,0.83,0.00,-5.45,9.80,5.41
8195,4056,0.20,28.50,37,5,4,4,7,0.00,0.00,1.0000,13.62,0.83,0.00,-5.41,9.02,5.27
8319,4037,0.19,26.50,37,5,4,4,7,0.00,0.00,1.0000,12.69,0.81,0.00,-5.43,9.02,5.29
8382,4038,0.20,24.50,37,5,4,4,7,0.00,0.00,1.0000,13.16,0.81,0.00,-5.43,8.63,5.37
8445,3993,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.56,0.81,0.00,-5.41,8.63,5.34
8507,4012,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.89,0.81,0.00,-5.41,8.63,5.35
8632,4012,0.18,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.18,0.81,0.00,-5.41,8.63,5.32
8696,3953,0.18,24.00,37,5,4,4,7,0.00,0.00,1.0000,11.81,0.81,0.00,-5.39,8.63,5.26
8792,3979,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.37,0.81,0.00,-5.39,8.63,5.25
8867,3946,0.18,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.18,0.81,0.00,-5.39,8.63,5.24
8944,3921,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.76,0.81,0.00,-5.39,8.63,5.28
9039,3906,0.20,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.96,0.81,0.00,-5.39,8.63,5.29
9121,3892,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.43,0.81,0.00,-5.39,8.63,5.29
9194,3881,0.20,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.63,0.81,0.00,-5.39,8.63,5.29
9273,3895,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.56,0.81,0.00,-5.39,8.63,5.27
9383,3868,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.56,0.81,0.00,-5.39,8.63,5.31
9415,3874,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.43,0.81,0.00,-5.39,8.63,5.30
9463,3862,0.19,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.18,0.81,0.00,-5.39,8.63,5.31
9585,3845,0.20,24.00,37,5,4,4,7,0.00,0.00,1.0000,12.56,0.81,0.00,-5.39,8.63,5.26
9647,3804,0.19,24.00,39,5,4,4,7,0.00,0.00,1.0000,12.18,0.81,0.00,-5.39,8.63,5.30
9757,3796,0.19,24.00,39,5,4,4,7,0.00,0.00,1.0000,12.00,0.81,0.00,-5.39,8.63,5.30
9830,3786,0.19,24.00,39,5,4,4,7,0.00,0.00,1.0000,11.69,0.81,0.00,-5.39,8.63,5.31
