Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
0,2550,0.19,26.50,39,5,4,4,10,0.00,0.00,1.0000,8.15,1.00,0.00,-5.69,5.88,5.42
0,2495,0.19,26.00,39,5,4,4,10,0.00,0.00,1.0000,7.80,1.00,0.00,-5.67,5.88,5.46
141,2505,0.23,17.00,39,5,4,4,10,0.00,0.00,1.0000,10.25,0.99,0.00,-5.70,9.02,5.34
218,2512,0.34,34.00,39,5,4,4,10,0.00,0.00,1.0000,15.17,0.99,0.00,-5.67,11.37,4.88
305,2508,0.50,46.50,39,5,4,4,10,0.00,0.00,1.0000,21.77,0.86,0.00,-5.67,13.73,4.18
376,2566,0.71,40.00,39,5,4,4,10,0.00,0.00,1.0000,33.01,0.82,0.00,-5.69,20.39,3.30
447,2474,1.08,35.50,39,5,4,4,10,0.00,0.00,1.0000,44.42,0.78,0.00,-3.52,22.75,0.03
550,2502,1.13,26.00,39,5,4,4,10,0.00,0.00,1.0000,47.88,0.89,0.00,-3.21,28.24,3.35
550,2546,0.97,26.00,39,5,4,4,10,0.00,0.00,1.0000,41.20,0.96,0.00,-4.70,22.35,0.88
688,2550,1.11,26.50,39,5,4,4,10,0.00,0.00,1.0000,49.86,0.90,0.00,-0.15,34.12,7.07
750,2546,1.34,24.50,39,5,4,4,10,0.00,0.00,1.0000,57.22,0.85,19.22,5.41,98.04,8.83
843,2589,1.31,25.00,39,5,4,4,10,0.00,0.00,1.0000,56.48,0.92,24.71,8.59,100.00,9.00
906,2571,1.37,25.50,39,5,4,4,10,0.00,0.00,1.0000,58.40,0.93,27.45,9.05,100.00,9.15
1000,2630,1.43,25.00,39,5,4,4,10,0.00,0.00,1.0000,62.34,0.94,27.84,9.44,100.00,9.03
1078,2619,1.48,23.50,39,5,4,4,10,0.00,0.00,1.0000,65.94,0.94,27.84,9.67,100.00,8.44
1156,2666,1.50,25.50,39,5,4,4,10,0.00,0.00,1.0000,68.17,0.94,28.24,9.71,100.00,8.16
1171,2674,1.62,24.50,39,5,4,4,10,0.00,0.00,1.0000,72.00,0.95,28.24,9.82,100.00,7.82
1312,2721,1.71,24.00,39,5,4,4,10,0.00,0.00,1.0000,77.27,0.95,28.24,9.86,100.00,7.46
1390,2754,1.79,23.00,39,5,4,4,10,0.00,0.00,1.0000,80.74,0.95,28.24,9.94,100.00,6.65
1438,2763,1.78,22.00,39,5,4,4,10,0.00,0.00,1.0000,82.63,0.93,28.24,10.00,100.00,6.19
1555,2803,1.84,20.50,39,5,4,4,10,0.00,0.00,1.0000,88.05,0.93,28.63,10.04,100.00,5.73
1641,2840,1.95,19.00,37,5,4,4,10,0.00,0.00,1.0000,92.11,0.93,29.02,10.11,100.00,5.27
1723,2855,2.12,17.50,37,5,4,4,10,0.00,0.00,1.0000,99.67,0.93,29.41,10.27,100.00,4.27
1801,2882,2.18,15.50,37,5,4,4,10,0.00,0.00,1.0000,107.49,0.93,29.80,10.40,100.00,3.78
1881,2931,2.31,14.50,37,5,4,4,10,0.00,0.00,1.0000,115.57,0.93,30.20,10.52,100.00,3.21
1953,2986,2.46,13.50,37,5,4,4,10,0.00,0.00,1.0000,122.59,0.92,30.59,10.73,100.00,2.65
2046,3024,2.64,12.50,37,5,4,4,10,0.00,0.00,1.0000,132.57,0.92,29.02,10.93,100.00,1.18
2116,3051,2.72,11.50,37,5,4,4,10,0.00,0.00,1.0000,137.48,0.93,29.02,11.08,100.00,0.73
2176,3135,2.69,11.00,37,5,4,4,10,0.00,0.00,1.0000,145.38,0.93,29.80,11.22,100.00,0.43
2264,3099,2.75,10.00,37,5,4,4,10,0.00,0.00,1.0000,144.48,0.96,29.02,11.60,100.00,-0.05
2343,3196,2.95,9.00,37,5,4,4,10,0.00,0.00,1.0000,157.12,0.96,29.41,11.49,100.00,-0.39
2410,3229,2.91,8.00,36,5,4,4,10,0.00,0.00,1.0000,157.10,0.97,29.41,11.87,100.00,-0.43
2504,3269,2.83,8.00,36,5,4,4,10,0.00,0.00,1.0000,152.71,0.97,29.41,11.93,100.00,-0.32
2515,3288,2.83,8.00,36,5,4,4,10,0.00,0.00,1.0000,155.04,0.97,29.02,12.05,100.00,-0.25
2656,3374,2.90,8.00,36,5,4,4,10,0.00,0.00,1.0000,163.52,0.98,29.02,12.03,100.00,-0.17
2703,3398,2.91,7.00,36,5,4,4,10,0.00,0.00,1.0000,167.78,0.98,29.41,12.16,100.00,0.03
2835,3446,2.95,7.50,36,5,4,4,10,0.00,0.00,1.0000,169.63,0.98,29.41,12.36,100.00,0.05
2910,3482,2.80,7.00,36,5,4,4,10,0.00,0.00,1.0000,162.84,0.98,29.41,12.38,100.00,0.02
2957,3528,2.89,7.50,36,5,4,4,10,0.00,0.00,1.0000,170.66,0.98,29.80,12.38,100.00,0.26
3063,3571,2.94,7.50,36,5,4,4,10,0.00,0.00,1.0000,177.17,0.98,29.80,12.59,100.00,0.31
3145,3722,2.90,7.50,36,5,4,4,10,0.00,0.00,1.0000,180.53,0.98,30.20,12.67,100.00,0.18
3202,3598,2.92,7.50,36,5,4,4,10,0.00,0.00,1.0000,173.89,0.98,29.80,12.53,100.00,0.04
3312,3796,2.87,8.50,34,5,4,4,10,0.00,0.00,1.0000,183.53,0.98,29.41,12.67,100.00,-0.13
3391,3715,2.92,7.50,34,5,4,4,10,0.00,0.00,1.0000,183.16,0.98,29.41,12.53,100.00,-0.32
