Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
0,1143,0.80,16.00,57,5,4,3,7,0.00,0.00,1.0000,15.23,1.05,0.00,-5.45,12.16,-1.91
0,1158,0.80,18.50,57,5,4,3,7,0.00,0.00,1.0000,15.65,0.98,0.00,-5.45,12.55,-1.38
153,1224,0.87,20.00,57,5,4,3,7,0.00,0.00,1.0000,18.98,0.99,0.00,-5.09,14.90,-0.88
280,1315,0.97,18.50,57,5,4,3,7,0.00,0.00,1.0000,21.35,0.99,0.00,-4.72,15.29,-1.21
356,1348,0.94,17.50,57,5,4,3,7,0.00,0.00,1.0000,21.19,0.98,0.00,-4.97,15.29,-1.68
469,1385,0.94,18.00,57,5,4,3,7,0.00,0.00,1.0000,21.93,0.98,0.00,-5.03,15.29,-1.80
544,1447,0.88,20.50,57,5,4,3,7,0.00,0.00,1.0000,21.60,0.98,0.00,-5.16,15.29,-1.73
625,1527,0.88,23.00,57,5,4,3,7,0.00,0.00,1.0000,22.73,0.99,0.00,-5.18,16.86,-1.35
625,1570,1.01,22.00,57,5,4,3,7,0.00,0.00,1.0000,27.61,0.92,0.00,-4.97,20.00,-0.94
752,1606,1.16,20.00,57,5,4,3,7,0.00,0.00,1.0000,31.32,0.89,0.00,-4.14,22.35,-1.38
864,1721,1.08,19.50,57,5,4,3,7,0.00,0.00,1.0000,31.43,0.96,0.00,-3.81,23.14,-1.37
890,1822,1.07,20.50,57,5,4,3,7,0.00,0.00,1.0000,32.78,0.96,0.00,-3.40,23.92,-0.92
1050,1984,1.04,22.00,57,5,4,3,7,0.00,0.00,1.0000,35.58,0.97,0.00,-2.77,23.92,-0.50
1050,1887,1.11,20.50,57,5,4,3,7,0.00,0.00,1.0000,34.36,0.96,0.00,-2.96,23.53,-0.94
1090,1848,1.05,19.50,57,5,4,3,7,0.00,0.00,1.0000,33.46,0.96,0.00,-2.86,23.92,-1.18
1090,2108,1.08,22.00,57,5,4,3,7,0.00,0.00,1.0000,38.07,0.97,0.00,-2.48,24.31,-0.38
1204,2140,1.08,22.00,57,5,4,3,7,0.00,0.00,1.0000,39.31,0.97,0.00,-2.38,24.31,-0.67
1216,2215,1.05,22.50,57,5,4,3,7,0.00,0.00,1.0000,39.56,0.97,0.00,-2.59,24.31,-0.43
1357,2328,1.05,22.50,57,5,4,3,7,0.00,0.00,1.0000,42.23,0.97,0.00,-2.53,24.71,-0.58
1435,2404,1.08,21.50,57,5,4,3,7,0.00,0.00,1.0000,43.78,0.96,0.00,-2.77,25.10,-0.65
1451,2457,1.11,21.00,57,5,4,3,7,0.00,0.00,1.0000,45.46,0.96,0.00,-2.77,25.10,-0.74
1576,2563,1.09,21.00,57,5,4,3,7,0.00,0.00,1.0000,45.97,0.95,0.00,-2.90,25.10,-0.59
1670,2640,1.06,21.50,57,5,4,3,7,0.00,0.00,1.0000,47.31,0.94,0.00,-2.71,25.10,-0.46
1701,2736,1.07,23.50,57,5,4,3,7,0.00,0.00,1.0000,48.58,0.95,0.00,-2.69,25.10,-0.44
1829,2785,1.05,25.00,55,5,4,3,7,0.00,0.00,1.0000,49.01,0.96,0.00,-2.73,24.71,-0.39
1903,2870,1.04,26.00,55,5,4,3,7,0.00,0.00,1.0000,50.14,0.97,0.00,-2.77,24.31,-0.30
1950,2945,1.01,30.50,55,5,4,3,7,0.00,0.00,1.0000,50.14,0.97,0.00,-2.84,24.31,-0.05
2060,3003,1.02,33.50,55,5,4,3,7,0.00,0.00,1.0000,52.40,0.98,0.00,-2.73,24.31,0.29
2096,3052,1.02,36.50,55,5,4,3,7,0.00,0.00,1.0000,52.40,0.94,0.00,-2.44,24.31,-0.09
2216,3146,1.01,39.50,55,5,4,3,7,0.00,0.00,1.0000,53.10,0.96,0.00,-2.65,24.31,0.12
2294,3208,1.00,42.50,55,5,4,3,7,0.00,0.00,1.0000,52.68,0.97,0.00,-2.75,23.53,0.24
2372,3266,0.98,42.50,55,5,4,3,7,0.00,0.00,1.0000,53.68,0.97,0.00,-2.84,23.53,0.55
2451,3317,0.99,42.50,55,5,4,3,7,0.00,0.00,1.0000,55.45,0.97,0.00,-2.71,23.92,0.32
2544,3378,0.95,42.50,55,5,4,3,7,0.00,0.00,1.0000,54.71,0.98,0.00,-3.23,23.53,0.33
2622,3479,0.96,42.50,55,5,4,3,7,0.00,0.00,1.0000,57.07,0.98,0.00,-3.17,23.53,0.22
