Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
2657,3544,0.97,42.50,55,5,4,3,7,0.00,0.00,1.0000,57.52,0.98,0.00,-3.38,23.53,0.29
2779,3579,0.95,42.50,55,5,4,3,7,0.00,0.00,1.0000,57.67,0.98,0.00,-3.42,23.53,0.18
2857,3666,0.91,42.00,54,5,4,3,7,0.00,0.00,1.0000,55.89,1.00,0.00,-3.60,21.18,-1.28
2919,3741,0.63,45.50,54,5,4,3,7,0.00,0.00,1.0000,37.20,1.30,0.00,-5.67,15.29,0.47
2998,3713,0.27,48.00,54,5,4,3,7,0.00,0.00,1.0000,14.62,2.03,0.00,-5.67,8.63,2.99
3091,3695,0.16,45.50,54,5,4,3,7,0.00,0.00,1.0000,9.69,1.53,0.00,-5.67,8.63,4.59
3138,3679,0.16,43.50,54,5,4,3,7,0.00,0.00,1.0000,9.74,1.33,0.00,-5.67,8.24,5.36
3248,3565,0.16,41.50,54,5,4,3,7,0.00,0.00,1.0000,9.38,1.12,0.00,-5.69,8.24,5.25
3310,3462,0.17,42.50,54,5,4,3,7,0.00,0.00,1.0000,10.00,1.10,0.00,-5.65,8.24,5.23
3373,3398,0.29,49.50,54,5,4,3,7,0.00,0.00,1.0000,17.63,1.08,0.00,-5.61,13.73,5.06
3498,3223,0.52,49.50,54,5,4,3,7,0.00,0.00,1.0000,30.19,0.86,0.00,-5.59,19.61,4.09
3545,2965,0.97,46.50,54,5,4,3,7,0.00,0.00,1.0000,48.87,0.75,0.00,-3.35,23.92,2.06
3622,2932,1.01,43.00,54,5,4,3,7,0.00,0.00,1.0000,49.29,0.76,0.00,-2.63,24.31,1.74
3716,2819,1.10,41.00,54,5,4,3,7,0.00,0.00,1.0000,51.13,0.76,0.00,-2.03,25.10,1.49
3811,2618,1.16,38.00,54,5,4,3,7,0.00,0.00,1.0000,48.72,0.79,0.00,-1.80,25.10,0.67
3857,2464,1.18,35.50,54,5,4,3,7,0.00,0.00,1.0000,48.44,0.91,0.00,-2.48,25.10,-0.01
3966,2518,1.14,34.00,54,5,4,3,7,0.00,0.00,1.0000,49.57,0.92,0.00,-2.15,26.27,1.78
4044,2613,1.21,33.00,54,5,4,3,7,0.00,0.00,1.0000,52.97,0.91,0.00,-0.39,26.67,0.67
4091,2598,1.19,31.00,52,5,4,3,7,0.00,0.00,1.0000,51.69,0.92,0.00,-1.14,25.88,0.23
4216,2648,1.17,32.50,52,5,4,3,7,0.00,0.00,1.0000,52.26,0.92,0.00,-1.45,25.88,0.67
4278,2694,1.19,33.00,52,5,4,3,7,0.00,0.00,1.0000,54.27,0.92,0.00,-1.16,25.88,0.52
4326,2716,1.20,34.00,52,5,4,3,7,0.00,0.00,1.0000,54.71,0.92,0.00,-1.24,25.88,0.47
4434,2792,1.20,35.50,52,5,4,3,7,0.00,0.00,1.0000,56.04,0.93,0.00,-1.20,25.88,0.34
4529,2824,1.21,37.00,52,5,4,3,7,0.00,0.00,1.0000,55.74,0.93,0.00,-1.30,25.10,0.06
4611,2838,1.18,39.00,52,5,4,3,7,0.00,0.00,1.0000,57.22,0.93,0.00,-1.59,25.49,0.19
4685,2884,1.18,39.50,52,5,4,3,7,0.00,0.00,1.0000,56.93,0.93,0.00,-1.47,25.49,-0.03
4780,2935,1.13,39.50,52,5,4,3,7,0.00,0.00,1.0000,57.81,0.94,0.00,-1.64,25.49,-0.07
4844,2977,1.16,39.50,52,5,4,3,7,0.00,0.00,1.0000,57.81,0.94,0.00,-1.66,25.49,-0.18
4920,3017,1.15,39.50,52,5,4,3,7,0.00,0.00,1.0000,57.67,0.94,0.00,-1.70,25.10,-0.33
4985,3034,1.13,39.50,52,5,4,3,7,0.00,0.00,1.0000,57.37,0.95,0.00,-1.84,24.71,-0.04
5044,3080,1.13,39.50,50,5,4,3,7,0.00,0.00,1.0000,58.11,0.95,0.00,-1.64,25.10,0.21
5153,3127,1.14,40.00,50,5,4,3,7,0.00,0.00,1.0000,60.03,0.96,0.00,-1.41,25.10,-0.37
5253,3160,1.12,39.50,50,5,4,3,7,0.00,0.00,1.0000,59.14,0.96,0.00,-1.88,24.31,-0.10
5309,3207,1.13,40.00,50,5,4,3,7,0.00,0.00,1.0000,59.59,0.96,0.00,-1.84,24.31,0.03
5405,3238,1.11,40.00,50,5,4,3,7,0.00,0.00,1.0000,60.64,0.97,0.00,-1.76,25.10,0.40
5482,3282,1.16,39.50,50,5,4,3,7,0.00,0.00,1.0000,63.28,0.97,0.00,-1.41,25.49,0.23
5591,3314,1.06,40.00,50,5,4,3,7,0.00,0.00,1.0000,57.81,0.97,0.00,-2.55,22.75,-1.19
5591,3308,1.03,41.50,50,5,4,3,7,0.00,0.00,1.0000,56.48,0.98,0.00,-3.27,23.14,0.14
5720,3350,1.10,40.50,50,5,4,3,7,0.00,0.00,1.0000,61.28,0.99,0.00,-2.40,24.31,0.44
5798,3462,1.07,40.50,50,5,4,3,7,0.00,0.00,1.0000,61.78,0.98,0.00,-1.95,24.31,-0.21
5845,3450,1.11,40.00,50,5,4,3,7,0.00,0.00,1.0000,62.45,0.97,0.00,-2.38,23.92,-0.27
5951,3482,1.05,41.00,50,5,4,3,7,0.00,0.00,1.0000,61.12,0.98,0.00,-2.67,23.53,-0.14
6030,3518,1.03,41.00,48,5,4,3,7,0.00,0.00,1.0000,61.28,0.98,0.00,-2.69,23.53,-0.12
6092,3533,1.04,41.00,48,5,4,3,7,0.00,0.00,1.0000,62.95,0.98,0.00,-2.71,23.53,-0.28
6201,3570,0.93,43.00,48,5,4,3,7,0.00,0.00,1.0000,52.69,1.11,0.00,-5.18,18.82,-1.30
6269,3601,0.60,45.50,48,5,4,3,7,0.00,0.00,1.0000,33.68,1.38,0.00,-5.18,13.33,1.05
6312,3574,0.31,47.50,48,5,4,3,7,0.00,0.00,1.0000,14.70,1.99,0.00,-5.18,7.84,3.28
6423,3588,0.16,45.00,48,5,4,3,7,0.00,0.00,1.0000,8.80,1.64,0.00,-5.18,7.84,4.79
6501,3538,0.15,43.00,48,5,4,3,7,0.00,0.00,1.0000,8.84,1.16,0.00,-5.20,7.84,5.73
6577,3491,0.16,41.50,48,5,4,3,7,0.00,0.00,1.0000,9.12,1.13,0.00,-5.16,7.84,5.75
6612,3406,0.16,39.00,48,5,4,3,7,0.00,0.00,1.0000,8.83,1.12,0.00,-5.14,7.06,5.93
6748,3331,0.17,43.50,48,5,4,3,7,0.00,0.00,1.0000,9.18,1.11,0.00,-5.12,10.20,6.08
6826,3211,0.36,49.50,48,5,4,3,7,0.00,0.00,1.0000,20.87,1.08,0.00,-5.09,14.12,4.53
6840,2989,0.72,48.50,48,5,4,3,7,0.00,0.00,1.0000,35.08,0.72,0.00,-5.14,18.04,2.29
6982,2810,0.80,47.50,48,5,4,3,7,0.00,0.00,1.0000,37.45,0.85,0.00,-5.30,19.61,1.15
7064,2595,1.01,45.50,48,5,4,3,7,0.00,0.00,1.0000,44.68,0.84,0.00,-5.41,22.35,1.47
7092,2478,1.11,43.00,48,5,4,3,7,0.00,0.00,1.0000,46.10,0.72,0.00,-3.96,23.14,0.11
7216,2544,1.12,34.50,48,5,4,3,7,0.00,0.00,1.0000,47.88,0.92,0.00,-3.15,25.10,1.61
7298,2510,1.22,36.50,48,5,4,3,7,0.00,0.00,1.0000,50.70,0.84,0.00,-1.37,26.27,0.75
7341,2572,1.21,34.00,48,5,4,3,7,0.00,0.00,1.0000,50.70,0.88,0.00,-1.55,25.49,0.21
7466,2537,1.18,33.00,48,5,4,3,7,0.00,0.00,1.0000,50.28,0.81,0.00,-1.84,25.88,0.65
7528,2578,1.21,32.00,48,5,4,3,7,0.00,0.00,1.0000,51.83,0.91,0.00,-1.53,25.88,-0.21
7590,2587,1.19,31.00,48,5,4,3,7,0.00,0.00,1.0000,51.69,0.92,0.00,-1.99,25.49,0.02
7685,2601,1.21,30.50,48,5,4,3,7,0.00,0.00,1.0000,52.96,0.92,0.00,-1.74,25.88,0.42
7770,2648,1.22,30.50,48,5,4,3,7,0.00,0.00,1.0000,53.50,0.92,0.00,-1.35,25.49,-0.14
7826,2624,1.20,31.00,48,5,4,3,7,0.00,0.00,1.0000,52.92,0.93,0.00,-2.05,25.10,-0.19
7936,2664,1.22,30.50,48,5,4,3,7,0.00,0.00,1.0000,54.37,0.93,0.00,-1.72,25.49,-0.25
8017,2665,1.24,31.00,46,5,4,3,7,0.00,0.00,1.0000,55.41,0.93,0.00,-1.78,25.49,-0.58
8060,2704,1.23,31.50,46,5,4,3,7,0.00,0.00,1.0000,54.96,0.93,0.00,-1.99,25.49,-0.43
8169,2706,1.23,32.50,46,5,4,3,7,0.00,0.00,1.0000,55.56,0.93,0.00,-1.88,25.49,-0.69
8248,2722,1.24,33.00,46,5,4,3,7,0.00,0.00,1.0000,56.74,0.93,0.00,-1.97,25.49,-0.74
8325,2750,1.23,33.50,46,5,4,3,7,0.00,0.00,1.0000,56.30,0.93,0.00,-1.91,25.10,-0.62
8403,2760,1.24,34.50,46,5,4,3,7,0.00,0.00,1.0000,56.89,0.93,0.00,-1.82,25.10,-0.74
8483,2781,1.24,34.50,46,5,4,3,7,0.00,0.00,1.0000,57.19,0.93,0.00,-2.13,25.10,-1.00
8529,2796,1.22,35.50,46,5,4,3,7,0.00,0.00,1.0000,57.37,0.93,0.00,-2.11,25.10,-0.93
8654,2805,1.26,36.50,46,5,4,3,7,0.00,0.00,1.0000,58.11,0.94,0.00,-2.05,25.10,-0.99
8732,2826,1.23,37.50,46,5,4,3,7,0.00,0.00,1.0000,57.66,0.94,0.00,-2.11,25.10,-0.94
8810,2861,1.22,38.00,46,5,4,3,7,0.00,0.00,1.0000,58.09,0.94,0.00,-2.05,25.10,-1.07
8841,2866,1.20,38.50,46,5,4,3,7,0.00,0.00,1.0000,57.20,0.94,0.00,-2.15,24.71,-1.17
8966,2884,1.23,39.00,46,5,4,3,7,0.00,0.00,1.0000,58.38,0.94,0.00,-2.22,24.71,-1.05
9028,2889,1.19,39.50,46,5,4,3,7,0.00,0.00,1.0000,57.94,0.94,0.00,-2.13,24.71,-1.04
9122,2908,1.17,39.50,46,5,4,3,7,0.00,0.00,1.0000,56.91,0.94,0.00,-2.55,23.92,-1.46
9202,2918,1.18,40.00,46,5,4,3,7,0.00,0.00,1.0000,56.63,0.95,0.00,-2.65,23.92,-1.19
9279,2946,1.16,40.00,46,5,4,3,7,0.00,0.00,1.0000,57.42,0.95,0.00,-2.51,23.92,-1.18
9372,2954,1.16,40.50,46,5,4,3,7,0.00,0.00,1.0000,56.98,0.95,0.00,-2.53,23.92,-1.28
9451,2971,1.13,40.50,46,5,4,3,7,0.00,0.00,1.0000,55.50,0.95,0.00,-2.69,23.14,-1.25
9513,2995,1.08,40.00,45,5,4,3,7,0.00,0.00,1.0000,55.50,0.96,0.00,-2.78,23.53,-1.05
9606,3014,1.13,40.50,45,5,4,3,7,0.00,0.00,1.0000,56.39,0.96,0.00,-2.67,23.53,-1.23
9685,3013,1.12,40.50,45,5,4,3,7,0.00,0.00,1.0000,55.80,0.96,0.00,-2.86,23.53,-1.35
9754,3035,1.11,40.50,45,5,4,3,7,0.00,0.00,1.0000,55.94,0.96,0.00,-2.96,23.53,-1.10
9814,3042,1.11,40.50,45,5,4,3,7,0.00,0.00,1.0000,56.09,0.96,0.00,-2.80,23.14,-1.15
9919,3064,1.07,41.00,45,5,4,3,7,0.00,0.00,1.0000,55.79,0.97,0.00,-2.94,23.14,-1.16
9997,3072,1.08,41.00,45,5,4,3,7,0.00,0.00,1.0000,55.20,0.97,0.00,-2.98,23.14,-1.08
10091,3092,1.11,41.00,45,5,4,3,7,0.00,0.00,1.0000,57.67,0.97,0.00,-2.94,23.14,-0.97
10171,3101,1.09,41.00,45,5,4,3,7,0.00,0.00,1.0000,56.35,0.97,0.00,-2.96,23.14,-0.97
10240,3123,1.08,41.50,45,5,4,3,7,0.00,0.00,1.0000,55.75,0.97,0.00,-2.96,23.14,-0.92
10310,3146,1.09,41.50,45,5,4,3,7,0.00,0.00,1.0000,56.34,0.97,0.00,-2.96,23.14,-0.95
10404,3163,1.07,41.50,45,5,4,3,7,0.00,0.00,1.0000,55.76,0.98,0.00,-3.07,22.75,-1.00
10466,3161,0.97,43.00,45,5,4,3,7,0.00,0.00,1.0000,50.00,1.06,0.00,-4.60,19.61,-2.08
10560,3163,0.91,44.50,45,5,4,3,7,0.00,0.00,1.0000,48.70,1.01,0.00,-5.03,21.18,-0.19
10638,3202,1.01,44.00,45,5,4,3,7,0.00,0.00,1.0000,53.11,1.00,0.00,-3.79,21.57,-0.85
10701,3214,0.95,44.00,45,5,4,3,7,0.00,0.00,1.0000,50.14,1.00,0.00,-4.10,20.39,-1.81
10795,3206,0.90,45.00,45,5,4,3,7,0.00,0.00,1.0000,47.86,1.00,0.00,-4.91,18.43,-1.18
10892,3196,0.70,46.50,45,5,4,3,7,0.00,0.00,1.0000,35.29,1.14,0.00,-5.10,13.73,-0.12
10941,3170,0.41,48.00,45,5,4,3,7,0.00,0.00,1.0000,21.11,1.37,0.00,-5.10,9.02,2.10
11045,3175,0.19,46.00,45,5,4,3,7,0.00,0.00,1.0000,9.69,1.78,0.00,-5.10,7.84,3.50
11106,3182,0.18,44.00,45,5,4,3,7,0.00,0.00,1.0000,9.28,1.14,0.00,-5.12,7.45,5.15
11170,3147,0.15,42.00,45,5,4,3,7,0.00,0.00,1.0000,7.98,1.13,0.00,-5.12,7.06,5.48
11279,3100,0.17,40.00,45,5,4,3,7,0.00,0.00,1.0000,8.40,1.12,0.00,-5.16,7.06,5.57
11362,3044,0.18,40.00,45,5,4,3,7,0.00,0.00,1.0000,8.97,1.11,0.00,-5.18,7.84,5.68
11428,2976,0.32,48.00,45,5,4,3,7,0.00,0.00,1.0000,17.20,0.91,0.00,-5.26,13.73,4.62
11513,2857,0.63,48.50,45,5,4,3,7,0.00,0.00,1.0000,32.10,0.77,0.00,-5.34,17.65,3.05
11576,2703,0.90,47.50,45,5,4,3,7,0.00,0.00,1.0000,40.82,0.73,0.00,-5.45,20.78,1.56
11670,2494,1.14,46.00,45,5,4,3,7,0.00,0.00,1.0000,46.36,0.66,0.00,-4.91,22.75,1.19
11747,2378,1.15,42.50,45,5,4,3,7,0.00,0.00,1.0000,44.94,0.93,0.00,-3.98,23.53,-0.10
11825,2426,1.15,40.50,45,5,4,3,7,0.00,0.00,1.0000,46.23,0.92,0.00,-3.21,24.31,-0.40
11841,2403,1.17,39.00,45,5,4,3,7,0.00,0.00,1.0000,47.17,0.92,0.00,-3.04,24.31,-0.68
11950,2426,1.18,37.00,45,5,4,3,7,0.00,0.00,1.0000,47.31,0.92,0.00,-3.06,24.31,-0.88
12076,2412,1.18,36.50,45,5,4,3,7,0.00,0.00,1.0000,47.74,0.92,0.00,-3.11,24.31,-0.83
12154,2423,1.16,36.50,45,5,4,3,7,0.00,0.00,1.0000,47.31,0.92,0.00,-2.92,24.31,-1.05
12218,2452,1.20,35.00,45,5,4,3,7,0.00,0.00,1.0000,49.15,0.92,0.00,-3.07,24.31,-0.98
12310,2440,1.20,34.00,45,5,4,3,7,0.00,0.00,1.0000,49.01,0.92,0.00,-2.92,24.31,-1.15
12409,2468,1.20,34.00,45,5,4,3,7,0.00,0.00,1.0000,49.67,0.93,0.00,-3.04,24.31,-1.34
12468,2466,1.20,33.50,45,5,4,3,7,0.00,0.00,1.0000,49.39,0.93,0.00,-3.07,24.31,-1.45
12549,2455,1.10,34.50,45,5,4,3,7,0.00,0.00,1.0000,45.30,0.93,0.00,-3.17,16.47,-3.80
12627,2458,0.36,47.50,45,5,4,3,7,0.00,0.00,1.0000,16.99,1.22,0.00,-5.63,9.80,-0.60
12669,2460,0.34,46.00,45,5,4,3,7,0.00,0.00,1.0000,13.58,1.40,0.00,-5.63,9.41,1.53
12797,2460,0.31,44.00,45,5,4,3,7,0.00,0.00,1.0000,12.78,1.38,0.00,-5.63,9.41,3.23
12865,2464,0.34,42.00,45,5,4,3,7,0.00,0.00,1.0000,13.45,1.12,0.00,-5.61,9.02,3.63
12925,2440,0.33,40.00,45,5,4,3,7,0.00,0.00,1.0000,12.98,1.11,0.00,-5.63,9.02,3.79
12966,2447,0.31,38.00,45,5,4,3,7,0.00,0.00,1.0000,12.53,1.11,0.00,-5.63,8.63,3.97
13107,2445,0.30,36.00,45,5,4,3,7,0.00,0.00,1.0000,12.37,1.09,0.00,-5.63,8.63,4.20
13169,2460,0.31,34.00,45,5,4,3,7,0.00,0.00,1.0000,12.76,1.09,0.00,-5.63,8.63,4.31
13247,2422,0.31,32.00,45,5,4,3,7,0.00,0.00,1.0000,12.63,1.08,0.00,-5.63,8.63,4.35
13327,2403,0.30,30.00,45,5,4,3,7,0.00,0.00,1.0000,11.75,1.07,0.00,-5.65,7.84,4.37
13404,2391,0.24,28.00,45,5,4,3,7,0.00,0.00,1.0000,8.89,1.07,0.00,-5.63,5.88,4.95
13498,2328,0.19,26.00,45,5,4,3,7,0.00,0.00,1.0000,7.39,1.07,0.00,-5.63,5.88,5.16
13579,2266,0.19,24.00,45,5,4,3,7,0.00,0.00,1.0000,7.09,1.07,0.00,-5.61,5.88,5.30
13654,2188,0.19,24.00,45,5,4,3,7,0.00,0.00,1.0000,7.02,1.06,0.00,-5.59,5.49,5.40
13747,2107,0.20,24.00,45,5,4,3,7,0.00,0.00,1.0000,7.06,1.06,0.00,-5.51,5.10,5.56
13859,2035,0.21,24.00,45,5,4,3,7,0.00,0.00,1.0000,6.90,1.05,0.00,-5.49,5.10,5.54
13859,1956,0.21,24.00,45,5,4,3,7,0.00,0.00,1.0000,6.64,1.04,0.00,-5.45,5.10,5.47
13982,1882,0.21,24.00,45,5,4,3,7,0.00,0.00,1.0000,6.60,1.04,0.00,-5.49,4.71,5.39
14069,1794,0.21,23.00,45,5,4,3,7,0.00,0.00,1.0000,6.20,0.99,0.00,-5.63,4.31,5.30
14129,1686,0.20,21.00,45,5,4,3,7,0.00,0.00,1.0000,5.59,0.99,0.00,-5.69,3.92,5.23
14216,1576,0.22,19.00,45,5,4,3,7,0.00,0.00,1.0000,5.56,0.83,0.00,-5.76,3.92,5.21
14294,1458,0.21,18.00,45,5,4,3,7,0.00,0.00,1.0000,5.08,0.83,0.00,-5.78,3.53,5.41
14357,1329,0.23,17.50,45,5,4,3,7,0.00,0.00,1.0000,4.89,0.83,0.00,-5.47,3.53,5.55
14469,1214,0.24,17.00,45,5,4,3,7,0.00,0.00,1.0000,4.71,0.83,0.00,-5.38,3.92,5.66
14530,1108,0.28,17.00,45,5,4,3,7,0.00,0.00,1.0000,5.24,0.83,0.00,-5.22,4.31,5.78
14607,969,0.35,17.00,46,5,4,3,7,0.00,0.00,1.0000,5.59,0.83,0.00,-5.05,4.31,5.83
14704,871,0.41,17.00,46,5,4,3,7,0.00,0.00,1.0000,6.04,0.80,0.00,-4.83,4.71,5.60
14786,816,0.47,17.00,46,5,4,3,7,0.00,0.00,1.0000,6.15,0.71,0.00,-4.39,4.71,5.15
14827,860,0.40,17.00,46,5,4,3,7,0.00,0.00,1.0000,6.01,0.74,0.00,-4.43,4.71,4.74
14935,934,0.37,17.00,46,5,4,3,7,0.00,0.00,1.0000,5.88,0.82,0.00,-4.54,4.31,4.55
14997,963,0.34,17.00,46,5,4,3,7,0.00,0.00,1.0000,5.49,0.82,0.00,-4.62,3.92,4.58
15060,1002,0.29,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.99,0.94,0.00,-4.78,3.14,4.74
15169,1038,0.25,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.37,0.95,0.00,-4.81,3.14,4.90
15266,1036,0.25,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.26,0.96,0.00,-4.87,3.14,5.12
15309,1036,0.25,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.25,0.83,0.00,-4.87,3.14,5.49
15406,1029,0.23,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.12,1.00,0.00,-4.85,3.14,5.66
15502,982,0.25,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.10,0.96,0.00,-4.78,3.14,5.77
15545,963,0.25,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.05,0.96,0.00,-4.74,3.14,5.86
15637,942,0.26,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.10,0.96,0.00,-4.68,3.14,5.94
15732,926,0.28,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.25,0.96,0.00,-4.60,3.14,5.94
15812,910,0.29,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.26,0.96,0.00,-4.56,3.14,5.94
15844,872,0.29,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.26,0.96,0.00,-4.52,3.14,5.95
15966,851,0.30,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.23,0.95,0.00,-4.47,3.14,5.90
16061,822,0.31,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.21,0.95,0.00,-4.39,3.14,5.86
16061,800,0.32,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.15,0.95,0.00,-4.33,3.14,5.81
16201,767,0.33,17.00,46,5,4,3,7,0.00,0.00,1.0000,4.21,0.95,0.00,-4.29,3.14,5.70
16279,740,0.34,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.12,0.95,0.00,-4.29,3.14,5.64
16331,719,0.35,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.21,0.95,0.00,-4.29,3.14,5.45
16435,694,0.36,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.12,0.95,0.00,-4.29,3.14,5.31
16513,680,0.36,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.15,0.95,0.00,-4.29,3.53,5.25
16561,668,0.38,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.18,0.95,0.00,-4.29,3.53,5.17
16688,662,0.40,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.32,0.94,0.00,-4.29,3.53,4.93
16767,655,0.41,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.40,0.94,0.00,-4.29,3.53,4.76
16809,643,0.41,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.34,0.94,0.00,-4.29,3.92,4.69
16904,634,0.42,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.45,0.94,0.00,-4.29,3.92,4.62
16996,634,0.44,17.00,48,5,4,3,7,0.00,0.00,1.0000,4.66,0.94,0.00,-4.29,3.92,4.39
