Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
0,929,0.32,14.00,59,5,4,3,2,0.00,0.00,1.0000,4.96,0.99,0.00,-4.95,3.92,4.82
63,932,0.32,14.50,59,5,4,3,2,0.00,0.00,1.0000,4.86,0.99,0.00,-4.97,4.31,4.85
140,905,0.31,15.50,59,5,4,3,2,0.00,0.00,1.0000,4.71,0.99,0.00,-4.95,4.31,4.88
218,890,0.32,17.00,59,5,4,3,2,0.00,0.00,1.0000,4.77,0.99,0.00,-4.91,4.31,4.87
297,877,0.33,18.50,59,5,4,3,2,0.00,0.00,1.0000,4.77,0.99,0.00,-4.89,4.31,4.89
376,868,0.33,19.00,59,5,4,3,2,0.00,0.00,1.0000,4.78,0.99,0.00,-4.83,4.31,4.86
454,863,0.35,19.50,59,5,4,3,2,0.00,0.00,1.0000,4.92,0.99,0.00,-4.81,4.31,4.83
534,856,0.34,19.50,59,5,4,3,2,0.00,0.00,1.0000,4.80,0.99,0.00,-4.80,4.31,4.81
613,840,0.34,19.50,59,5,4,3,2,0.00,0.00,1.0000,4.74,0.99,0.00,-4.81,4.31,4.76
695,833,0.34,19.50,59,5,4,3,2,0.00,0.00,1.0000,4.80,0.99,0.00,-4.78,4.31,4.75
773,824,0.35,20.00,59,5,4,3,2,0.00,0.00,1.0000,4.83,0.99,0.00,-4.76,4.31,4.70
865,824,0.35,20.00,59,5,4,3,2,0.00,0.00,1.0000,4.84,0.99,0.00,-4.76,4.31,4.70
942,817,0.34,20.00,59,5,4,3,2,0.00,0.00,1.0000,4.69,0.99,0.00,-4.74,4.31,4.66
1003,816,0.34,20.00,59,5,4,3,2,0.00,0.00,1.0000,4.66,0.99,0.00,-4.70,4.31,4.59
1099,810,0.35,20.00,59,5,4,3,2,0.00,0.00,1.0000,4.75,0.99,0.00,-4.70,4.31,4.59
1174,810,0.38,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.08,0.99,0.00,-4.70,4.31,4.54
1255,810,0.39,20.00,59,5,4,3,2,0.00,0.00,1.0000,5.30,0.99,0.00,-4.70,4.71,4.47
1338,811,0.39,20.00,59,5,4,3,2,0.00,0.00,1.0000,5.27,0.98,0.00,-4.70,4.71,4.29
1407,814,0.41,20.00,59,5,4,3,2,0.00,0.00,1.0000,5.46,0.98,0.00,-4.70,4.71,4.24
1489,812,0.42,20.00,59,5,4,3,2,0.00,0.00,1.0000,5.56,0.98,0.00,-4.70,4.71,4.14
1565,821,0.42,19.50,59,5,4,3,2,0.00,0.00,1.0000,5.75,0.98,0.00,-4.68,4.71,4.07
1656,826,0.45,19.00,59,5,4,3,2,0.00,0.00,1.0000,5.78,0.98,0.00,-4.76,5.10,3.95
1727,846,0.40,18.00,59,5,4,3,2,0.00,0.00,1.0000,5.75,0.98,0.00,-4.78,5.10,3.89
1802,872,0.39,16.00,59,5,4,3,2,0.00,0.00,1.0000,5.75,0.98,0.00,-4.81,5.10,3.85
1897,914,0.38,13.50,59,5,4,3,2,0.00,0.00,1.0000,5.78,0.99,0.00,-4.89,5.10,3.86
1973,938,0.38,12.00,59,5,4,3,2,0.00,0.00,1.0000,5.98,0.99,0.00,-4.93,5.10,3.88
2032,963,0.36,11.50,59,5,4,3,2,0.00,0.00,1.0000,5.82,0.99,0.00,-5.05,5.10,3.95
2128,976,0.35,11.00,59,5,4,3,2,0.00,0.00,1.0000,5.78,0.99,0.00,-5.07,5.10,4.01
2204,999,0.36,9.50,59,5,4,3,2,0.00,0.00,1.0000,5.95,0.99,0.00,-5.10,5.10,4.04
2281,1000,0.37,10.00,59,5,4,3,2,0.00,0.00,1.0000,6.11,1.00,0.00,-5.12,5.10,4.17
2360,992,0.38,11.00,59,5,4,3,2,0.00,0.00,1.0000,6.31,1.00,0.00,-5.12,5.10,4.22
2439,1001,0.37,12.50,59,5,4,3,2,0.00,0.00,1.0000,6.20,1.00,0.00,-5.12,5.10,4.25
2517,1000,0.37,12.00,59,5,4,3,2,0.00,0.00,1.0000,6.20,1.00,0.00,-5.12,5.10,4.28
2594,1008,0.37,12.00,59,5,4,3,2,0.00,0.00,1.0000,6.17,1.00,0.00,-5.12,5.10,4.32
2690,1011,0.35,14.00,59,5,4,3,2,0.00,0.00,1.0000,5.91,1.00,0.00,-5.14,5.10,4.34
2766,1010,0.37,13.00,59,5,4,3,2,0.00,0.00,1.0000,6.20,1.00,0.00,-5.14,5.10,4.36
2848,1015,0.35,13.00,59,5,4,3,2,0.00,0.00,1.0000,6.04,1.00,0.00,-5.14,5.10,4.36
2922,1024,0.36,14.00,59,5,4,3,2,0.00,0.00,1.0000,6.17,1.00,0.00,-5.16,4.71,4.37
3008,1020,0.38,14.00,59,5,4,3,2,0.00,0.00,1.0000,6.08,1.00,0.00,-5.18,4.71,4.38
3080,1023,0.34,14.50,59,5,4,3,2,0.00,0.00,1.0000,5.98,1.01,0.00,-5.18,4.71,4.40
3158,1032,0.35,14.50,59,5,4,3,2,0.00,0.00,1.0000,5.95,1.01,0.00,-5.20,4.71,4.43
3236,1028,0.35,14.50,59,5,4,3,2,0.00,0.00,1.0000,5.95,1.01,0.00,-5.20,4.71,4.46
3317,1034,0.34,15.00,59,5,4,3,2,0.00,0.00,1.0000,5.85,1.01,0.00,-5.18,4.71,4.54
