Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
0,4241,1.55,30.00,43,5,4,3,7,0.00,0.00,1.0000,108.78,0.95,0.00,-1.02,30.20,-2.33
112,4295,1.50,30.50,43,5,4,3,7,0.00,0.00,1.0000,108.26,0.94,0.00,-1.41,30.20,-1.96
204,4350,1.48,31.00,43,5,4,3,7,0.00,0.00,1.0000,109.30,0.97,0.00,-1.31,30.59,-1.99
215,4413,1.51,31.00,41,5,4,3,7,0.00,0.00,1.0000,111.65,0.97,0.00,-1.47,30.59,-1.93
340,4454,1.52,31.00,41,5,4,3,7,0.00,0.00,1.0000,112.71,0.94,0.00,-1.43,30.59,-2.22
421,4505,1.50,32.00,41,5,4,3,7,0.00,0.00,1.0000,114.67,0.91,0.00,-1.53,31.37,-1.61
457,4576,1.55,32.00,41,5,4,3,7,0.00,0.00,1.0000,121.12,0.89,0.00,-1.26,31.37,-2.64
575,4629,1.47,33.50,41,5,4,3,7,0.00,0.00,1.0000,112.43,0.88,0.00,-2.01,30.20,-2.15
637,4680,1.46,34.50,41,5,4,3,7,0.00,0.00,1.0000,114.95,0.88,0.00,-2.09,30.98,-1.65
700,4766,1.50,34.50,41,5,4,3,7,0.00,0.00,1.0000,121.68,0.88,0.00,-1.76,31.76,-1.64
762,4782,1.54,33.50,41,5,4,3,7,0.00,0.00,1.0000,126.21,0.88,0.00,-1.64,32.55,-1.75
887,4855,1.56,33.00,41,5,4,3,7,0.00,0.00,1.0000,128.33,0.87,0.00,-1.49,33.33,-1.43
950,4908,1.80,30.50,41,5,4,3,7,0.00,0.00,1.0000,148.30,0.86,0.00,-1.06,37.65,-0.25
1027,5008,1.94,26.00,41,5,4,3,7,0.00,0.00,1.0000,162.82,0.81,0.00,0.75,41.96,-2.01
1153,5033,1.98,24.00,41,5,4,3,7,0.00,0.00,1.0000,169.48,0.80,0.00,1.49,39.61,-2.14
1186,5100,1.99,24.00,41,5,4,3,7,0.00,0.00,1.0000,170.18,0.80,0.00,1.28,41.57,-2.14
1310,5208,1.99,24.00,41,5,4,3,7,0.00,0.00,1.0000,174.14,0.79,0.00,1.55,40.78,-2.60
1390,5236,2.04,24.00,41,5,4,3,7,0.00,0.00,1.0000,179.02,0.79,0.00,1.37,42.75,-2.31
1433,5346,2.05,24.00,41,5,4,3,7,0.00,0.00,1.0000,183.16,0.79,0.00,1.84,43.53,-2.90
1544,5405,2.05,24.00,39,5,4,3,7,0.00,0.00,1.0000,183.16,0.80,0.00,1.53,41.57,-2.79
1642,5408,2.04,24.00,39,5,4,3,7,0.00,0.00,1.0000,186.54,0.80,0.00,1.33,42.75,-2.65
1652,5569,2.12,24.50,39,5,4,3,7,0.00,0.00,1.0000,198.72,0.88,0.00,1.43,49.02,-3.29
1747,5621,2.13,23.50,39,5,4,3,7,0.00,0.00,1.0000,197.51,0.79,0.00,1.80,43.92,-2.98
1840,5621,2.07,24.50,39,5,4,3,7,0.00,0.00,1.0000,196.31,0.80,0.00,1.74,45.10,-2.83
1879,5781,2.05,25.50,39,5,4,3,7,0.00,0.00,1.0000,196.71,0.80,0.00,1.86,45.88,-2.91
2019,5776,2.04,25.50,39,5,4,3,7,0.00,0.00,1.0000,197.51,0.73,0.00,1.82,43.53,-3.29
2095,5852,2.01,26.50,39,5,4,3,7,0.00,0.00,1.0000,199.12,0.80,0.00,1.24,43.92,-2.90
2130,5970,2.04,27.00,39,5,4,3,7,0.00,0.00,1.0000,205.15,0.80,0.00,1.43,45.88,-2.79
2246,6018,2.02,27.50,39,5,4,3,7,0.00,0.00,1.0000,203.54,0.80,0.00,1.68,44.71,-3.24
2325,6077,2.00,28.50,39,5,4,3,7,0.00,0.00,1.0000,204.35,0.89,0.00,1.22,45.10,-2.78
2356,6126,1.87,30.00,39,5,4,3,7,0.00,0.00,1.0000,186.17,0.86,0.00,0.73,35.69,-7.65
2450,6088,0.99,39.50,39,5,4,3,7,0.00,0.00,1.0000,91.87,0.93,0.00,-4.83,23.14,-2.59
2559,5994,0.22,47.00,39,5,4,3,7,0.00,0.00,1.0000,17.78,1.54,0.00,-4.99,10.98,3.29
2629,5878,0.13,45.00,39,5,4,3,7,0.00,0.00,1.0000,12.82,1.12,0.00,-5.03,10.20,5.15
2721,5777,0.14,43.00,39,5,4,3,7,0.00,0.00,1.0000,13.95,1.07,0.00,-5.26,10.59,5.63
2826,5584,0.31,49.50,39,5,4,3,7,0.00,0.00,1.0000,31.82,1.04,0.00,-5.36,21.96,4.92
2861,5469,0.80,48.00,39,5,4,3,7,0.00,0.00,1.0000,82.84,0.76,0.00,-5.47,31.37,4.46
2966,5279,1.25,42.00,39,5,4,3,7,0.00,0.00,1.0000,110.59,0.98,0.00,-3.09,38.82,3.80
3046,4874,1.81,30.50,39,5,4,3,7,0.00,0.00,1.0000,147.65,0.83,0.00,2.82,55.69,2.10
3106,4326,2.18,21.00,39,5,4,3,7,0.00,0.00,1.0000,155.17,0.89,0.00,3.33,61.96,-0.03
3199,4271,2.18,16.00,39,5,4,3,7,0.00,0.00,1.0000,164.22,0.88,0.00,3.85,86.27,-1.05
3278,4426,2.51,15.50,39,5,4,3,7,0.00,0.00,1.0000,181.28,0.83,0.00,4.64,100.00,-0.79
3310,4408,2.40,12.50,39,5,4,3,7,0.00,0.00,1.0000,180.53,0.84,0.00,5.41,100.00,-3.35
3434,4427,2.47,14.50,39,5,4,3,7,0.00,0.00,1.0000,184.29,0.83,0.00,5.39,100.00,-3.30
3512,4453,2.42,15.00,37,5,4,3,7,0.00,0.00,1.0000,183.53,0.81,0.00,5.72,100.00,-4.27
3559,4478,2.48,15.00,37,5,4,3,7,0.00,0.00,1.0000,184.66,0.80,0.00,4.81,100.00,-4.26
3668,4512,2.45,16.00,37,5,4,3,7,0.00,0.00,1.0000,186.92,0.78,0.00,4.80,100.00,-4.45
3747,4561,2.49,16.00,37,5,4,3,7,0.00,0.00,1.0000,188.42,0.77,0.00,4.56,100.00,-4.43
3827,4586,2.46,16.50,37,5,4,3,7,0.00,0.00,1.0000,191.51,0.76,0.00,4.58,100.00,-4.77
3919,4655,2.54,17.00,37,5,4,3,7,0.00,0.00,1.0000,194.70,0.75,30.59,4.25,100.00,3.47
