Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
0,936,0.33,16.00,59,5,4,3,2,0.00,0.00,1.0000,5.14,0.99,0.00,-4.99,4.31,4.81
0,931,0.33,16.00,59,5,4,3,2,0.00,0.00,1.0000,5.17,0.99,0.00,-4.99,4.31,4.81
110,921,0.34,18.00,59,5,4,3,2,0.00,0.00,1.0000,5.08,0.99,0.00,-4.97,4.31,4.82
225,908,0.33,19.00,59,5,4,3,2,0.00,0.00,1.0000,4.89,0.99,0.00,-4.93,4.31,4.82
297,884,0.34,19.50,59,5,4,3,2,0.00,0.00,1.0000,4.99,0.99,0.00,-4.89,4.31,4.81
357,870,0.35,20.00,59,5,4,3,2,0.00,0.00,1.0000,5.08,0.99,0.00,-4.87,4.31,4.78
451,861,0.35,20.00,59,5,4,3,2,0.00,0.00,1.0000,5.08,0.99,0.00,-4.83,4.31,4.75
517,849,0.35,20.50,59,5,4,3,2,0.00,0.00,1.0000,4.99,0.99,0.00,-4.80,4.31,4.69
576,836,0.37,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.11,0.99,0.00,-4.80,4.31,4.65
689,828,0.37,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.11,0.99,0.00,-4.76,4.71,4.61
767,823,0.39,21.00,59,5,4,3,2,0.00,0.00,1.0000,5.24,0.99,0.00,-4.74,5.10,4.53
812,821,0.42,21.00,59,5,4,3,2,0.00,0.00,1.0000,5.65,0.98,0.00,-4.72,5.10,4.34
921,819,0.44,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.98,0.98,0.00,-4.72,5.10,4.18
1001,816,0.44,21.00,59,5,4,3,2,0.00,0.00,1.0000,5.95,0.98,0.00,-4.72,5.10,4.07
1048,814,0.44,20.50,59,5,4,3,2,0.00,0.00,1.0000,6.14,0.98,0.00,-4.70,5.10,4.01
1158,830,0.47,20.00,59,5,4,3,2,0.00,0.00,1.0000,6.11,0.98,0.00,-4.74,5.10,3.73
1238,851,0.42,19.00,59,5,4,3,2,0.00,0.00,1.0000,6.14,0.98,0.00,-4.80,5.10,3.63
1281,876,0.40,18.00,59,5,4,3,2,0.00,0.00,1.0000,6.04,0.98,0.00,-4.83,5.10,3.58
1397,928,0.39,14.50,59,5,4,3,2,0.00,0.00,1.0000,6.08,0.98,0.00,-4.89,5.10,3.57
1482,960,0.39,11.50,59,5,4,3,2,0.00,0.00,1.0000,6.41,0.98,0.00,-5.05,5.10,3.61
1560,991,0.38,11.00,59,5,4,3,2,0.00,0.00,1.0000,6.41,0.99,0.00,-5.09,5.10,3.67
1644,1022,0.38,10.50,59,5,4,3,2,0.00,0.00,1.0000,6.45,0.99,0.00,-5.16,5.10,3.75
1732,1032,0.37,8.50,59,5,4,3,2,0.00,0.00,1.0000,6.27,0.99,0.00,-5.18,5.10,3.82
1767,1034,0.37,9.00,59,5,4,3,2,0.00,0.00,1.0000,6.53,0.99,0.00,-5.22,5.10,3.99
1875,1047,0.37,10.50,59,5,4,3,2,0.00,0.00,1.0000,6.41,1.00,0.00,-5.22,5.10,4.05
1951,1046,0.37,11.00,59,5,4,3,2,0.00,0.00,1.0000,6.53,1.00,0.00,-5.22,5.10,4.09
2018,1055,0.38,12.50,59,5,4,3,2,0.00,0.00,1.0000,6.57,1.00,0.00,-5.24,5.10,4.11
2128,1055,0.37,13.00,59,5,4,3,2,0.00,0.00,1.0000,6.45,1.00,0.00,-5.26,5.10,4.17
2154,1048,0.38,13.00,59,5,4,3,2,0.00,0.00,1.0000,6.68,1.00,0.00,-5.26,5.10,4.18
2215,1064,0.37,13.50,59,5,4,3,2,0.00,0.00,1.0000,6.57,1.00,0.00,-5.26,5.10,4.19
2346,1058,0.37,13.50,59,5,4,3,2,0.00,0.00,1.0000,6.64,1.00,0.00,-5.28,5.10,4.22
2443,1068,0.37,14.50,59,5,4,3,2,0.00,0.00,1.0000,6.60,1.01,0.00,-5.26,5.10,4.26
2513,1072,0.36,14.00,59,5,4,3,2,0.00,0.00,1.0000,6.34,1.01,0.00,-5.28,5.10,4.27
