Time (msec),Engine Speed (rpm),Engine Load (Calculated) (g/rev),Ignition Total Timing (degrees),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),IAM (multiplier),Mass Airflow (g/s),Final Fueling Base (2-byte)* (lambda),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Throttle Opening Angle (%),Boost Error* (psi)
0,878,0.31,16.50,59,5,4,3,2,0.00,0.00,1.0000,4.60,0.99,0.00,-4.83,3.92,4.85
61,874,0.32,18.50,59,5,4,3,2,0.00,0.00,1.0000,4.54,0.99,0.00,-4.83,3.92,4.85
190,849,0.34,19.00,59,5,4,3,2,0.00,0.00,1.0000,4.71,0.99,0.00,-4.85,3.92,4.87
247,833,0.34,19.50,59,5,4,3,2,0.00,0.00,1.0000,4.68,0.99,0.00,-4.80,3.92,4.87
373,789,0.36,20.50,59,5,4,3,2,0.00,0.00,1.0000,4.68,0.99,0.00,-4.70,4.31,4.87
373,768,0.37,21.00,59,5,4,3,2,0.00,0.00,1.0000,4.75,0.99,0.00,-4.68,4.31,4.77
433,758,0.37,21.00,59,5,4,3,2,0.00,0.00,1.0000,4.69,0.99,0.00,-4.68,4.31,4.66
485,744,0.39,21.00,59,5,4,3,2,0.00,0.00,1.0000,4.90,0.99,0.00,-4.68,4.71,4.60
611,744,0.42,21.00,59,5,4,3,2,0.00,0.00,1.0000,5.21,0.98,0.00,-4.68,5.10,4.35
721,742,0.45,21.00,59,5,4,3,2,0.00,0.00,1.0000,5.56,0.89,0.00,-4.68,5.10,4.10
779,753,0.47,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.88,0.90,0.00,-4.68,5.10,3.91
915,778,0.46,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.91,0.90,0.00,-4.68,5.10,3.81
993,815,0.43,18.00,59,5,4,3,2,0.00,0.00,1.0000,5.91,0.98,0.00,-4.68,5.10,3.55
1095,854,0.41,15.00,59,5,4,3,2,0.00,0.00,1.0000,5.95,0.98,0.00,-4.78,5.10,3.52
1174,884,0.40,13.00,59,5,4,3,2,0.00,0.00,1.0000,6.01,0.98,0.00,-4.85,5.10,3.52
1216,938,0.38,11.00,59,5,4,3,2,0.00,0.00,1.0000,6.04,0.98,0.00,-4.91,5.10,3.58
1334,966,0.38,10.50,59,5,4,3,2,0.00,0.00,1.0000,6.17,0.99,0.00,-5.05,5.10,3.71
1348,985,0.37,8.00,59,5,4,3,2,0.00,0.00,1.0000,6.20,0.99,0.00,-5.09,5.10,3.82
1470,1001,0.37,8.00,59,5,4,3,2,0.00,0.00,1.0000,6.20,0.99,0.00,-5.10,5.10,3.89
1470,1008,0.37,8.50,59,5,4,3,2,0.00,0.00,1.0000,6.20,0.99,0.00,-5.12,5.10,3.94
1518,1013,0.37,8.50,59,5,4,3,2,0.00,0.00,1.0000,6.27,1.00,0.00,-5.16,5.10,4.05
1651,1025,0.35,10.50,59,5,4,3,2,0.00,0.00,1.0000,6.38,1.00,0.00,-5.18,5.10,4.14
1774,1033,0.37,11.00,59,5,4,3,2,0.00,0.00,1.0000,6.38,1.00,0.00,-5.18,5.10,4.18
1839,1026,0.37,11.50,59,5,4,3,2,0.00,0.00,1.0000,6.38,1.00,0.00,-5.18,5.10,4.24
1953,1032,0.36,12.50,59,5,4,3,2,0.00,0.00,1.0000,6.14,1.01,0.00,-5.18,5.10,4.32
1953,1032,0.36,13.00,59,5,4,3,2,0.00,0.00,1.0000,6.24,1.01,0.00,-5.18,5.10,4.31
2084,1037,0.35,12.50,59,5,4,3,2,0.00,0.00,1.0000,6.04,1.01,0.00,-5.22,5.10,4.34
2143,1051,0.35,13.50,59,5,4,3,2,0.00,0.00,1.0000,6.11,1.01,0.00,-5.24,5.10,4.37
2223,1046,0.35,13.50,59,5,4,3,2,0.00,0.00,1.0000,6.08,1.01,0.00,-5.24,4.71,4.41
2267,1054,0.34,14.50,59,5,4,3,2,0.00,0.00,1.0000,5.98,1.01,0.00,-5.24,4.71,4.46
2328,1049,0.35,15.00,59,5,4,3,2,0.00,0.00,1.0000,5.72,1.01,0.00,-5.24,4.71,4.49
2400,1033,0.32,15.00,59,5,4,3,2,0.00,0.00,1.0000,5.53,1.01,0.00,-5.22,4.71,4.53
2524,1038,0.32,16.00,59,5,4,3,2,0.00,0.00,1.0000,5.53,1.01,0.00,-5.20,4.71,4.59
2645,1021,0.36,16.00,59,5,4,3,2,0.00,0.00,1.0000,5.75,1.01,0.00,-5.20,4.71,4.62
2722,1014,0.34,17.50,59,5,4,3,2,0.00,0.00,1.0000,5.75,1.01,0.00,-5.18,4.31,4.66
2784,1013,0.34,17.50,59,5,4,3,2,0.00,0.00,1.0000,5.62,1.01,0.00,-5.16,4.31,4.68
2846,999,0.34,17.00,59,5,4,3,2,0.00,0.00,1.0000,5.72,1.01,0.00,-5.16,4.31,4.68
2882,992,0.33,18.00,59,5,4,3,2,0.00,0.00,1.0000,5.36,1.01,0.00,-5.12,4.31,4.69
2938,990,0.33,18.50,59,5,4,3,2,0.00,0.00,1.0000,5.40,1.01,0.00,-5.12,4.31,4.71
3024,973,0.34,18.00,59,5,4,3,2,0.00,0.00,1.0000,5.56,1.01,0.00,-5.09,4.31,4.72
3100,970,0.34,18.00,59,5,4,3,2,0.00,0.00,1.0000,5.53,1.01,0.00,-5.07,4.31,4.74
3193,968,0.35,18.50,59,5,4,3,2,0.00,0.00,1.0000,5.56,1.00,0.00,-5.05,4.31,4.73
3254,963,0.34,18.00,59,5,4,3,2,0.00,0.00,1.0000,5.40,1.00,0.00,-5.05,4.31,4.74
3328,956,0.33,17.50,59,5,4,3,2,0.00,0.00,1.0000,5.30,1.00,0.00,-5.03,4.31,4.75
3424,947,0.34,17.50,59,5,4,3,2,0.00,0.00,1.0000,5.33,1.00,0.00,-5.03,4.31,4.78
3489,944,0.34,18.50,59,5,4,3,2,0.00,0.00,1.0000,5.30,1.00,0.00,-4.99,4.31,4.79
3583,936,0.34,18.50,59,5,4,3,2,0.00,0.00,1.0000,5.27,1.00,0.00,-4.99,4.31,4.79
3663,916,0.34,18.50,59,5,4,3,2,0.00,0.00,1.0000,5.17,1.00,0.00,-4.97,4.31,4.81
3741,912,0.34,18.50,59,5,4,3,2,0.00,0.00,1.0000,5.17,1.00,0.00,-4.95,4.31,4.77
3814,908,0.34,19.00,59,5,4,3,2,0.00,0.00,1.0000,5.11,1.00,0.00,-4.91,4.31,4.79
3900,903,0.34,19.00,59,5,4,3,2,0.00,0.00,1.0000,5.02,1.00,0.00,-4.91,4.31,4.79
3993,900,0.34,18.50,59,5,4,3,2,0.00,0.00,1.0000,5.08,1.00,0.00,-4.89,4.31,4.77
4094,888,0.33,17.50,59,5,4,3,2,0.00,0.00,1.0000,4.92,1.00,0.00,-4.89,4.31,4.76
4176,884,0.34,18.00,59,5,4,3,2,0.00,0.00,1.0000,4.96,0.99,0.00,-4.89,4.31,4.73
4252,878,0.34,18.00,59,5,4,3,2,0.00,0.00,1.0000,4.99,0.99,0.00,-4.87,4.31,4.73
4299,868,0.34,17.50,59,5,4,3,2,0.00,0.00,1.0000,4.99,0.99,0.00,-4.87,4.31,4.72
4383,862,0.35,18.50,59,5,4,3,2,0.00,0.00,1.0000,4.92,0.99,0.00,-4.83,4.31,4.73
4453,842,0.35,19.00,59,5,4,3,2,0.00,0.00,1.0000,4.90,0.99,0.00,-4.78,4.31,4.74
4532,837,0.35,19.50,59,5,4,3,2,0.00,0.00,1.0000,4.83,0.99,0.00,-4.76,4.31,4.72
4612,816,0.35,19.50,59,5,4,3,2,0.00,0.00,1.0000,4.86,0.99,0.00,-4.74,4.31,4.71
4688,801,0.37,20.00,59,5,4,3,2,0.00,0.00,1.0000,4.93,0.99,0.00,-4.72,4.31,4.68
4767,786,0.37,20.50,59,5,4,3,2,0.00,0.00,1.0000,4.81,0.99,0.00,-4.68,4.31,4.59
4860,778,0.40,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.21,0.99,0.00,-4.68,4.71,4.49
4925,780,0.41,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.37,0.99,0.00,-4.68,4.71,4.43
5018,766,0.46,20.50,59,5,4,3,2,0.00,0.00,1.0000,5.49,0.98,0.00,-4.68,5.10,4.26
5094,772,0.44,20.00,59,5,4,3,2,0.00,0.00,1.0000,5.75,0.98,0.00,-4.68,5.10,4.04
5173,781,0.45,19.50,59,5,4,3,2,0.00,0.00,1.0000,5.91,0.98,0.00,-4.68,5.10,3.93
5256,795,0.43,19.00,59,5,4,3,2,0.00,0.00,1.0000,5.78,0.98,0.00,-4.68,5.10,3.83
5330,816,0.41,18.50,59,5,4,3,2,0.00,0.00,1.0000,5.72,0.98,0.00,-4.72,5.10,3.80
5412,855,0.41,16.00,59,5,4,3,2,0.00,0.00,1.0000,5.82,0.98,0.00,-4.72,5.10,3.73
5488,880,0.40,13.50,59,5,4,3,2,0.00,0.00,1.0000,5.95,0.98,0.00,-4.81,5.10,3.71
5563,913,0.39,12.00,59,5,4,3,2,0.00,0.00,1.0000,5.98,0.99,0.00,-4.89,5.10,3.75
5641,941,0.37,11.00,59,5,4,3,2,0.00,0.00,1.0000,5.85,0.99,0.00,-4.93,4.71,3.81
5719,973,0.36,8.00,59,5,4,3,2,0.00,0.00,1.0000,5.82,0.99,0.00,-4.99,4.71,3.94
5797,986,0.36,8.00,59,5,4,3,2,0.00,0.00,1.0000,5.91,0.99,0.00,-5.07,4.71,4.03
5907,985,0.36,9.00,59,5,4,3,2,0.00,0.00,1.0000,5.98,1.00,0.00,-5.09,4.71,4.12
5972,989,0.36,10.50,59,5,4,3,2,0.00,0.00,1.0000,6.01,1.00,0.00,-5.10,4.71,4.18
6052,992,0.36,12.00,59,5,4,3,2,0.00,0.00,1.0000,5.91,1.00,0.00,-5.10,4.71,4.27
6142,986,0.36,12.00,59,5,4,3,2,0.00,0.00,1.0000,5.88,1.01,0.00,-5.10,4.71,4.34
6208,990,0.36,12.50,59,5,4,3,2,0.00,0.00,1.0000,5.91,1.01,0.00,-5.12,4.71,4.37
6314,994,0.36,14.50,59,5,4,3,2,0.00,0.00,1.0000,5.91,1.01,0.00,-5.12,4.71,4.39
6391,995,0.37,13.50,59,5,4,3,2,0.00,0.00,1.0000,5.95,1.01,0.00,-5.12,4.71,4.42
6440,994,0.36,13.50,59,5,4,3,2,0.00,0.00,1.0000,6.01,1.01,0.00,-5.12,4.71,4.43
6517,1003,0.36,14.50,59,5,4,3,2,0.00,0.00,1.0000,5.95,1.01,0.00,-5.12,4.71,4.42
6594,1000,0.35,15.00,59,5,4,3,2,0.00,0.00,1.0000,5.85,1.01,0.00,-5.14,4.71,4.47
6672,993,0.33,14.50,59,5,4,3,2,0.00,0.00,1.0000,5.59,1.01,0.00,-5.10,4.71,4.47
6782,999,0.34,15.50,59,5,4,3,2,0.00,0.00,1.0000,5.75,1.01,0.00,-5.12,4.31,4.51
6829,998,0.34,16.00,59,5,4,3,2,0.00,0.00,1.0000,5.59,1.01,0.00,-5.10,4.31,4.54
6921,989,0.35,15.50,59,5,4,3,2,0.00,0.00,1.0000,5.72,1.01,0.00,-5.10,4.31,4.58
