Time (msec),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Fine Learning Knock Correction (degrees),Fuel Pump Duty (%),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Sum Cylinder 1* (count),Knock Sum Cylinder 2* (count),Knock Sum Cylinder 3* (count),Knock Sum Cylinder 4* (count),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Target Boost (2-byte)** (psi relative sea level),Boost Error* (psi),Feedback Knock Correction (1-byte)** (degrees),IAM (multiplier),Ignition Total Timing (degrees),Throttle Plate Opening Angle (2-byte)** (%),Final Fueling Base (2-byte)* (lambda),Throttle Opening Angle (%)
0,0.28,775,0.00,0.00,33.33,1.48,61,0,0,0,2,3.67,0.00,-4.00,5.88,0.00,1.0000,14.00,2.92,0.99,3.14
0,0.28,771,0.00,0.00,33.33,1.47,61,0,0,0,2,3.60,0.00,-4.00,5.89,0.00,1.0000,14.00,2.92,0.99,3.14
35,0.29,768,0.00,0.00,33.33,1.46,61,0,0,0,2,3.69,0.00,-4.00,5.91,0.00,1.0000,14.00,2.92,0.99,3.14
206,0.29,761,0.00,0.00,33.33,1.47,61,0,0,0,2,3.72,0.00,-4.00,5.93,0.00,1.0000,14.00,2.92,0.99,3.14
388,0.28,753,0.00,0.00,33.33,1.47,61,0,0,0,2,3.52,0.00,-4.00,5.93,0.00,1.0000,14.00,2.92,0.99,3.14
402,0.28,745,0.00,0.00,33.33,1.45,61,0,0,0,2,3.72,0.00,-4.00,5.93,0.00,1.0000,15.50,2.92,0.99,3.14
402,0.30,743,0.00,0.00,33.33,1.42,61,0,0,0,2,3.84,0.00,-4.00,5.90,0.00,1.0000,16.00,2.92,0.99,3.14
590,0.31,741,0.00,0.00,33.33,1.41,61,0,0,0,2,3.79,0.00,-4.00,5.89,0.00,1.0000,16.50,2.92,0.99,3.14
590,0.30,738,0.00,0.00,33.33,1.41,61,0,0,0,2,3.74,0.00,-4.00,5.87,0.00,1.0000,16.50,2.92,0.99,3.14
766,0.31,742,0.00,0.00,33.33,1.41,61,0,0,0,2,3.60,0.00,-4.00,5.84,0.00,1.0000,16.00,2.92,0.99,3.14
785,0.29,745,0.00,0.00,33.33,1.43,61,0,0,0,2,3.55,0.00,-4.00,5.84,0.00,1.0000,15.50,2.92,0.99,3.14
949,0.30,742,0.00,0.00,33.33,1.44,61,0,0,0,2,3.74,0.00,-4.00,5.82,0.00,1.0000,15.00,2.92,0.99,3.14
984,0.29,739,0.00,0.00,33.33,1.44,61,0,0,0,2,3.62,0.00,-4.00,5.84,0.00,1.0000,16.50,2.92,0.99,3.14
1146,0.30,743,0.00,0.00,33.33,1.43,61,0,0,0,2,3.74,0.00,-4.00,5.83,0.00,1.0000,16.00,2.92,0.99,3.14
1184,0.30,754,0.00,0.00,33.33,1.43,61,0,0,0,2,3.69,0.00,-4.00,5.84,0.00,1.0000,15.50,2.92,0.99,3.14
1329,0.29,754,0.00,0.00,33.33,1.43,61,0,0,0,2,3.66,0.00,-4.00,5.84,0.00,1.0000,15.00,2.92,0.99,3.14
1345,0.29,752,0.00,0.00,33.33,1.44,61,0,0,0,2,3.62,0.00,-4.00,5.84,0.00,1.0000,15.00,2.92,0.99,3.14
1518,0.29,756,0.00,0.00,33.33,1.46,61,0,0,0,2,3.57,0.00,-4.00,5.84,0.00,1.0000,14.50,2.92,0.99,3.14
1544,0.29,754,0.00,0.00,33.33,1.47,61,0,0,0,2,3.67,0.00,-4.00,5.85,0.00,1.0000,15.00,2.92,0.99,3.14
1717,0.29,756,0.00,0.00,33.33,1.46,61,0,0,0,2,3.69,0.00,-4.00,5.87,0.00,1.0000,14.50,2.92,0.99,3.14
1717,0.30,758,0.00,0.00,33.33,1.44,61,0,0,0,2,3.74,0.00,-4.00,5.89,0.00,1.0000,15.00,2.92,0.99,3.14
1870,0.29,758,0.00,0.00,33.33,1.45,61,0,0,0,2,3.72,0.00,-4.00,5.89,0.00,1.0000,14.50,2.92,0.99,3.14
1905,0.30,765,0.00,0.00,33.33,1.45,61,0,0,0,2,3.69,0.00,-4.00,5.89,0.00,1.0000,14.00,2.92,0.99,3.14
2081,0.29,746,0.00,0.00,33.33,1.46,61,0,0,0,2,3.62,0.00,-4.00,5.89,0.00,1.0000,14.50,2.92,0.99,3.14
2095,0.29,748,0.00,0.00,33.33,1.45,61,0,0,0,2,3.57,0.00,-4.00,5.89,0.00,1.0000,15.00,2.92,0.99,3.14
2250,0.29,751,0.00,0.00,33.33,1.45,61,0,0,0,2,3.57,0.00,-4.00,5.89,0.00,1.0000,15.00,2.92,0.99,3.14
2285,0.29,749,0.00,0.00,33.33,1.43,61,0,0,0,2,3.65,0.00,-4.00,5.89,0.00,1.0000,15.50,2.92,0.99,3.14
2450,0.30,750,0.00,0.00,33.33,1.43,61,0,0,0,2,3.82,0.00,-4.00,5.87,0.00,1.0000,15.50,2.92,0.99,3.14
2469,0.30,749,0.00,0.00,33.33,1.42,61,0,0,0,2,3.79,0.00,-4.00,5.88,0.00,1.0000,15.50,2.92,0.99,3.14
2580,0.31,744,0.00,0.00,33.33,1.43,61,0,0,0,2,3.74,0.00,-4.00,5.87,0.00,1.0000,16.00,2.92,0.99,3.14
2651,0.30,752,0.00,0.00,33.33,1.45,61,0,0,0,2,3.69,0.00,-4.00,5.85,0.00,1.0000,14.50,2.92,0.99,3.14
2810,0.29,752,0.00,0.00,33.33,1.45,61,0,0,0,2,3.72,0.00,-4.00,5.86,0.00,1.0000,15.00,2.92,0.99,3.14
2840,0.29,760,0.00,0.00,33.33,1.46,61,0,0,0,2,3.67,0.00,-4.00,5.87,0.00,1.0000,14.50,2.92,0.99,3.14
2986,0.28,770,0.00,0.00,33.33,1.47,61,0,0,0,2,3.65,0.00,-4.00,5.88,0.00,1.0000,14.00,2.92,0.99,3.14
3065,0.28,773,0.00,0.00,33.33,1.47,61,0,0,0,2,3.62,0.00,-4.00,5.91,0.00,1.0000,13.50,2.92,0.99,3.14
3151,0.29,772,0.00,0.00,33.33,1.48,61,0,0,0,2,3.64,0.00,-4.00,5.92,0.00,1.0000,13.50,2.92,0.99,3.14
3151,0.28,762,0.00,0.00,33.33,1.48,61,0,0,0,2,3.57,0.00,-4.00,5.94,0.00,1.0000,13.50,2.92,0.99,3.14
3245,0.28,758,0.00,0.00,33.33,1.47,61,0,0,0,2,3.57,0.00,-4.00,5.93,0.00,1.0000,14.50,2.92,0.99,3.14
3437,0.29,757,0.00,0.00,33.33,1.45,61,0,0,0,2,3.79,0.00,-4.00,5.94,0.00,1.0000,14.50,2.92,0.99,3.14
3456,0.30,757,0.00,0.00,33.33,1.44,61,0,0,0,2,3.77,0.00,-4.00,5.94,0.00,1.0000,15.00,2.92,0.99,3.14
3608,0.29,754,0.00,0.00,33.33,1.45,61,0,0,0,2,3.72,0.00,-4.00,5.92,0.00,1.0000,15.00,2.92,0.99,3.14
3608,0.29,755,0.00,0.00,33.33,1.44,61,0,0,0,2,3.65,0.00,-4.00,5.94,0.00,1.0000,15.00,2.92,0.99,3.14
3808,0.29,754,0.00,0.00,33.33,1.46,61,0,0,0,2,3.74,0.00,-4.00,5.91,0.00,1.0000,14.50,2.92,0.99,3.14
3855,0.28,748,0.00,0.00,33.33,1.45,61,0,0,0,2,3.59,0.00,-4.00,5.92,0.00,1.0000,15.50,2.92,0.99,3.14
4027,0.29,742,0.00,0.00,33.33,1.44,61,0,0,0,2,3.59,0.00,-4.00,5.90,0.00,1.0000,16.00,2.92,0.99,3.14
4062,0.29,755,0.00,0.00,33.33,1.43,61,0,0,0,2,3.69,0.00,-4.00,5.88,0.00,1.0000,15.50,2.92,0.99,3.14
4062,0.29,758,0.00,0.00,33.33,1.44,61,0,0,0,2,3.64,0.00,-4.00,5.87,0.00,1.0000,15.00,2.92,0.99,3.14
4266,0.29,756,0.00,0.00,33.33,1.44,61,0,0,0,2,3.62,0.00,-4.00,5.87,0.00,1.0000,14.50,2.92,0.99,3.14
4297,0.29,752,0.00,0.00,33.33,1.44,61,0,0,0,2,3.62,0.00,-4.00,5.88,0.00,1.0000,15.00,2.92,0.99,3.14
4466,0.29,746,0.00,0.00,33.33,1.44,61,0,0,0,2,3.69,0.00,-4.00,5.90,0.00,1.0000,15.00,2.92,0.99,3.14
4466,0.30,750,0.00,0.00,33.33,1.45,61,0,0,0,2,3.72,0.00,-4.00,5.87,0.00,1.0000,15.00,2.92,0.99,3.14
4644,0.29,752,0.00,0.00,33.33,1.44,61,0,0,0,2,3.69,0.00,-4.00,5.87,0.00,1.0000,15.00,2.92,0.99,3.14
4652,0.29,759,0.00,0.00,33.33,1.44,61,0,0,0,2,3.77,0.00,-4.00,5.89,0.00,1.0000,15.00,2.92,0.99,3.14
4811,0.29,761,0.00,0.00,33.33,1.45,61,0,0,0,2,3.62,0.00,-4.00,5.87,0.00,1.0000,14.50,2.92,0.99,3.14
4827,0.29,764,0.00,0.00,33.33,1.47,61,0,0,0,2,3.77,0.00,-4.00,5.90,0.00,1.0000,14.00,2.92,0.99,3.14
5013,0.30,766,0.00,0.00,33.33,1.48,61,0,0,0,2,3.77,0.00,-4.00,5.91,0.00,1.0000,14.00,2.92,0.99,3.14
5028,0.29,768,0.00,0.00,33.33,1.48,61,0,0,0,2,3.72,0.00,-4.00,5.92,0.00,1.0000,14.00,2.92,0.99,3.14
5200,0.29,757,0.00,0.00,33.33,1.45,61,0,0,0,2,3.69,0.00,-4.00,5.95,0.00,1.0000,14.50,2.92,0.99,3.14
5219,0.29,761,0.00,0.00,33.33,1.45,61,0,0,0,2,3.72,0.00,-4.00,5.95,0.00,1.0000,14.50,2.92,0.99,3.14
5316,0.30,760,0.00,0.00,33.33,1.45,61,0,0,0,2,3.74,0.00,-4.00,5.92,0.00,1.0000,14.50,2.92,0.99,3.14
5392,0.30,754,0.00,0.00,33.33,1.45,61,0,0,0,2,3.69,0.00,-4.00,5.92,0.00,1.0000,15.00,2.92,0.99,3.14
5565,0.30,747,0.00,0.00,33.33,1.45,61,0,0,0,2,3.79,0.00,-4.00,5.90,0.00,1.0000,15.00,2.92,0.99,3.14
5625,0.30,751,0.00,0.00,33.33,1.45,61,0,0,0,2,3.69,0.00,-4.00,5.90,0.00,1.0000,15.00,2.92,0.99,3.14
5736,0.29,750,0.00,0.00,33.33,1.45,61,0,0,0,2,3.64,0.00,-4.00,5.90,0.00,1.0000,15.00,2.92,0.99,3.14
5765,0.29,765,0.00,0.00,33.33,1.45,61,0,0,0,2,3.69,0.00,-4.00,5.90,0.00,1.0000,14.50,2.92,0.99,3.14
5918,0.29,764,0.00,0.00,33.33,1.46,61,0,0,0,2,3.57,0.00,-4.00,5.90,0.00,1.0000,14.00,2.92,0.99,3.14
5918,0.29,754,0.00,0.00,33.33,1.44,61,0,0,0,2,3.72,0.00,-4.00,5.91,0.00,1.0000,15.00,2.92,0.99,3.14
6105,0.29,753,0.00,0.00,33.33,1.45,61,0,0,0,2,3.60,0.00,-4.00,5.91,0.00,1.0000,14.50,2.92,0.99,3.14
6140,0.29,752,0.00,0.00,33.33,1.46,61,0,0,0,2,3.69,0.00,-4.00,5.90,0.00,1.0000,14.50,2.92,0.99,3.14
6332,0.29,752,0.00,0.00,33.33,1.46,61,0,0,0,2,3.69,0.00,-4.00,5.90,0.00,1.0000,15.00,2.92,0.99,3.14
6341,0.30,764,0.00,0.00,33.33,1.44,61,0,0,0,2,3.79,0.00,-4.00,5.90,0.00,1.0000,15.00,2.92,0.99,3.14
6517,0.30,768,0.00,0.00,33.33,1.46,61,0,0,0,2,3.72,0.00,-4.00,5.90,0.00,1.0000,14.50,2.92,0.99,3.14
6542,0.28,764,0.00,0.00,33.33,1.46,61,0,0,0,2,3.65,0.00,-4.00,5.91,0.00,1.0000,14.00,2.92,0.99,3.14
6703,0.30,754,0.00,0.00,33.33,1.47,61,0,0,0,2,3.62,0.00,-4.00,5.92,0.00,1.0000,14.00,2.92,0.99,3.14
6716,0.29,755,0.00,0.00,33.33,1.46,61,0,0,0,2,3.66,0.00,-4.00,5.92,0.00,1.0000,14.50,2.92,0.99,3.14
6872,0.30,752,0.00,0.00,33.33,1.46,61,0,0,0,2,3.74,0.00,-4.00,5.92,0.00,1.0000,15.00,2.92,0.99,3.14
6886,0.30,758,0.00,0.00,33.33,1.45,61,0,0,0,2,3.74,0.00,-4.00,5.92,0.00,1.0000,15.00,2.92,0.99,3.14
7092,0.30,754,0.00,0.00,33.33,1.44,61,0,0,0,2,3.79,0.00,-4.00,5.91,0.00,1.0000,15.00,2.92,0.99,3.14
7092,0.30,753,0.00,0.00,33.33,1.43,61,0,0,0,2,3.72,0.00,-4.00,5.90,0.00,1.0000,15.00,2.92,0.99,3.14
7249,0.30,762,0.00,0.00,33.33,1.46,61,0,0,0,2,3.77,0.00,-4.00,5.90,0.00,1.0000,14.50,2.92,0.99,3.14
7324,0.29,755,0.00,0.00,33.33,1.46,61,0,0,0,2,3.62,0.00,-4.00,5.90,0.00,1.0000,14.50,2.92,0.99,3.14
7440,0.29,752,0.00,0.00,33.33,1.46,61,0,0,0,2,3.62,0.00,-4.00,5.90,0.00,1.0000,15.00,2.92,0.99,3.14
7467,0.28,746,0.00,0.00,33.33,1.43,61,0,0,0,2,3.62,0.00,-4.00,5.90,0.00,1.0000,15.50,2.92,0.99,3.14
7467,0.29,748,0.00,0.00,33.33,1.43,61,0,0,0,2,3.64,0.00,-4.00,5.90,0.00,1.0000,16.00,2.92,0.99,3.14
7655,0.30,749,0.00,0.00,33.33,1.42,61,0,0,0,2,3.66,0.00,-4.00,5.90,0.00,1.0000,15.50,2.92,0.99,3.14
7716,0.30,744,0.00,0.00,33.33,1.42,61,0,0,0,2,3.64,0.00,-4.00,5.90,0.00,1.0000,16.00,2.92,0.99,3.14
7871,0.30,740,0.00,0.00,33.33,1.42,61,0,0,0,2,3.69,0.00,-4.00,5.88,0.00,1.0000,16.00,2.92,0.99,3.14
7925,0.30,738,0.00,0.00,33.33,1.43,61,0,0,0,2,3.66,0.00,-4.00,5.86,0.00,1.0000,16.00,2.92,0.99,3.14
8050,0.30,742,0.00,0.00,33.33,1.43,61,0,0,0,2,3.84,0.00,-4.00,5.85,0.00,1.0000,16.00,2.92,0.99,3.14
8062,0.31,747,0.00,0.00,33.33,1.43,61,0,0,0,2,3.79,0.00,-4.00,5.84,0.00,1.0000,15.50,2.92,0.99,3.14
8234,0.30,757,0.00,0.00,33.33,1.44,61,0,0,0,2,3.79,0.00,-4.00,5.85,0.00,1.0000,15.00,2.92,0.99,3.14
8246,0.30,757,0.00,0.00,33.33,1.44,61,0,0,0,2,3.77,0.00,-4.00,5.88,0.00,1.0000,14.50,2.92,0.99,3.14
8410,0.30,760,0.00,0.00,33.33,1.44,61,0,0,0,2,3.74,0.00,-4.00,5.88,0.00,1.0000,14.50,2.92,0.99,3.14
8433,0.29,754,0.00,0.00,33.33,1.46,61,0,0,0,2,3.66,0.00,-4.00,5.90,0.00,1.0000,14.00,2.92,0.99,3.14
8487,0.29,754,0.00,0.00,33.33,1.46,61,0,0,0,2,3.72,0.00,-4.00,5.90,0.00,1.0000,14.50,2.92,0.99,3.14
8640,0.30,756,0.00,0.00,33.33,1.46,63,0,0,0,2,3.74,0.00,-4.00,5.91,0.00,1.0000,14.50,2.92,0.99,3.14
8736,0.29,762,0.00,0.00,33.33,1.45,63,0,0,0,2,3.67,0.00,-4.00,5.91,0.00,1.0000,15.00,2.92,0.99,3.14
8810,0.29,758,0.00,0.00,33.33,1.45,63,0,0,0,2,3.72,0.00,-4.00,5.93,0.00,1.0000,15.00,2.92,0.99,3.14
8956,0.30,761,0.00,0.00,33.33,1.44,63,0,0,0,2,3.77,0.00,-4.00,5.93,0.00,1.0000,14.50,2.92,0.99,3.14
8996,0.30,755,0.00,0.00,33.33,1.46,63,0,0,0,2,3.69,0.00,-4.00,5.93,0.00,1.0000,14.50,2.92,0.99,3.14
9046,0.30,756,0.00,0.00,33.33,1.46,63,0,0,0,2,3.77,0.00,-4.00,5.93,0.00,1.0000,14.50,2.92,0.99,3.14
9235,0.28,756,0.00,0.00,33.33,1.46,61,0,0,0,2,3.57,0.00,-4.00,5.93,0.00,1.0000,14.50,2.92,0.99,3.14
9355,0.28,758,0.00,0.00,33.33,1.45,61,0,0,0,2,3.59,0.00,-4.00,5.93,0.00,1.0000,15.00,2.92,0.99,3.14
9385,0.28,756,0.00,0.00,33.33,1.44,61,0,0,0,2,3.64,0.00,-4.00,5.93,0.00,1.0000,15.00,2.92,0.99,3.14
9575,0.30,755,0.00,0.00,33.33,1.44,61,0,0,0,2,3.69,0.00,-4.00,5.93,0.00,1.0000,15.00,2.92,0.99,3.14
9575,0.29,752,0.00,0.00,33.33,1.44,61,0,0,0,2,3.62,0.00,-4.00,5.92,0.00,1.0000,15.00,2.92,0.99,3.14
9661,0.30,741,0.00,0.00,33.33,1.43,61,0,0,0,2,3.72,0.00,-4.00,5.91,0.00,1.0000,15.50,2.92,0.99,3.14
9781,0.29,742,0.00,0.00,33.33,1.44,61,0,0,0,2,3.57,0.00,-4.00,5.88,0.00,1.0000,16.00,2.92,0.99,3.14
9793,0.29,736,0.00,0.00,33.33,1.43,61,0,0,0,2,3.64,0.00,-4.00,5.88,0.00,1.0000,16.50,2.92,0.99,3.14
9967,0.30,746,0.00,0.00,33.33,1.42,61,0,0,0,2,3.66,0.00,-4.00,5.85,0.00,1.0000,16.50,2.92,0.99,3.14
10027,0.29,748,0.00,0.00,33.33,1.42,61,0,0,0,2,3.55,0.00,-4.00,5.85,0.00,1.0000,16.00,2.92,0.99,3.14
10058,0.29,748,0.00,0.00,33.33,1.43,63,0,0,0,2,3.59,0.00,-4.00,5.85,0.00,1.0000,15.50,2.92,0.99,3.14
10183,0.29,747,0.00,0.00,33.33,1.43,63,0,0,0,2,3.66,0.00,-4.00,5.85,0.00,1.0000,15.50,2.92,0.99,3.14
10347,0.30,738,0.00,0.00,33.33,1.43,63,0,0,0,2,3.72,0.00,-4.00,5.85,0.00,1.0000,15.50,2.92,0.99,3.14
10372,0.30,730,0.00,0.00,33.33,1.43,63,0,0,0,2,3.69,0.00,-4.00,5.86,0.00,1.0000,16.00,2.92,0.99,3.14
10530,0.30,731,0.00,0.00,33.33,1.41,63,0,0,0,2,3.72,0.00,-4.00,5.84,0.00,1.0000,17.00,2.92,0.99,3.14
10547,0.29,738,0.00,0.00,33.33,1.42,63,0,0,0,2,3.62,0.00,-4.00,5.83,0.00,1.0000,16.50,2.92,0.99,3.14
10708,0.29,754,0.00,0.00,33.33,1.43,63,0,0,0,2,3.77,0.00,-4.00,5.82,0.00,1.0000,15.50,2.92,0.99,3.14
10730,0.30,759,0.00,0.00,33.33,1.44,63,0,0,0,2,3.77,0.00,-4.00,5.83,0.00,1.0000,14.50,2.92,0.99,3.14
10893,0.30,766,0.00,0.00,33.33,1.47,63,0,0,0,2,3.74,0.00,-4.00,5.88,0.00,1.0000,14.00,2.92,0.99,3.14
10920,0.29,764,0.00,0.00,33.33,1.48,63,0,0,0,2,3.55,0.00,-4.00,5.89,0.00,1.0000,13.50,2.92,0.99,3.14
11081,0.28,783,0.00,0.00,33.33,1.49,63,0,0,0,2,3.69,0.00,-4.00,5.93,0.00,1.0000,13.50,2.92,0.99,3.14
11081,0.27,772,0.00,0.00,33.33,1.49,63,0,0,0,2,3.62,0.00,-4.00,5.92,0.00,1.0000,13.50,2.92,0.99,3.14
11247,0.29,774,0.00,0.00,33.33,1.49,63,0,0,0,2,3.69,0.00,-4.00,5.34,0.00,1.0000,13.50,2.92,0.99,3.14
11356,0.29,774,0.00,0.00,33.33,1.47,63,0,0,0,2,3.59,0.00,-4.00,5.35,0.00,1.0000,13.50,2.92,0.99,3.14
11481,0.28,763,0.00,0.00,33.33,1.48,63,0,0,0,2,3.55,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,1.00,3.14
11481,0.28,764,0.00,0.00,33.33,1.48,63,0,0,0,2,3.67,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,1.00,3.14
11514,0.28,764,0.00,0.00,33.33,1.48,63,0,0,0,2,3.59,0.00,-4.64,5.35,0.00,1.0000,14.00,2.92,0.99,3.14
11715,0.28,770,0.00,0.00,33.33,1.47,63,0,0,0,2,3.69,0.00,-4.64,5.35,0.00,1.0000,14.00,2.92,0.99,3.14
11715,0.29,769,0.00,0.00,33.33,1.46,61,0,0,0,2,3.74,0.00,-4.64,5.33,0.00,1.0000,14.00,2.92,0.99,3.14
11888,0.30,772,0.00,0.00,33.33,1.48,61,0,0,0,2,3.72,0.00,-4.64,5.34,0.00,1.0000,13.50,2.92,0.99,3.14
11908,0.29,766,0.00,0.00,33.33,1.48,61,0,0,0,2,3.57,0.00,-4.64,5.34,0.00,1.0000,13.50,2.92,0.99,3.14
12065,0.28,762,0.00,0.00,33.33,1.48,61,0,0,0,2,3.57,0.00,-4.64,5.36,0.00,1.0000,14.50,2.92,0.99,3.14
12104,0.28,762,0.00,0.00,33.33,1.46,61,0,0,0,2,3.64,0.00,-4.64,5.36,0.00,1.0000,14.50,2.92,0.99,3.14
12265,0.28,766,0.00,0.00,33.33,1.47,61,0,0,0,2,3.72,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
12286,0.29,764,0.00,0.00,33.33,1.46,61,0,0,0,2,3.77,0.00,-4.64,5.34,0.00,1.0000,14.00,2.92,0.99,3.14
12451,0.29,768,0.00,0.00,33.33,1.47,61,0,0,0,2,3.69,0.00,-4.64,5.33,0.00,1.0000,14.00,2.92,0.99,3.14
12468,0.28,763,0.00,0.00,33.33,1.47,61,0,0,0,2,3.57,0.00,-4.64,5.34,0.00,1.0000,14.00,2.92,0.99,3.14
12658,0.28,769,0.00,0.00,33.33,1.49,61,0,0,0,2,3.74,0.00,-4.64,5.33,0.00,1.0000,14.00,2.92,0.99,3.14
12719,0.29,772,0.00,0.00,33.33,1.47,61,0,0,0,2,3.67,0.00,-4.64,5.33,0.00,1.0000,14.00,2.92,0.99,3.14
12843,0.28,776,0.00,0.00,33.33,1.48,63,0,0,0,2,3.72,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
12843,0.29,777,0.00,0.00,33.33,1.48,63,0,0,0,2,3.62,0.00,-4.64,5.36,0.00,1.0000,13.50,2.92,0.99,3.14
13015,0.29,764,0.00,0.00,33.33,1.48,63,0,0,0,2,3.74,0.00,-4.64,5.36,0.00,1.0000,13.50,2.92,0.99,3.14
13036,0.29,764,0.00,0.00,33.33,1.48,63,0,0,0,2,3.82,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
13190,0.30,767,0.00,0.00,33.33,1.48,63,0,0,0,2,3.82,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
13214,0.29,770,0.00,0.00,33.33,1.47,63,0,0,0,2,3.74,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
13405,0.29,772,0.00,0.00,33.33,1.47,63,0,0,0,2,3.77,0.00,-4.64,5.30,0.00,1.0000,13.50,2.92,0.99,3.14
13417,0.29,778,0.00,0.00,33.33,1.49,63,0,0,0,2,3.79,0.00,-4.64,5.31,0.00,1.0000,13.50,2.92,0.99,3.14
13488,0.30,772,0.00,0.00,33.33,1.49,63,0,0,0,2,3.82,0.00,-4.64,5.34,0.00,1.0000,13.50,2.92,0.99,3.14
13611,0.29,774,0.00,0.00,33.33,1.49,63,0,0,0,2,3.77,0.00,-4.64,5.35,0.00,1.0000,13.50,2.92,0.99,3.14
13746,0.29,778,0.00,0.00,33.33,1.48,63,0,0,0,2,3.74,0.00,-4.64,5.35,0.00,1.0000,14.00,2.92,0.99,3.14
13780,0.29,786,0.00,0.00,33.33,1.49,63,0,0,0,2,3.79,0.00,-4.64,5.35,0.00,1.0000,13.50,2.92,0.99,3.14
13857,0.29,784,0.00,0.00,33.33,1.49,63,0,0,0,2,3.77,0.00,-4.64,5.36,0.00,1.0000,13.00,2.92,0.99,3.14
13953,0.29,775,0.00,0.00,33.33,1.50,63,0,0,0,2,3.89,0.00,-4.64,5.37,0.00,1.0000,13.00,2.92,0.99,3.14
14098,0.29,770,0.00,0.00,33.33,1.49,63,0,0,0,2,3.64,0.00,-4.64,5.37,0.00,1.0000,14.00,2.92,0.99,3.14
14136,0.28,774,0.00,0.00,33.33,1.49,63,0,0,0,2,3.72,0.00,-4.64,5.37,0.00,1.0000,13.50,2.92,0.99,3.14
14300,0.29,781,0.00,0.00,33.33,1.49,63,0,0,0,2,3.72,0.00,-4.64,5.38,0.00,1.0000,13.50,2.92,0.99,3.14
14312,0.29,776,0.00,0.00,33.33,1.49,63,0,0,0,2,3.72,0.00,-4.64,5.37,0.00,1.0000,13.50,2.92,0.99,3.14
14469,0.29,762,0.00,0.00,33.33,1.48,63,0,0,0,2,3.72,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
14503,0.29,763,0.00,0.00,33.33,1.47,63,0,0,0,2,3.67,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
14669,0.28,765,0.00,0.00,33.33,1.48,63,0,0,0,2,3.69,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
14683,0.29,772,0.00,0.00,33.33,1.47,63,0,0,0,2,3.77,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
14781,0.29,774,0.00,0.00,33.33,1.48,63,0,0,0,2,3.67,0.00,-4.64,5.36,0.00,1.0000,13.50,2.92,0.99,3.14
14855,0.29,773,0.00,0.00,33.33,1.48,63,0,0,0,2,3.72,0.00,-4.64,5.36,0.00,1.0000,13.50,2.92,0.99,3.14
15016,0.29,772,0.00,0.00,33.33,1.49,63,0,0,0,2,3.65,0.00,-4.64,5.36,0.00,1.0000,13.50,2.92,0.99,3.14
15036,0.28,765,0.00,0.00,33.33,1.49,63,0,0,0,2,3.64,0.00,-4.64,5.37,0.00,1.0000,14.00,2.92,0.99,3.14
15215,0.28,764,0.00,0.00,33.33,1.47,63,0,0,0,2,3.59,0.00,-4.64,5.36,0.00,1.0000,14.50,2.92,0.99,3.14
15230,0.28,772,0.00,0.00,33.33,1.47,63,0,0,0,2,3.62,0.00,-4.64,5.37,0.00,1.0000,14.00,2.92,0.99,3.14
15392,0.28,769,0.00,0.00,33.33,1.47,63,0,0,0,2,3.57,0.00,-4.64,5.36,0.00,1.0000,14.00,2.92,0.99,3.14
15418,0.28,751,0.00,0.00,33.33,1.44,63,0,0,0,2,3.53,0.00,-4.64,5.36,0.00,1.0000,15.00,2.92,0.99,3.14
15579,0.28,749,0.00,0.00,33.33,1.44,63,0,0,0,2,3.55,0.00,-4.64,5.36,0.00,1.0000,15.00,2.92,0.99,3.14
15595,0.29,751,0.00,0.00,33.33,1.45,63,0,0,0,2,3.77,0.00,-4.64,5.31,0.00,1.0000,15.00,2.92,0.99,3.14
15766,0.29,748,0.00,0.00,33.33,1.44,63,0,0,0,2,3.66,0.00,-4.64,5.31,0.00,1.0000,15.50,2.92,0.99,3.14
15766,0.29,751,0.00,0.00,33.33,1.43,63,0,0,0,2,3.69,0.00,-4.64,5.31,0.00,1.0000,16.00,2.92,0.99,3.14
15936,0.30,754,0.00,0.00,33.33,1.44,63,0,0,0,2,3.74,0.00,-4.64,5.31,0.00,1.0000,15.00,2.92,0.99,3.14
15981,0.29,756,0.00,0.00,33.33,1.45,63,0,0,0,2,3.60,0.00,-4.64,5.30,0.00,1.0000,14.50,2.92,0.99,3.14
16154,0.29,742,0.00,0.00,33.33,1.44,63,0,0,0,2,3.57,0.00,-4.64,5.31,0.00,1.0000,15.00,2.92,0.99,3.14
